OptimizeResult(success=False, status=2, message='The maximum number of generational steps (50000) occurred', ngen=50000, fitness=2.551635482256549, time=25898.193422, ea_diagnostics=EaDiagnosticsSummary(beneficial_crossover_rate=0.01225403888469939, detrimental_crossover_rate=0.694983948700993, beneficial_mutation_rate=0.08525531239263293, detrimental_mutation_rate=0.7875007157804871, beneficial_crossover_mutation_rate=0.013494666858807926, detrimental_crossover_mutation_rate=0.7487241738943532))
Generation:  50000
  FITNESS    COMPLEXITY    EQUATION
2.550e+00     38    f(X_0) = -14.782865 + (1.327418)((X_0)(0.486371 + X_1 - (X_2))) + (-2)(X_7) + (-1.011245)((X_6)(2.621026 + (0.947077)(X_3) + X_6 + X_7 + (-0.980606)(sinh((X_2)((cosh(sqrt(X_7)))^(-1)))) - (X_1))) + (X_2)((cosh(sqrt(X_7)))^(-1))
2.550e+00     32    f(X_0) = (17.679560)(X_6) + (0.686348)(-21.614656 + (0.988296)(X_0) + (X_0)(X_1) + X_2 + X_7 + (-4.084561)(X_7) + (1.002110)((X_1 + (0.437603)(-64.427949 + X_2 + (-4.084561)(X_7)))(sinh(X_6))))
2.550e+00     31    f(X_0) = (17.679560)(X_6) + (0.686348)(-21.614656 + (0.988296)(X_0) + (X_0)(X_1) + X_2 + X_7 + (-4.084561)(X_7) + (1.002110)((X_1 + (0.437603)(-64.427949 + (-4.084561)(X_7)))(sinh(X_6))))
2.552e+00     29    f(X_0) = (17.807658)(X_6) + (0.700280)(-21.192746 + (0.998260)(X_0) + (X_0)(X_1) + X_2 + X_7 + (-4.004251)(X_7) + (0.433331)((-64.316002 + X_2 + (-4.004251)(X_7))(sinh(X_6))))
2.552e+00     28    f(X_0) = -15.172974 + (0.690492)(exp(cosh(X_6)) + ((1.890126)(X_0) + X_2)(X_1 + sqrt(X_1))) + (-0.794218)((1.228203 + X_7)(cosh(exp(X_6)))) - (X_6 + X_7)
2.553e+00     24    f(X_0) = -15.292051 + (0.738179)((0.864261)(X_0 + X_2) + exp(cosh(X_6))) + (-0.675213)((1.460091 + X_7)(cosh(exp(X_6)))) - (X_6 + X_7)
2.554e+00     23    f(X_0) = -15.965302 + exp(cosh(X_6)) + (X_0)(X_1 + X_7 + sqrt(X_1)) + (-0.897539)((1.158532 + X_7)(cosh(exp(X_6)))) - (X_6 + X_7)
2.555e+00     18    f(X_0) = (0.675623)(-18.173140 + X_0 + (1.000260)(X_3 + (-3.448341)((exp(X_6))(exp(X_7)))) - (X_7))
2.559e+00     16    f(X_0) = -12.317476 + (0.609221)(X_2) + (-0.848386)(exp(1 + X_6 + X_7) - (X_0))
2.561e+00     14    f(X_0) = (0.701855)(-28.301097 + X_0 + sqrt(53.295978 + (-51.640982)(X_6 + X_7)))
2.564e+00     12    f(X_0) = (-24.714916 + X_0)((sqrt(-2.809236 + X_6 + X_7))^(-1))
2.569e+00     11    f(X_0) = X_0 + (80.406255)((-5.432913 + X_6 + X_7)^(-1))
2.571e+00     10    f(X_0) = -11.867281 + X_0 - (exp(1 + X_6 + X_7))
2.576e+00     9    f(X_0) = -13.223754 + (-1.503408)(exp(X_6 + X_7)) - (X_6 + X_7)
2.576e+00     8    f(X_0) = -12.472054 + sinh(-1.517040 - (X_6 + X_7))
2.589e+00     7    f(X_0) = (2.536512)(-5.880682 - (X_6 + X_7))
2.685e+00     6    f(X_0) = -13.791505 - (X_7 + exp(X_6))
2.701e+00     5    f(X_0) = -14.867780 - (X_6 + X_7)
2.775e+00     4    f(X_0) = -13.791505 - (exp(X_6))
2.791e+00     3    f(X_0) = -14.858760 - (X_6)
2.883e+00     1    f(X_0) = -14.836122
