OptimizeResult(success=False, status=2, message='The maximum number of generational steps (50000) occurred', ngen=50000, fitness=0.9381552006188244, time=43052.198405, ea_diagnostics=EaDiagnosticsSummary(beneficial_crossover_rate=0.02975744098907836, detrimental_crossover_rate=0.6396918121267127, beneficial_mutation_rate=0.11291833399435372, detrimental_mutation_rate=0.7212912445002182, beneficial_crossover_mutation_rate=0.02476231020292323, detrimental_crossover_mutation_rate=0.7066068711068051))
Generation:  50000
  FITNESS    COMPLEXITY    EQUATION
9.331e-01     29    f(X_0) = (0.158656)(1.224469 + X_0 - (X_3 + (sinh(X_2))(0.743873 + (-7.184737 + (-4.357498)(X_2))(-1.393965 + exp(sinh(X_3)) + sinh(X_3) - ((2.023090 + X_1)(X_3))) - (X_0))))
9.334e-01     27    f(X_0) = (0.156166)(1.248556 + X_0 - (X_3 + (sinh(X_2))(-7.116440 + (-6.754241 - (X_2))(-2.593611 + exp(sinh(X_3)) + sinh(X_3) - ((2.016144 + X_1)(X_3))) - (X_0))))
9.339e-01     26    f(X_0) = (0.156166)(1.248556 + X_0 - (X_3 + (sinh(X_2))(-7.116440 + (-6.754241 - (X_2))(-2.593611 + exp(sinh(X_3)) + sinh(X_3) - ((2.016144 + X_1)(X_3))))))
9.343e-01     25    f(X_0) = (0.129216)(X_0 + cosh(sinh(X_3)) - (X_3 + (sinh(X_2))(X_1 + (-8.240814 - (X_2))(-1.572737 + sinh(X_3) + cosh(sinh(X_3)) - ((0.819833 + X_1)(X_3))) - (X_0))))
9.345e-01     24    f(X_0) = (0.129216)(X_0 + cosh(sinh(X_3)) - (X_3 + (sinh(X_2))(X_1 + (-8.240814 - (X_2))(-1.572737 + sinh(X_3) + cosh(sinh(X_3)) - ((0.819833 + X_1)(X_3))))))
9.346e-01     23    f(X_0) = -1.602552 + (0.003817)((31.435861 + (-5.665922)(cosh(sinh(X_3) - (X_1))) - (X_3 + (exp(X_2))(9.771942 + (-5.665922)(cosh(sinh(X_3) - (X_1))) - (X_0))))(31.435861 + (-5.665922)(cosh(sinh(X_3) - (X_1))) - (X_3 + (exp(X_2))(9.771942 + (-5.665922)(cosh(sinh(X_3) - (X_1))) - (X_0)))))
9.353e-01     22    f(X_0) = 30.670176 + (-0.000194)((-386.915206 + X_0 + (-5.709252)(cosh(X_3 - (X_1))) - (X_3 + (exp(X_2))(9.839390 + (-5.709252)(cosh(X_3 - (X_1))))))(-386.915206 + X_0 + (-5.709252)(cosh(X_3 - (X_1))) - (X_3 + (exp(X_2))(9.839390 + (-5.709252)(cosh(X_3 - (X_1)))))))
9.365e-01     20    f(X_0) = (-0.145119)(-1.265849 + X_3 + (6.026927)((X_2)((X_1)(X_3) + (-0.256200)(-2.437931 + X_3 - (X_2)))) - (X_0))
9.369e-01     19    f(X_0) = (0.088921)(7.475307 + (1.266864)((-4.072710 + X_0)(exp(sinh(X_2)))) - (X_3 + (X_3)(cosh(X_0) - (X_2))))
9.372e-01     18    f(X_0) = (0.091124)(7.246986 + (1.246060)((-4.008724 + X_0)(exp(sinh(X_2)))) - (X_3 + (X_3)(cosh(X_0))))
9.373e-01     17    f(X_0) = (0.094117)(6.996826 + (-2)(X_3) + (1.202309)((-4.019060 + X_0)(exp(sinh(X_2)))))
9.375e-01     16    f(X_0) = (0.094409)(7.568217 + (-2)(X_3) + (1.284824)((-4.277358 + X_0)(exp(X_2))))
9.376e-01     15    f(X_0) = (-0.520040)(exp(X_2)) + (-0.181758)(-3.921204 + X_3 - ((X_0)(-0.355894 + exp(X_2))))
9.379e-01     14    f(X_0) = (0.146055)(3.671343 + (-2.426945 + X_0)(exp(sinh(X_2))) - (X_2 + X_3))
9.379e-01     13    f(X_0) = (-0.524217)(exp(X_2)) + (-0.151962)(-4.720123 + X_3 - ((X_0)(exp(X_2))))
9.383e-01     12    f(X_0) = (0.152554)(4.719578 + X_0 + (-3.407390)(exp(X_2)) - (X_3))
9.388e-01     11    f(X_0) = (-0.500839)(exp(X_2) - (sqrt(-1.998670 + X_3 - (X_0))))
9.397e-01     10    f(X_0) = (-0.153371)(-2.603753 + X_2 + X_3 + sinh(exp(X_2)))
9.399e-01     9    f(X_0) = (-0.501389)(exp(X_2) - (sqrt(-1.997433 + X_3)))
9.434e-01     7    f(X_0) = -0.905314 + sqrt(cosh(X_3) - (X_2))
9.444e-01     6    f(X_0) = (0.498447)(1.394754 - (exp(X_2)))
9.462e-01     5    f(X_0) = 1.162784 - (sqrt(exp(X_2)))
9.517e-01     4    f(X_0) = (0.416240)(0.416240 - (X_2))
9.571e-01     3    f(X_0) = (-0.578796)(X_2)
9.875e-01     1    f(X_0) = 0.157922
