OptimizeResult(success=False, status=2, message='The maximum number of generational steps (50000) occurred', ngen=50000, fitness=2.542771242624018, time=27092.155712, ea_diagnostics=EaDiagnosticsSummary(beneficial_crossover_rate=0.01486776324613916, detrimental_crossover_rate=0.6401397702574414, beneficial_mutation_rate=0.07723512849592268, detrimental_mutation_rate=0.6638170559689126, beneficial_crossover_mutation_rate=0.014544756403542369, detrimental_crossover_mutation_rate=0.6153458342778086))
Generation:  50000
  FITNESS    COMPLEXITY    EQUATION
2.441e+00     29    f(X_0) = 1.213212 + (2)(X_1) + (-20.213582)((X_2)^(-1)) + (-2.560496 + (X_1)(2.301067 + (1.030061)((2)(X_1) + log(X_1))))((-0.058917 + log(X_2))(log((-109265.961332)(log(X_2)))))
2.441e+00     25    f(X_0) = 1.133447 + (2)(X_1) + (-20.118744)((X_2)^(-1)) + (-2.560792 + (0.031161)(log(X_1)))((-0.058300 + log(X_2))(log((68293.230322)(log(X_2)))))
2.442e+00     23    f(X_0) = 2.399450 + (2)(X_1) + (-22.963634)((X_2)^(-1)) + (-2.722242)((-0.051372 + log(X_2))(log((252860.624934)(log(X_2))))) + cosh(X_2)
2.442e+00     21    f(X_0) = 0.933351 + (2)(X_1) + (-19.785049)((X_2)^(-1)) + (-2.575852)((-0.053523 + log(X_2))(log((83176.810254)(log(X_2)))))
2.442e+00     19    f(X_0) = 0.933351 + X_1 + (-19.785049)((X_2)^(-1)) + (-2.575852)((-0.053523 + log(X_2))(log((83176.810254)(log(X_2)))))
2.443e+00     18    f(X_0) = -17.883185 + X_1 - ((sqrt(3.423862 + (X_2 + (-4.465828)(X_2 - (sqrt(X_2))))(-3.579478 + sinh(X_2 - (sqrt(X_2))))))(3.423862 + (X_2 + (-4.465828)(X_2 - (sqrt(X_2))))(-3.579478 + sinh(X_2 - (sqrt(X_2))))))
2.444e+00     15    f(X_0) = -17.863231 + X_1 - ((sqrt(-4.374396 + (0.385815)((X_2)(9.848505 + sinh(X_2)))))(-4.374396 + (0.385815)((X_2)(9.848505 + sinh(X_2)))))
2.444e+00     14    f(X_0) = -17.797518 + (2)(X_1) - ((-5.071367 + (6.039222)(X_2) - (X_2))(sqrt(-5.071367 + (6.039222)(X_2) - (X_2))))
2.445e+00     13    f(X_0) = (X_2)((-1.489122)(30.898754 - (X_1)) + (-14.697557)((X_2)(-2.922320 + X_2)))
2.446e+00     11    f(X_0) = (X_2)(-46.036312 + X_1 + (-14.716543)((X_2)(-2.921408 + X_2)))
2.447e+00     10    f(X_0) = -13.953327 + X_1 + (-1.233389)(sinh(cosh(X_2))) - (X_2)
2.447e+00     9    f(X_0) = (-1.602624)(9.574983 + sinh(sinh(X_2)) - (X_1))
2.448e+00     8    f(X_0) = -13.840745 + (-1.395718)(X_2 + cosh(sinh(X_2)))
2.448e+00     7    f(X_0) = -13.787438 - (X_2 + sinh(X_2) + cosh(sinh(X_2)))
2.449e+00     6    f(X_0) = -15.743214 - ((X_2)(X_2 + (X_2)(X_2)))
2.450e+00     5    f(X_0) = -16.684113 - (((X_2)(X_2))((X_2)(X_2)))
2.499e+00     4    f(X_0) = -15.112935 - (exp(X_2))
2.590e+00     3    f(X_0) = -16.879907 - (X_2)
2.649e+00     1    f(X_0) = -17.883686
