OptimizeResult(success=False, status=2, message='The maximum number of generational steps (50000) occurred', ngen=50000, fitness=1.0935845376676266e+95, time=34274.564352, ea_diagnostics=EaDiagnosticsSummary(beneficial_crossover_rate=0.0208801468905395, detrimental_crossover_rate=0.6039719352724549, beneficial_mutation_rate=0.09126501904854938, detrimental_mutation_rate=0.6336817426980561, beneficial_crossover_mutation_rate=0.01846996779033906, detrimental_crossover_mutation_rate=0.5870335342160442))
Generation:  50000
  FITNESS    COMPLEXITY    EQUATION
2.441e+00     29    f(X_0) = 6570002.802420 + (8.882155)(X_1 + (0.012791)(-57829227.501058 + (54.909165)((X_1)(X_1)) + log(X_1 - (log(X_2))) + (-242.360179)((log(X_2) + (0.581494)(((X_2)^(-1))(X_1 - (log(X_2)))))(sqrt(log(X_2))))))
2.441e+00     28    f(X_0) = -18.021111 + (6.830460)(X_1) + (100.830851 + (0.983479)((-34.095161 + (-2)(X_1) + (7.310745)(((X_2)^(-1))(log(sqrt(X_2)))))(log(7.310745) + sqrt(X_2))))(sqrt((7.310745)(((X_2)^(-1))(log(sqrt(X_2))))))
2.442e+00     25    f(X_0) = (1.015978)((-13.395092 + (2)(X_1) - ((X_2)(3.679179 + sqrt(-23.820650 + (23.604543)(X_2) + (-22.345443)(log(X_2))))))((cosh(X_1))^(-1)))
2.442e+00     20    f(X_0) = -16.046946 + (1.159074)((-1.103555 + X_2)(-2.828991 - (X_1 + X_2 + log(X_2) + log(log(X_2) - (X_1))))) - (cosh(sinh(X_2)))
2.443e+00     19    f(X_0) = -16.019066 + (1.442918)((-1.078832 + X_2)(-2.351813 - (X_2 + log(X_2) + log(log(X_2) - (X_1))))) - (cosh(sinh(X_2)))
2.444e+00     16    f(X_0) = (0.851250)(-21.126580 + (0.487109 + X_1 + (-10.589067)((X_2)(log(sqrt(X_2)))))(sqrt(X_1 + (-10.589067)((X_2)(log(sqrt(X_2)))))))
2.445e+00     14    f(X_0) = -17.897439 + (0.046302 + (-0.044278)((X_2)(X_2)))(sqrt(-14946.572691 + (14033.978078)(X_2)))
2.445e+00     13    f(X_0) = -1175.148869 + X_1 + (2.896207 + X_2)(451.618648 + (-154.560892)(sqrt(X_2)))
2.446e+00     12    f(X_0) = 16.691259 + (30.120196 + X_1)((X_2)(X_2)) + (-23.747528)(exp(X_2))
2.446e+00     10    f(X_0) = (1.270096)(-11.492779 + X_1 - (X_2 + sinh(sinh(X_2))))
2.447e+00     9    f(X_0) = (1.602624)(-9.574983 + X_1 - (sinh(sinh(X_2))))
2.447e+00     8    f(X_0) = -15.035811 + X_1 - (sinh((1.717256)(X_2)))
2.448e+00     7    f(X_0) = -15.369228 + (-0.316693)((exp(X_2))(exp(X_2)))
2.448e+00     6    f(X_0) = -15.039610 + sinh((-1.717192)(X_2))
2.450e+00     5    f(X_0) = -16.671371 - (((X_2)(X_2))((X_2)(X_2)))
2.499e+00     4    f(X_0) = -15.112935 - (exp(X_2))
2.590e+00     3    f(X_0) = -16.879907 - (X_2)
2.649e+00     1    f(X_0) = -17.883686
