OptimizeResult(success=False, status=2, message='The maximum number of generational steps (50000) occurred', ngen=50000, fitness=2.697581584537434, time=29290.783501, ea_diagnostics=EaDiagnosticsSummary(beneficial_crossover_rate=0.015852465450881377, detrimental_crossover_rate=0.6670083987994462, beneficial_mutation_rate=0.09800906871657379, detrimental_mutation_rate=0.7457617959561558, beneficial_crossover_mutation_rate=0.017899828920952106, detrimental_crossover_mutation_rate=0.7231238916968074))
Generation:  50000
  FITNESS    COMPLEXITY    EQUATION
2.650e+00     44    f(X_0) = -17.325775 + (0.651563)(X_0) + (-0.531767)(X_7) + (X_6)(-1.633237 + (0.651563)(X_0) + (-0.531767)(X_7)) + (-0.048651)((8.055354 + X_4)(-1.293038 + X_1 + exp(exp(X_6)))) + (-11.267026)(((exp(X_5))^(-1))((-0.081817)((X_7)(-14.393232 + X_0 + exp(X_1))) - (sinh(X_7))))
2.650e+00     40    f(X_0) = -18538520.552592 + (0.651346)(X_0) + (-0.540612)(X_7) + (X_6)(-1.631889 + (0.651346)(X_0) + (-0.540612)(X_7)) + (-0.393253)(-47141402.051206 + X_1 + exp(exp(X_6))) + (-11.315561)(((exp(X_5))^(-1))((-0.081476)((X_7)(-14.440550 + X_0 + exp(X_1))) - (sinh(X_7))))
2.651e+00     39    f(X_0) = -122071942.791318 + (0.716337)(X_0) + (-0.459494)(X_7) + (X_6)(-1.599826 + (0.716337)(X_0) + (-0.459494)(X_7)) + (-0.399539)(-305531820.078798 + X_1 + exp(exp(X_6))) + (-11.197176)(((exp(X_5))^(-1))((-0.098201)((X_7)(-12.216830 + exp(X_1))) - (sinh(X_7))))
2.652e+00     38    f(X_0) = -6289473.055772 + (0.712592)(X_0) + (X_6)(-1.715698 - ((X_6)(X_7))) + (-0.377403)(-16665083.183592 + X_1 + exp(exp(X_6))) + (-9.604962)(((exp(X_5))^(-1))((-0.107442)((X_7)(-11.644512 + exp(X_1))) - (sinh(X_7)))) - ((X_6)(X_7))
2.653e+00     37    f(X_0) = -17.784211 + (-0.330910)(((X_7)((exp(X_1 + X_5))^(-1)))((1.508931 + X_6 + exp(X_6))(cosh(X_0)))) + (1.440757)((-0.211098 + X_0)(0.498844 + X_1) + (-2.160127)((X_6 + log(cosh(X_6)))(cosh(log(cosh(X_6))))))
2.653e+00     35    f(X_0) = -6289473.055772 + (0.712592)(X_0) + (-1.715698)(X_6) + (-0.377403)(-16665083.183592 + X_1 + exp(exp(X_6))) + (-9.604962)(((exp(X_5))^(-1))((-0.107442)((X_7)(-11.644512 + exp(X_1))) - (sinh(X_7))))
2.653e+00     34    f(X_0) = -180886470.253838 + (0.908370)(X_0 + (-0.285082)(-698511063.820128 + X_0 + X_1 + (1.203110)((3.400650 + X_3)((exp(X_6))(exp(X_6)))) + log(log(X_6) - (X_6)) - (X_5 + (X_3)(sqrt(log(X_6)) - (X_6)))) - (X_7))
2.653e+00     33    f(X_0) = -17.724661 + (-0.298397 + X_0)(0.718710 + X_1) + (-0.335914)((X_7)(((exp(X_1 + X_5))^(-1))(1.559621 + X_6 + exp(X_6)))) + (-3.103200)((X_6 + log(cosh(X_6)))(cosh(log(cosh(X_6)))))
2.654e+00     31    f(X_0) = -17.724163 + (-0.298876 + X_0)(0.718835 + X_1) + (-0.665451)((1.314372 + X_6)((X_7)((exp(X_1 + X_5))^(-1)))) + (-3.102593)((X_6 + log(cosh(X_6)))(cosh(log(cosh(X_6)))))
2.656e+00     29    f(X_0) = -180886470.253838 + (0.908370)(X_0 + (-0.285082)(-698511063.820128 + X_0 + X_1 + (1.203110)((3.400650 + X_3)((exp(X_6))(exp(X_6)))) + log(log(X_6) - (X_6)) - (X_3)) - (X_7))
2.656e+00     27    f(X_0) = -25689.657693 + (0.926244)(X_0 + (-0.287367)(-96452.560215 + X_0 + X_1 + (3.970951 + X_3)((exp(X_6))(exp(X_6))) + log(log(X_6) - (X_6)) - (X_3)) - (X_7))
2.657e+00     25    f(X_0) = (-29.893065)((1.659297 + X_6 + (-1.226708)(sinh(X_6)))^(-1)) + (X_0)((exp(sinh(X_1)))((cosh(X_0 - ((X_3)(X_3))))^(-1))) - (X_7)
2.657e+00     24    f(X_0) = (-29.893065)((1.659297 + X_6 + (-1.226708)(sinh(X_6)))^(-1)) + (X_0)((exp(sinh(X_1)))((cosh(X_7 - ((X_0)(X_0))))^(-1))) - (X_7)
2.658e+00     23    f(X_0) = (0.698690)(X_0) + (-1.429316)(14.136810 + (-1.573299 - (X_6))((cosh(X_6))^(-1)) + (X_6)(X_3 + (2.682767)(cosh(X_6)))) - (X_7)
2.659e+00     19    f(X_0) = (X_0)(exp(sinh(X_1))) + (-29.893065)((1.659297 + X_6 + (-1.226708)(sinh(X_6)))^(-1)) - (X_7)
2.660e+00     18    f(X_0) = (0.800049)(X_0 + (-1.025455)(21.156275 + X_6 + (1.106764)((exp(X_6))(exp(X_6))) - (sqrt(X_6))) - (X_7))
2.660e+00     17    f(X_0) = (2.192072)((-22.291234 + X_0 + (5.035814)(X_6) - (X_7))((2.720954 - (sinh(X_6)))^(-1)))
2.663e+00     15    f(X_0) = -18.068375 + (-0.872245)(((X_6)(exp(cosh(X_6)) - (X_1)) - (X_0))(cosh(X_6))) - (X_7)
2.664e+00     13    f(X_0) = (-0.162463)((22.594806 + X_7 - (X_0 + X_6))(3.881135 + exp(X_6)))
2.665e+00     12    f(X_0) = (0.789598)(-19.008447 + X_0 + (-3.713692)(exp(X_6)) - (X_7))
2.666e+00     11    f(X_0) = -15.324947 + X_0 + (-2.593202)(exp(sinh(X_6))) - (X_7)
2.666e+00     10    f(X_0) = -15.139233 - ((2.804902 + X_7 - (X_0))(exp(X_6)))
2.672e+00     9    f(X_0) = -15.356914 + (-2.568787)(exp(sinh(X_6))) - (X_7)
2.674e+00     8    f(X_0) = -15.139233 - ((2.804902 + X_7)(exp(X_6)))
2.690e+00     7    f(X_0) = -15.356914 + (-2.568787)(exp(sinh(X_6)))
2.691e+00     6    f(X_0) = -16.302113 - (X_6 + cosh(exp(X_6)))
