OptimizeResult(success=False, status=2, message='The maximum number of generational steps (50000) occurred', ngen=50000, fitness=2.676711093402315, time=27039.637075, ea_diagnostics=EaDiagnosticsSummary(beneficial_crossover_rate=0.017500874246724623, detrimental_crossover_rate=0.6652745947968088, beneficial_mutation_rate=0.0987360980057032, detrimental_mutation_rate=0.7482553035809201, beneficial_crossover_mutation_rate=0.018153027337306737, detrimental_crossover_mutation_rate=0.7244383841493961))
Generation:  50000
  FITNESS    COMPLEXITY    EQUATION
2.648e+00     35    f(X_0) = (-0.707955)(25.493844 - (X_0 + (X_1)(-0.331530 + X_0 + X_3 + X_6))) + (0.013780)((sqrt((X_1)(-0.331530 + X_0 + X_3 + X_6)))^(-1)) - (X_6 + X_7 + (X_6)((X_3 + (0.798823)(1.231452 + X_5 + exp(X_6)))(cosh(X_6))))
2.649e+00     33    f(X_0) = (-0.707955)(25.493844 - (X_0 + (X_1)(-0.331530 + X_0 + X_3 + X_6))) + (0.013780)((sqrt((X_1)(-0.331530 + X_0 + X_3 + X_6)))^(-1)) - (X_6 + X_7 + (X_6)((X_3 + (0.798823)(1.231452 + exp(X_6)))(cosh(X_6))))
2.650e+00     32    f(X_0) = (-0.695162)(25.920314 - (X_0 + (X_1)(-0.336016 + X_0 + X_4 + X_6))) + (0.010259)((sqrt((X_1)(-0.336016 + X_0 + X_4 + X_6)))^(-1)) - (X_6 + X_7 + (X_6)((X_3 + exp(X_6) + sqrt(X_6))(cosh(X_6))))
2.650e+00     30    f(X_0) = (-0.691054)(26.030340 - (X_0 + (X_1)(-0.339140 + X_0 + X_6))) + (0.011107)((sqrt((X_1)(-0.339140 + X_0 + X_6)))^(-1)) - (X_6 + X_7 + (X_6)((X_3 + exp(X_6) + sqrt(X_6))(cosh(X_6))))
2.651e+00     29    f(X_0) = (-0.751025)(23.958377 + X_6 - (X_0 + (X_1)(-0.272639 + X_0 + X_6))) + (0.006932)((sqrt((X_1)(-0.272639 + X_0 + X_6)))^(-1)) - (X_6 + X_7 + (X_6)((X_3 + exp(X_6))(cosh(X_6))))
2.651e+00     27    f(X_0) = -18.196608 + (0.695324)(X_0) + (-1.070289)(X_7) - ((-0.929776 + (0.811167)(exp(X_6)))(4.403131 + X_3 + X_7 + (1.118480)(log(X_6)) - (X_1)))
2.652e+00     24    f(X_0) = (-0.737139)(24.362099 + X_6 - (X_0 + (X_1)(-0.291147 + X_0 + X_3 + X_6))) - (X_6 + X_7 + (X_6)((X_3 + exp(X_6))(cosh(X_6))))
2.654e+00     23    f(X_0) = -18.223062 + X_0 - (X_7 + (-0.898392 + (0.778252)(exp(X_6)))(4.647870 + X_3 + X_7 + (1.148921)(log(X_6)) - (X_1)))
2.654e+00     22    f(X_0) = -18.223063 + X_0 - (X_7 + (-0.898392 + (0.778252)(exp(X_6)))(4.647868 + X_3 + (1.148920)(log(X_6)) - (X_1)))
2.656e+00     21    f(X_0) = -18.223063 + X_0 - (X_7 + (-0.898393 + (0.778252)(exp(X_6)))(4.647865 + X_7 + (1.148918)(log(X_6)) - (X_1)))
2.658e+00     20    f(X_0) = -18.022968 + X_0 - (X_7 + (-0.791594 + (0.737084)(exp(X_6)))(4.678496 + X_3 + (log(X_6))(sqrt(log(X_6)))))
2.660e+00     19    f(X_0) = (1.584723)(-12.261538 + (X_0)(1.476726 + X_1) + (-2.069255)(exp(X_6)) - (X_0)) + sqrt((1.584723)(-12.261538 + (X_0)(1.476726 + X_1) + (-2.069255)(exp(X_6)) - (X_0))) - (X_7)
2.660e+00     17    f(X_0) = (1.419874)(-10.567570 + (X_0)(1.476719 + X_1) + (-2.071906)(exp(X_6)) - (X_0)) - (X_7)
2.661e+00     16    f(X_0) = (0.650093)(-29.302666 + (5.541288 + X_0 + (-3.889654)(exp(X_6)))(cosh(X_6))) - (X_7)
2.662e+00     13    f(X_0) = -15.052156 + (-3.585349 + (0.637554)(exp(X_0)) - (X_7))(exp(X_6))
2.662e+00     12    f(X_0) = -15.031475 + (-2.929921 + (0.673558)(X_0) - (X_7))(exp(X_6))
2.666e+00     11    f(X_0) = -15.179097 + X_0 + (-2.714597)(exp(sinh(X_6))) - (X_7)
2.667e+00     10    f(X_0) = -14.976222 + X_0 + (-2.966296)(exp(X_6)) - (X_7)
2.673e+00     8    f(X_0) = -16.302113 - (X_6 + X_7 + cosh(exp(X_6)))
2.690e+00     7    f(X_0) = -15.341441 + (-2.574893)(exp(sinh(X_6)))
2.691e+00     6    f(X_0) = -16.302113 - (X_6 + cosh(exp(X_6)))
2.701e+00     5    f(X_0) = -16.993820 - ((exp(X_6))(exp(X_6)))
2.793e+00     4    f(X_0) = -17.017538 - (exp(X_6))
2.813e+00     3    f(X_0) = -18.084793 - (X_6)
2.929e+00     1    f(X_0) = -18.062156
