,grain,FIP
0,1,3.866272970602893e-07
1,2,2.370514655331592e-08
2,3,3.026898967626063e-10
3,4,1.4634162253193082e-07
4,5,5.113789527308782e-07
5,6,4.244255386660078e-06
6,7,5.532121195821227e-06
7,8,1.7606879159313022e-08
8,9,1.0413083717987994e-07
9,10,1.6073920256193327e-09
10,11,1.5636263621321328e-08
11,12,8.596664755442695e-06
12,13,5.584046685212883e-08
13,14,1.7352806789343632e-06
14,15,5.706027300659073e-10
15,16,5.375548660431391e-09
16,17,3.0609716163710868e-06
17,18,5.036023173216569e-06
18,19,1.5856320114963052e-07
19,20,1.307923846346495e-07
20,21,3.8102455266826204e-07
21,22,6.433094630027763e-07
22,23,3.4456836739470875e-07
23,24,6.920757603787348e-11
24,25,6.447447693001225e-10
25,26,3.8051763370521675e-06
26,27,3.327361688511031e-08
27,28,1.0701218364175516e-07
28,29,2.519416484334706e-08
29,30,8.039265859316447e-06
30,31,8.697311736126296e-06
31,32,8.203088434068551e-07
32,33,1.1001679489869078e-06
33,34,8.421349522972986e-10
34,35,3.7676960971144835e-08
35,36,2.819708683570588e-07
36,37,2.1436202259674448e-07
37,38,1.1882486633808903e-08
38,39,2.7678407669370667e-08
39,40,9.697704730479587e-07
40,41,4.919624014231183e-06
41,42,4.203108979258317e-09
42,43,6.815154382975998e-07
43,44,1.8137993699872686e-06
44,45,8.091559595515777e-07
45,46,1.0780254472700167e-06
46,47,1.131362678968195e-06
47,48,4.146279844843024e-07
48,49,1.1521499205344443e-08
49,50,1.1245380437078045e-07
50,51,4.0118546118663186e-08
51,52,2.966407839335977e-08
52,53,1.782869282987594e-06
53,54,1.831874346422321e-08
54,55,6.939193531381471e-07
55,56,1.6056108565323039e-09
56,57,3.643921650131099e-07
57,58,7.782277811666731e-08
58,59,6.913195566972589e-06
59,60,2.4287284281429935e-06
60,61,4.280259818977397e-10
61,62,1.4602212188394005e-07
62,63,1.870812293259639e-08
63,64,7.707514082411524e-08
64,65,8.316672149582987e-06
65,66,2.1218797511823375e-10
66,67,2.1188972534663283e-06
67,68,1.5996072010259269e-07
68,69,9.13500992742028e-09
69,70,1.5852114622217259e-06
70,71,9.947039297800995e-07
71,72,1.3601123452113592e-07
72,73,1.3398700801974158e-07
73,74,2.585409781576733e-06
74,75,1.91416458625024e-07
75,76,4.791517122552782e-08
76,77,5.643733508912076e-06
77,78,8.349071397306682e-06
78,79,7.661847598630034e-06
79,80,7.017138282160073e-08
80,81,8.645203019496604e-06
81,82,1.9668263082792782e-07
82,83,8.943319308165512e-08
83,84,3.6651415733359187e-07
84,85,1.2709016953726933e-06
85,86,3.992685777702976e-07
86,87,2.9456765891501924e-08
87,88,2.3200671128906474e-07
88,89,5.057422726234099e-06
89,90,2.871880600360413e-07
90,91,5.006232757342341e-08
91,92,1.4681175123757745e-06
92,93,5.317689850742793e-08
93,94,6.931704448593777e-06
94,95,1.4318446612656538e-06
95,96,3.463168800778128e-06
96,97,2.9258450836272615e-06
97,98,5.085776661709689e-07
98,99,3.044075590790606e-08
99,100,3.594157875972391e-07
100,101,1.2240165500956495e-06
101,102,1.0248251770761066e-06
102,103,9.683158223392294e-07
103,104,9.321563234236317e-06
