1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
1412,12784,1505,12799,1609,554,3459,7818,710,78,2730,11702,4588,406,8482,12401,7348,265,9689,4916,1325,526,3508,178,12816,8200,12130,2093,13941,11081,10266,8672,3771,7994,9035,8058,7233,626,2618,111,485,7229,6989,3468,8517,12747,3148,1,5291,4663,513,451,12143,7629,6308,3136,7767,901,8770,241,2948,541,3025,384,10,2995,19,9928,1528,4495,3,6936,11684,6332,8609,8154,13014,8201,13,119,5197,2769,505,4566,3061,7317,13426,134,2998,10144,276,4837,7542
1413,12785,1506,12824,1610,559,3483,7819,734,79,3331,11726,4589,407,8483,12402,7349,289,9690,4941,1350,527,3533,179,12841,8224,12131,2716,13942,11082,10290,8673,3796,7995,9059,8059,7234,1251,2619,112,486,7230,6990,3469,8569,13321,3772,2,5292,4664,514,452,12144,7653,6882,3137,7768,926,8771,242,2973,542,3050,385,11,2996,20,9929,1529,4496,4,6937,11709,6333,8610,8177,13039,8202,14,120,5220,2770,506,4567,3638,7340,13451,135,2999,10145,277,4838,8140
1414,12786,1507,13423,1634,560,3484,7820,735,103,3332,11727,5162,408,8507,12403,7373,290,9714,4942,1949,528,3558,180,13415,8225,12155,2717,13966,11105,10291,8697,4395,8019,9060,8060,7235,1276,2642,113,510,7254,7013,3493,8570,13346,3773,26,5293,4687,536,453,12145,7654,6906,3138,7769,951,8772,243,3547,543,3075,386,12,3019,21,9930,1553,4521,5,6938,11710,6334,8611,8178,13040,8203,15,121,5221,2771,507,4569,3639,7341,13476,157,3000,10146,278,4839,8141
1437,12809,1508,13424,1635,579,3509,7843,736,104,3355,11728,5187,409,8508,12426,7374,291,9715,4966,1950,529,3583,181,13416,8249,12156,2718,13967,11106,10292,8698,4396,8020,9061,8083,7258,1277,2643,114,511,7803,7014,3494,8594,13347,3797,27,5294,4688,537,476,12146,7677,6907,3139,7770,1501,8773,244,3548,566,3650,387,35,3595,22,9931,1554,4545,6,6960,11711,6357,8633,8179,13064,8226,16,122,5222,2794,508,4570,3661,7342,13501,158,3024,10168,301,4861,8142
1438,12810,1530,13425,1659,580,3534,7844,758,105,3356,11751,5188,430,8532,12427,7949,313,10289,4967,1951,551,3584,203,13417,8250,12180,2719,13968,11107,10316,8722,4420,8044,9083,8084,7259,1301,2644,136,512,7827,7015,3495,8595,13371,3798,51,5316,4689,538,477,12147,7678,6908,3161,7771,1502,8774,266,3572,567,3674,962,36,3596,23,9953,1555,4546,7,6961,11712,6358,8634,8751,13639,8227,17,123,5246,2795,509,4590,3662,7940,13526,159,3623,10169,302,4862,8143
1439,12811,1531,13448,1660,582,3559,7845,759,127,3357,11752,5213,431,8533,13001,7950,314,10313,5541,1952,552,4106,204,13440,8274,12181,2741,13969,11129,10317,8747,4421,8045,9084,8085,7260,1876,2645,137,1109,7828,7039,3496,9141,13372,3821,52,5317,4712,539,478,12169,7679,6931,3162,7772,1526,8775,267,3573,568,3675,963,37,3619,24,9954,1578,4571,8,6962,11713,6359,9210,8752,13640,8826,18,124,5247,2796,530,4591,3663,7941,13551,160,3624,10170,303,4863,8165
1440,12812,1532,13449,1684,583,4084,8443,760,128,3358,11753,5214,432,8558,13002,7972,315,10314,5565,1974,553,4107,205,13441,8275,12182,2742,13992,11130,10890,9271,4996,8046,9085,8086,7261,1901,2667,138,1110,7829,7040,3497,9142,13373,3822,76,5318,4713,540,479,12170,7701,6932,3163,7773,1527,8796,268,3597,591,3699,986,60,3620,25,9955,1579,5094,9,6963,12308,6360,9211,8753,13664,8827,38,144,5271,2820,531,4592,3686,7942,14051,161,3625,10171,304,4864,8166
1462,12833,1533,13450,2234,584,4085,8444,761,129,3379,11776,5787,433,9082,13003,7973,316,10315,5566,1975,576,4131,206,13442,8299,12205,2743,13993,11131,10891,9272,4997,8070,9086,8108,7283,1902,2668,139,1111,7852,7065,3519,9143,13397,3847,77,5891,4738,561,501,12171,7702,6933,3164,7793,1551,8797,269,3598,592,3700,987,61,3621,44,9956,1580,5118,28,6986,12309,6956,9233,8754,13665,8828,39,145,5272,3371,532,4593,3687,7943,14076,162,3649,10172,305,4865,8167
1463,12834,1534,13474,2235,585,4086,8445,783,130,3380,12326,5788,434,9107,13026,7974,317,10338,5567,1976,577,4132,228,13465,8300,12206,2744,14017,11132,10892,9296,5019,8095,9110,8109,7284,1925,2669,140,1112,7853,7590,3520,9167,13398,4373,100,5892,5287,562,502,12172,8228,6934,3185,7794,1552,8798,270,4097,593,3724,988,62,3622,45,9957,1581,5119,29,6987,12310,6957,9234,8755,13666,8829,40,146,5818,3394,533,4594,3688,7964,14077,182,4224,10194,326,4886,8168
1464,12835,1556,13475,2259,603,4108,8446,784,131,3381,12327,5812,455,9108,13027,7975,337,10339,5590,1977,578,4133,229,13466,8324,12207,2765,14541,11156,10915,9297,5020,8120,9111,8110,7285,1926,2692,163,1135,7854,7591,3521,9168,13946,4397,101,5893,5288,563,503,12173,8251,7506,3186,7795,1576,8799,271,4123,594,3725,1009,660,3643,46,9978,1602,5120,30,6988,12311,6958,9235,8776,13689,8851,41,147,5819,3395,534,4595,3711,7965,14101,183,4248,10195,327,4887,8191
