1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
297,8709,6722,6501,355,461,8216,2005,9055,244,376,1722,2651,177,7401,5852,11592,9146,1461,12617,256,116,10376,6514,1428,2140,9259,6465,7520,52,3411,6968,3941,19,10322,3975,6,2338,7279,120,56,14162,289,885,8761,8765,501,3801,309,11711,8062,1971,260,1456,4676,4264,8747,3211,2657,643,7641,4226,644,405,14277,10263,6689,5733,8337,25,2724,2021,4254,409,1,11025,9380,2875,3506,11473,7210,92,10156,12420,10076,7398,12136,112,2991,7158,30,3543,954,2555,11483,1256,9744,3138,2420,419
298,8734,7272,6502,356,462,8241,2578,9080,268,377,2321,2652,178,7402,5853,11616,9171,2036,12618,257,140,10377,6515,1429,2141,9260,6491,7521,53,3412,6969,3966,20,10323,3995,7,2913,7280,121,57,14187,290,886,8762,8766,502,4376,334,11712,8086,1996,261,1457,4677,4289,9371,3235,2659,668,8266,4227,1269,430,14876,10264,6714,5734,8338,26,2725,2023,4279,433,2,11050,10001,2899,3507,11474,7211,117,10180,12421,10077,7423,12137,113,2992,7159,55,3544,955,2556,11484,1257,9745,3139,2421,420
299,9309,7273,6526,357,486,8791,2579,9657,269,378,2322,2653,179,7424,6401,11617,9196,2060,12642,258,141,10378,6516,1430,2165,9261,7041,7522,54,3413,6992,3967,21,10348,3996,8,2914,7303,122,58,14761,291,887,8763,8767,503,4377,907,12288,8087,1997,263,1480,4701,4839,9372,3236,2684,669,8290,4228,1270,431,14877,10265,6716,5735,8361,51,2749,2046,4280,434,3,11576,10002,3451,3508,11475,7235,716,10181,12445,10079,7448,12161,114,3015,7160,80,3567,979,2557,11508,1280,9769,3140,2445,421
322,9333,7297,6550,358,487,8815,2603,9679,270,379,2323,2676,201,7425,6402,11640,9197,2061,12643,281,142,10401,6538,1452,2166,9262,7065,7545,76,3414,6993,4541,22,10349,3997,9,2938,7304,145,59,14762,292,888,8786,8768,504,4378,908,12289,8088,2022,285,1481,4702,4840,9373,3260,3282,692,8291,4229,1295,455,14878,10287,6742,5759,8362,649,2750,2047,4879,435,4,11601,10003,3475,3509,11497,7236,717,10182,12446,10101,7449,12162,137,3016,7184,81,3568,980,2558,11509,1281,9770,3141,2446,422
323,9334,7298,6574,380,488,8816,2604,9680,271,400,2345,2677,202,7426,6403,12190,9221,2086,12644,282,165,10402,6539,1453,2167,9284,7066,7546,77,3436,6994,4565,23,10373,3998,10,2939,7305,146,82,14786,314,1486,8787,8792,505,4379,909,12310,8110,2024,286,1482,4703,4864,9394,3785,3283,693,8890,4251,1320,456,14901,10288,6743,5760,8386,650,2774,2048,4880,457,5,11625,10004,3476,3510,11498,7237,739,10206,13020,10102,7473,12186,138,3017,7185,85,3569,1553,2559,11510,1282,10343,3162,2447,442
324,9335,7322,6575,381,511,8817,2605,9681,293,401,2346,2678,203,7450,6404,12191,9771,2087,12668,283,166,10403,6540,1454,2168,9285,7067,7547,78,3437,7544,4566,24,10922,4020,11,2940,7328,147,83,14787,315,1487,8788,9339,526,4380,932,12311,8111,2521,287,1483,4727,4865,9395,3810,3284,694,8891,4252,1843,14178,14902,10289,6744,5761,8961,651,2775,2071,4903,458,27,11626,10005,3499,3531,11499,7263,740,10207,13021,10701,8023,12187,139,3040,7758,105,4091,1554,2580,11534,1283,10344,3163,2448,443
347,9358,7323,6598,382,512,8840,2627,9682,294,402,2347,2701,204,7976,6405,12192,9772,2660,12669,284,167,10404,6541,1455,2765,9286,7090,7570,79,3438,7569,4567,43,10923,4021,12,2963,7329,170,84,14788,316,1488,8812,9340,527,4401,933,12312,8112,2546,288,1502,4728,4866,9396,3811,3307,718,8914,4253,1844,14179,14903,10290,6768,5762,8962,673,2799,2072,4904,459,28,11648,10006,3500,3532,11500,7807,741,10780,13044,10702,8024,12212,162,3041,7759,106,4092,1555,2581,12106,1881,10345,3164,2993,444
348,9359,7324,6599,383,513,8841,2628,9704,295,403,2348,2702,205,7977,6406,12193,9773,2661,13242,306,168,10405,6563,1478,2766,9287,7091,7571,101,3439,7592,4590,44,10924,4022,13,2964,7330,171,681,14811,317,1511,8813,9341,528,4402,934,12313,8686,2570,310,1503,4729,4889,9947,3835,3308,719,8915,4779,1845,14180,14927,10291,6792,5785,8963,674,2800,2073,4905,460,29,11649,10025,3523,3533,11524,7808,742,10781,13045,10703,8047,12761,163,3592,7760,107,4093,1577,2582,12107,1882,10368,3165,2994,445
349,9360,7346,6622,384,537,8842,2629,9705,296,404,2372,2726,225,8000,6407,12214,9796,2685,13243,307,189,10426,6564,1479,2767,9288,7092,7572,102,3462,7593,4591,45,10947,4595,14,2965,7879,172,682,14812,318,1512,9386,9364,529,4403,957,12314,8687,2571,311,1504,4751,4890,9970,3836,3309,743,8916,4801,1846,14203,15451,10313,6793,5786,8964,675,3350,2646,4906,481,550,11650,10026,3524,3534,12098,7809,763,10782,13046,10704,8048,12762,164,3616,7783,108,4094,1578,2583,12108,1883,10369,3187,3018,446
373,9383,7347,6623,406,538,8865,2630,9706,319,424,2373,3276,226,8001,6427,12215,9797,2686,13267,308,190,10427,6565,2030,2768,9310,7115,7573,103,3463,7594,4592,46,10948,4596,15,2988,7880,745,683,14813,339,1513,9387,9365,530,4404,958,12333,8688,2595,312,1505,4752,4891,9971,3859,3332,744,8917,4802,1868,14204,15476,10314,6817,5787,8985,676,3374,2647,4927,482,551,11673,10027,3525,3535,12099,7832,764,10805,13069,10705,8049,12763,186,3617,7784,109,4115,1579,2584,12109,1906,10370,3188,3019,447
374,9384,7348,6648,407,1087,8866,2631,9707,320,425,2398,3277,227,8002,6428,12216,9798,2687,13268,331,191,10428,6588,2053,2769,9311,7116,7596,104,3464,7595,4593,47,10949,4597,16,2989,7881,746,684,14814,340,1536,9388,9366,552,4426,959,12334,8710,2596,313,1506,4753,4914,9972,3860,3333,1268,8939,4803,1869,14205,15478,10315,6818,6258,8986,698,3375,2648,4928,483,574,11674,10028,3548,3536,12100,7833,765,10806,13070,10726,8072,12786,187,3640,7785,110,4116,1580,2585,12131,1907,10371,3212,3020,448
