94
Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,SurfaceFeatures_2,Volumes,Volumes2,Volumes_2
1,0.84816599,0.66200614,0.51320857,-0.67218,-0.039342489,0.53220594,0.73890358,1.1715215,4.0422783,21.65465,18.366737,14.33551,79.469391,119.14286,117.42857,33.847584,3.2370687,0.18892971,5.2939229,94,14,0.54698354,1,0,0,21168,20304,21168
2,0.78597665,0.77951574,0.048687119,-0.080787756,-0.89777344,0.43023911,1.4153391,0.77012205,3.2946882,34.388828,27.028816,26.806633,80.3713,42.485195,54.936218,55.43726,1.3829991,2.2873957,1.1918991,413,23,0.61903447,1,0,0,94824,89208,94824
3,0.88759261,0.6687423,-0.74009597,0.43591541,0.036059652,0.51081836,4.6454878,0.79516673,5.5920434,32.23135,28.608307,21.554466,130.44943,29.578651,71.25843,52.260925,5.6804194,2.0663612,0.46181577,346,16,0.67225772,1,1,1,76896,74736,76896
4,0.72931796,0.47830027,-0.54935366,0.55486625,-0.3612555,0.50973368,1.0876509,1.6199118,4.400939,15.988038,11.660363,7.6470828,59.454544,20.181818,38.18182,20.858959,4.3137088,2.3835387,4.5387201,22,6,0.31909767,1,0,0,4752,4752,4752
5,0.94569689,0.76065248,0.72269738,0.25850579,-0.5756017,0.28207433,2.115962,1.8697393,4.6774645,23.099606,21.845224,17.570772,94.302635,20.25,93.592102,39.287785,4.6002464,1.7499872,3.913218,147,13,0.53986347,1,1,1,32832,31752,32832
6,0.2544257,0.20664217,-0.29381981,-0.34677863,-0.31185454,0.8343628,6.1870337,0.28512564,6.2197266,86.449898,21.995077,17.864195,105.11688,39.175323,32.454544,50.109303,1.2255681,0.94365925,5.7729902,305,18,0.022346636,1,1,1,66528,65880,66528
7,0.70114177,0.52114195,0.24746799,-0.89534175,0.29322401,0.22614703,0.23522811,0.55493689,5.776207,19.737896,13.839064,10.286246,51.127659,121.59574,128.36171,26.864845,2.29667,2.0157521,4.1340938,47,8,0.47752082,1,0,0,10152,10152,10152
8,0.74259496,0.5400334,0.35034421,-0.21466358,-0.87213129,0.26564151,3.8429556,1.4339573,4.8023496,16.203966,12.032984,8.7506828,126,7.5,28.25,21.472807,3.8670061,0.84683591,4.9664488,24,6,0.20076993,1,1,1,5184,5184,5184
9,0.97053957,0.20948419,0.057615224,0.47186053,-0.57092464,0.66938269,1.5814545,1.5834415,0.55491865,71.940285,69.820892,15.070353,42.025936,84.54467,77.887611,51.80381,5.2970705,0.99075764,2.3984795,337,20,0.00073801988,1,1,1,74952,72792,74952
10,0.78898495,0.44107509,0.24746799,-0.89534175,0.29322401,0.22614703,3.4807274,1.952935,4.1718726,18.87784,14.894331,8.3265448,42.846153,99.307693,103.30769,25.244877,4.319622,1.1007159,1.0722704,39,10,0.46768999,1,0,0,8424,8424,8424
11,0.25586131,0.19452891,0.48757631,-0.84268463,-0.063500129,0.21936204,0.85398757,1.5425417,4.7231116,99.008896,25.332548,19.260094,59.83503,35.028515,64.82077,58.04229,2.3771055,2.6807904,4.4696288,474,28,0.039552655,1,1,1,106056,102384,106056
12,0.723589,0.62991589,0.29234228,0.88987666,-0.22185194,0.27099317,1.6781904,2.2254961,4.2570338,21.021566,15.210975,13.241818,70.643837,125.79452,93,30.969147,1.6511593,2.1550486,4.2805243,72,7,0.55538088,1,0,0,15768,15552,15768
13,0.80923945,0.65959686,0.65356815,-0.6748268,-0.1930435,0.28318113,5.5395331,0.43465668,5.1545544,29.370813,23.768021,19.372896,71.778687,89.97541,41.704918,45.477512,5.0039196,2.5366476,6.2314725,228,17,0.69703889,1,0,0,52704,49248,52704
14,0.92584199,0.48383477,-0.43248221,0.22135657,0.30036283,0.82081825,1.411034,2.1172235,5.9800925,16.392124,15.176517,7.9310799,20.419355,14.225806,9.967742,21.766991,5.4593239,1.0146458,0.122269,25,7,0.34908843,1,1,1,6696,5400,6696
