1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
7934,6694,3409,192,40,5410,2780,126,9837,9058,51,416,343,355,5529,1262,11668,12074,13276,11352,8279,5021,9324,1256,12895,531,5242,7837,3695,6390,3849,2031,9574,120,13716,3078,4757,10887,1,9703,8751,7462,457,9776,15,5034,11857,7,1260,2267,11733,12546,8280,6726,4027,11818,296,4899,452,10,12676,9284,6881,334,8083,9888,1461,538,528,229,2312,13,4673,5707,8798,213,8332,3552,10435,10016,6525,1594,3890,1483,8506,5422,7107,10628,587,8890,113,3751,3861,9803,4124,4392,3260,2806,532,1947,8380,743
7959,6695,3433,193,65,5411,2805,127,9862,9082,76,439,344,356,5530,1263,11692,12075,13277,11353,8303,5022,9348,1257,12920,556,5267,7838,3719,6391,3850,2032,9575,121,13741,3079,4781,10888,2,9728,8752,7463,458,9777,16,5633,11858,8,1261,2291,11734,12547,8281,6727,4052,11842,297,4900,453,11,12701,9883,6906,335,8683,9911,1462,562,529,230,2313,14,4674,5708,8822,214,8333,3553,10436,10040,7124,1595,3891,2106,8507,5423,7108,10629,588,8914,114,3775,3862,9804,4148,4393,3859,2807,533,1972,8405,744
7960,7268,3434,194,66,5435,3404,128,9863,9083,77,440,345,357,6128,1264,11693,12674,13301,11376,8304,5518,9349,1258,12921,13631,5268,7839,3720,6392,3851,2033,9598,122,14316,3103,4782,10913,3,9729,8753,7487,459,9801,17,5634,11859,9,1885,2292,11735,12571,8282,6751,4077,11843,298,4924,454,12,12702,9884,7505,358,8707,9912,1463,563,554,231,2314,38,4675,5709,8823,237,8334,3576,11060,10041,7125,1618,3892,2107,8508,5425,7132,10653,611,8915,115,3776,4459,9828,4149,4417,3860,3431,534,2547,8406,745
7983,7269,3459,195,89,5436,3405,129,9887,9084,78,441,368,378,6129,1265,11694,12675,13302,11377,8328,5519,9350,1259,12946,13656,5292,7840,3721,6393,3874,2034,9599,123,14317,3104,5381,11488,4,9730,8776,7488,482,9802,18,5635,11881,32,1886,2316,11758,12572,8305,6752,4102,11844,299,4925,455,35,12703,9885,7506,359,8708,9913,1485,1136,555,254,2315,39,4697,5710,8826,238,8355,3577,11061,10042,7126,1619,3916,2108,8530,5426,7133,10654,612,8916,138,3777,4460,9829,4150,4418,3884,3432,535,2548,9004,768
7984,7293,4006,216,90,5437,3428,150,10461,9085,79,464,369,379,6130,1266,11717,12699,13303,11401,8329,5520,9374,1282,13495,13680,5293,7841,3745,6394,3875,2035,9622,124,14341,3128,5382,11489,5,9731,8777,8035,483,9826,19,5636,11882,33,1887,2317,11759,12573,8306,6776,4627,11868,301,4950,456,36,12704,9886,7507,360,8732,9935,1486,1137,580,255,2337,63,4698,5732,8851,239,8356,3578,11684,10066,7147,1620,3917,2109,8531,5447,7134,11251,1211,8939,139,3800,4461,9853,4173,4419,3885,3455,536,2549,9005,769
7985,7294,4007,217,91,5460,3429,151,10462,9107,80,465,370,380,6153,1286,11718,12700,13876,11953,8830,5522,9375,1283,13519,13681,5317,7842,3769,6395,3898,2056,9623,145,14342,3153,5383,11490,6,10327,8778,8036,484,9827,20,5637,11883,34,1910,2340,11760,12596,8307,6777,4651,12417,302,5523,476,37,12726,9909,7530,361,8733,9936,1487,1138,581,256,2338,64,4699,5733,8852,240,8357,3579,11685,10067,7148,1621,3918,2133,8532,5448,7135,11252,1212,8940,140,3801,4462,9854,4174,4441,3886,3456,537,2570,9006,770
7986,7295,4008,218,92,5461,3430,152,10463,9108,99,466,371,381,6154,1287,11742,12724,13877,11954,8854,5543,9948,1307,13520,13705,5318,7862,3770,6417,3899,2057,9624,146,14366,3651,5384,11512,25,10328,8801,8037,485,9850,21,5638,11884,56,1911,2341,11761,12597,8308,7328,4652,12418,321,5524,477,60,12727,9910,7531,383,9283,9937,1488,1139,582,257,2339,637,4700,5734,8876,260,8358,3580,11686,10640,7149,1644,3941,2134,8533,5449,7156,11253,1213,8941,163,3802,4485,9855,4175,4442,3910,3457,557,2571,9029,792
8008,7318,4009,219,116,5462,3454,153,10486,9109,100,489,393,382,6155,1288,12292,13274,13878,11976,8855,5567,9949,1308,13521,14255,5790,7863,4295,6418,3900,2058,9646,147,14916,3652,5405,11513,26,10329,8802,8038,507,10351,22,5658,11885,57,1912,2342,11782,12598,8330,7351,4676,12419,322,5525,478,61,12728,10459,7532,384,9307,9938,1510,1161,607,258,2364,638,4721,5735,9399,261,8359,3583,11708,10641,7150,1645,3942,2158,8554,5450,7157,11254,1236,8963,164,3803,4486,9856,4199,4443,3911,3458,558,2572,9030,793
8009,7319,4031,220,117,5986,3478,154,10487,9110,101,490,394,402,6179,1289,12293,13275,13901,11977,8878,5568,9973,1880,13544,14256,5815,7864,4296,6419,4448,2059,9647,148,14940,3653,5406,11514,27,10330,8803,8060,508,10376,23,5659,11886,58,2510,2366,11783,12621,8331,7352,4677,12441,323,5548,479,62,12751,10460,7556,385,9308,9960,1511,1162,1152,259,2365,639,4722,6332,9400,262,8360,3584,11709,10665,7151,2218,3943,2731,8555,5451,7158,11255,1237,8964,188,3825,4487,9879,4200,4444,3935,3481,559,2573,9031,794
8010,7320,4032,241,118,6010,3479,177,10488,9683,102,491,395,403,6180,1290,12294,13298,13902,11978,8879,5592,9974,1881,13545,14280,5816,7865,4297,6420,4449,2060,9648,149,14941,3654,5407,11515,28,10331,8804,8061,509,10377,24,5660,11887,59,2511,2391,11784,12622,8856,7353,4701,12442,324,5549,480,86,12752,10483,8129,386,9309,9961,2036,1163,1153,278,2862,640,4723,6333,9422,263,8980,3601,11710,10666,7172,2219,3967,2732,8556,5472,7159,11276,1238,8965,189,3826,4488,9880,4225,4466,3960,3482,560,2596,9032,795
