1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
155,23,339,814,10707,8576,10584,12530,467,4845,412,11724,10153,8873,17,192,7303,6021,6886,11418,5865,7423,1281,8307,1490,5977,3901,11492,12879,7069,9764,6414,6877,4781,1612,4798,6765,11498,4959,242,3266,254,5663,3373,9398,12817,12343,5971,8220,10015,12266,6357,407,1,482,9491,3235,5529,5190,9928,8780,4028,4087,2824,10122,320,1681,287,201,8876,565,6899,271,7851,10677,5055,5847,8906,3140,7558,1953,5543,8,8835,1775,9379,114,12951,9400,11723,11010,8606,9,2310,5632,6532,11712,1917,2084,206,6890,66,13
179,24,340,815,10732,8577,10585,12531,468,4869,413,12322,10176,8874,18,216,7304,6046,6887,11419,5866,7424,1282,8883,1514,5978,3902,11515,13478,7643,9788,6439,6878,4806,2212,4822,6790,11499,4960,243,3865,279,5688,3374,9399,12818,12368,5972,8221,10016,12291,6358,408,2,483,10089,3259,5530,5191,9929,8781,4029,4088,2825,10699,341,1682,288,202,8877,566,6924,272,7852,11301,5656,5870,8931,3141,7559,2526,5544,32,8836,1800,9380,139,12952,9425,11745,11011,9206,10,2311,5633,6533,11736,1942,2085,207,6891,67,14
180,25,364,840,11331,9177,10610,12532,491,4870,436,12323,10177,9473,19,217,7305,6594,6911,11420,5867,7448,1305,8907,1515,5979,3926,11516,13479,7644,9789,6464,6901,5405,2236,4823,7362,11522,4983,266,3866,280,5689,3375,9422,12841,12918,5973,8222,10017,12317,6381,409,3,484,10090,3260,5555,5215,9953,8805,4030,4113,2848,10700,342,1706,887,203,8878,590,7524,277,7876,11302,5680,5871,8956,3165,7560,2527,5569,33,8837,1825,9381,164,12976,9927,11746,11012,9207,11,2335,6188,6534,11737,1943,2086,208,6892,68,15
204,26,13464,1414,11332,9201,10634,12555,492,4871,437,12324,10178,9474,20,218,7329,6595,6912,11421,5868,7449,1306,8908,1540,5980,3927,11517,13480,7645,9813,6489,6902,5406,2237,4846,7363,11523,4984,267,3890,304,5713,3397,9423,12842,12919,5996,8223,10018,12342,6382,432,4,485,10113,3261,6129,5216,9954,8806,4031,4114,2849,10721,343,1707,888,224,9476,591,7525,278,7877,11303,5681,5872,8981,3741,7583,2528,5570,34,8860,2301,9404,189,12977,9951,11747,11035,9230,12,2336,6256,6535,11761,1944,2109,209,6893,90,16
205,46,13465,1415,11333,9202,10635,12556,493,4894,438,12346,10202,9498,21,241,7330,6596,7510,11443,5890,7998,1307,8909,1564,5981,3951,11540,13503,7646,9814,7038,6903,5407,2261,4847,7364,11524,4985,268,3891,305,5714,3398,9424,13416,12943,5997,8245,10019,12866,6383,433,5,486,10114,3784,6130,5217,9955,8830,4032,4115,2850,10722,344,2281,889,225,9477,615,7549,296,7901,11326,5705,6446,9504,3764,7584,2551,5571,35,8861,2302,9405,13263,13002,9952,11748,11036,9231,36,2360,6257,6536,11762,1945,2110,210,6894,91,37
780,47,13489,1416,11356,9226,11184,12557,516,4895,439,12347,10203,9499,22,816,7331,6619,7511,11444,5891,7999,1329,8932,1565,5982,3952,11541,13504,7668,9815,7039,7501,5430,2262,4848,7365,11547,5558,269,3892,328,5715,3399,9447,13417,12944,5998,8246,10020,12890,6407,434,6,507,10115,3809,6153,5789,9978,8831,4053,4139,2874,10723,345,2282,890,226,9478,616,7550,297,7902,11327,6280,6470,9505,3765,8182,2552,6118,56,9433,2325,9406,13264,13551,9975,11749,11037,9255,537,2384,6258,6537,11786,1968,2111,211,6916,92,38
781,48,13490,1438,11357,9227,11185,13131,517,4896,440,12348,10227,9500,42,817,7355,6620,7512,11445,5892,8000,1330,8933,2115,5983,4501,12067,13505,7669,9838,7040,7502,5431,2286,4872,7366,11548,5559,291,3916,329,5739,3400,9448,13418,12968,5999,8247,10040,12891,6408,435,7,508,10116,3810,6154,5790,9979,8855,4054,4140,2875,10724,365,2283,911,227,9479,1190,7573,298,8429,11328,6281,6471,9506,3766,8183,2553,6142,57,9434,2326,9407,13863,13552,9976,11769,11059,9256,561,2910,6259,6558,11787,2517,2684,212,6917,93,39
804,49,14064,1439,11358,9777,11208,13132,518,4920,461,12349,10228,9524,43,818,7356,6621,7513,11446,5893,8023,1331,9507,2138,5984,4502,12091,13528,7670,9839,7041,7503,5432,2287,4873,7389,11549,5560,292,3917,330,5740,3401,9449,13419,12969,6022,8820,10041,12892,6958,458,27,509,10138,3811,6155,5791,10528,8856,4055,4164,2899,10725,366,2305,912,228,9501,1191,7574,299,8452,11351,6282,6472,9529,3789,8184,2554,6143,58,9435,2327,10003,13864,13576,9977,11770,11060,9831,562,2934,6260,6559,11788,2518,2685,213,6918,115,40
805,50,14065,1440,11359,9778,11209,13133,541,5445,462,12350,10751,9525,44,841,7928,6645,7514,11468,6465,8024,1332,9508,2139,6002,4503,12092,13529,7693,9840,7063,7504,5455,2836,5422,7390,11572,5561,293,4490,331,5764,3402,10021,13441,12993,6023,8821,10042,12915,6982,459,28,510,10139,3812,6156,5814,10529,8881,4056,4165,2900,10745,367,2306,913,229,9502,1215,8149,300,8453,11352,6304,6494,9530,3790,8185,2576,6144,59,9436,2350,10004,13865,13577,9998,11771,11061,9832,563,2935,6261,6560,11812,2541,2686,214,6919,116,41
806,51,14088,1462,11382,9801,11210,13155,14217,5469,463,12371,10752,10099,45,842,7929,6646,7535,11469,6466,8025,1354,9509,2140,6003,4504,12115,13530,7694,9841,7064,7526,5456,2837,5423,7415,11573,5562,294,4491,354,6288,3423,10022,13442,13518,6024,8822,10043,12916,6983,460,29,511,10140,3834,6157,5815,10530,9430,4057,4188,3448,10746,368,2307,914,248,9503,1216,8150,301,8454,11353,6305,6495,9531,3791,8207,2577,6166,60,9437,2351,10005,13888,13578,10000,11772,11609,9855,564,2936,6262,6561,11813,2542,2709,215,6942,117,63
