1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
203,4130,14,2298,297,4826,100,6600,11605,22,3391,4,5819,3986,552,1619,1693,8620,1700,4215,9413,14254,3339,509,5646,1547,2383,6466,7156,234,313,9329,358,4689,8364,517,11283,5689,749,1762,1,138,12754,1506,6871,2723,644,960,9566,182,295,3563,3739,9764,5648,2770,11311,12712,2768,13931,10001,129,201,160,12079,143,13697,418,5426,635,3804,6301,1210,10315,8227,4269,7594,1707,8108,5093,5318,24,8263,11,5731,6814,4556,7876,10003,1883,9835,3929,6737,9899,5133,8495,401,9865,7276,1394,4077,481,9474,8960,1752
204,4154,15,2871,298,4827,119,7102,11606,23,3392,5,5843,3987,553,1620,1694,9220,1724,4216,9438,14255,3340,534,5647,1572,2407,6467,7157,235,314,9330,359,4714,8964,518,11881,5690,1348,1764,2,139,12755,1507,6872,2724,645,983,10190,183,296,3564,3764,9789,5649,2771,11336,12737,3342,13954,10002,154,202,161,12080,167,13722,419,5451,660,3805,6302,1235,10316,8251,4270,7595,1708,8109,5692,5341,25,8287,12,5756,6815,4557,7929,10004,1884,9836,3930,6762,9925,5134,8496,402,9866,7301,1395,4101,482,9475,8984,1753
228,4155,16,2872,299,4851,120,7126,11630,46,3416,6,5844,4011,576,1643,2317,9221,1725,4240,9439,14256,3341,559,5670,1573,2408,6490,7181,236,337,9331,360,4715,8965,519,11882,5691,1370,1785,3,140,12756,1508,7421,3322,669,984,10191,205,319,3565,4314,9790,5673,2772,11337,13337,3343,13955,10026,179,226,184,12081,168,13723,420,5452,685,3828,6303,1236,10339,8252,4271,7620,1733,8658,5693,5342,49,8288,13,5781,6816,4582,7930,10005,1885,9837,3954,6787,10498,5135,8497,403,9867,7302,1418,4102,504,9499,8985,1776
229,4156,17,2873,300,4852,121,7127,11631,47,3417,7,5845,4012,577,1644,2318,9245,1749,4241,9463,14279,3939,584,5671,1597,2409,6491,7182,258,338,9354,361,4739,8988,542,11883,5714,1371,1786,26,162,12757,1509,7445,3323,670,1559,10216,206,320,4162,4315,10389,5674,2794,11361,13362,3366,13956,10027,628,227,185,12103,191,13747,421,6051,710,3829,6326,1809,10340,8277,4294,7642,2306,8682,5717,5366,50,8289,36,6306,6817,4583,7931,10028,1909,9838,4554,6812,10499,5136,8498,404,9868,7877,1419,4103,505,9548,8986,1777
253,4157,18,2896,322,4875,122,7128,11632,48,3418,8,5868,4013,578,1645,2319,9246,1750,4242,9464,14280,3940,1184,5694,1598,2433,6492,7207,259,339,9355,362,5314,8989,543,11907,5715,1372,1787,27,163,12780,1510,7446,3324,1268,1560,10241,207,321,4163,4338,10390,5675,2795,11362,13961,3367,13957,10051,652,251,186,12104,192,13748,422,6076,1258,3830,6327,1810,10341,8777,4295,8141,2307,8683,5718,5367,74,8312,37,6307,6818,4584,7932,10029,1910,9860,4555,7336,10523,5156,8521,405,9889,7901,1420,4127,506,9549,9009,1778
254,4180,19,2897,323,4876,123,7129,11656,70,3442,9,5869,4036,579,1646,2320,9270,1774,4840,10037,14281,3941,14209,5695,1622,2931,6515,7208,260,340,9356,363,5315,8990,544,11908,5716,1373,1788,28,164,12781,1531,7447,3325,1269,1561,10791,208,344,4164,4339,10414,6273,2796,11387,13962,3368,13979,10626,653,252,187,12105,193,14296,423,6077,1259,3831,6328,1811,10364,8802,4296,8142,2308,8707,5719,5391,75,8313,38,6308,6840,4608,7953,10030,2508,9861,4578,7337,10524,5157,8522,406,9890,7902,1421,4152,507,9574,9010,1801
255,4705,20,2898,324,4877,124,7151,11657,71,3443,10,5870,4037,580,1668,2321,9844,1775,4841,10038,14878,3963,14232,6268,1623,2932,6516,7233,261,341,9928,383,5338,9013,568,11932,6263,1374,1789,51,165,12782,1532,7470,3347,1270,1584,10815,209,345,4165,4340,10415,6274,3370,11936,13986,3369,13980,10627,654,276,210,12106,215,14297,424,6078,1260,3853,6329,1834,10365,8826,4320,8143,2309,8708,5743,5915,649,8314,39,6330,6841,5181,7954,10031,2509,9862,4579,7360,10525,5158,8523,427,9891,7903,1422,4177,508,9575,9584,1802
277,4729,21,2899,325,4900,125,7152,12204,72,4014,29,5894,4038,601,1669,2322,9845,2299,4842,10039,14879,3964,14233,6269,1647,2956,6517,7234,262,364,9929,384,5339,9014,569,11933,6264,1396,1812,52,166,12805,1533,7471,3348,1271,1585,10816,230,346,4187,4363,10416,6275,3371,11937,13987,3393,13981,10628,655,801,211,12681,216,14298,425,6100,1261,3854,6352,1835,10366,8827,4321,8166,2331,8709,6317,5916,650,8337,40,6331,6842,5182,7955,10053,2510,9863,4580,7361,10526,5159,8544,428,9892,7924,1443,4676,528,9600,9585,1803
278,4730,41,2922,348,4901,144,7153,12205,73,4015,30,5895,4061,602,1670,2342,9846,2323,4864,10062,14880,3965,14234,6270,1648,2957,7090,7258,283,365,9930,385,5340,9015,570,12506,6265,1397,1813,53,188,12806,1534,7472,3349,1294,1586,10817,231,347,4188,4364,10440,6298,3372,11938,13988,3394,13982,10651,677,826,785,12682,217,14321,426,6101,1283,3855,6353,1836,10939,8851,4322,8167,2332,8732,6318,5917,674,8338,61,6332,6843,5183,7956,10054,2511,9886,4603,7362,10548,5160,8545,429,9893,7925,1444,4677,529,10074,9609,1826
279,4731,42,2923,349,5476,145,7154,12206,95,4016,31,5919,4062,603,1671,2343,9847,2324,4865,10063,14881,3966,14235,6271,2170,2981,7091,7259,284,366,9953,386,5363,9589,594,12507,6266,1398,1814,76,189,12807,1535,7495,3350,1295,1608,10840,232,368,4189,4365,10441,6299,3395,11960,14012,3918,14555,10652,678,827,786,12704,218,14322,443,6102,1284,3856,6354,1837,10940,8852,4323,8168,2333,8733,6342,5918,675,8363,62,6333,6844,5206,7957,10055,2533,9887,4604,7363,10549,5161,8547,430,9914,7926,1445,4678,530,10075,9610,1827
