1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
6727,1,7777,3147,3763,6898,10638,1776,1998,9241,4029,1930,3448,5710,919,632,12061,6878,2344,469,593,13755,194,5413,358,276,301,3186,6396,5644,5006,8164,59,2798,2354,4191,3432,10016,7432,11085,1476,9655,1894,9229,12617,10018,7416,10153,2998,2386,8,6110,8994,5023,291,7,11752,6957,9118,2931,7414,413,2722,12914,8431,6654,337,17,96,609,5310,108,10147,5500,7942,1583,203,411,300,9609,2676,420,465,13823,10161,5904,891,1011,3982,11414,4261,230,474,8373,7137,10001
6728,2,7778,3148,4337,6899,10663,1777,1999,9266,4030,1954,3472,5734,920,633,12062,6879,2345,493,618,13756,217,5414,382,901,302,3187,6397,5669,5007,8189,60,2799,2355,4215,3433,10017,7457,11086,1501,9656,1895,9230,12618,10019,7417,10177,2999,2387,9,6712,8995,5024,292,31,11753,6958,9119,2932,7989,414,2723,12915,8432,6678,362,18,97,13011,5331,132,10148,5524,7943,1584,204,412,321,9633,3301,421,466,13824,10162,5929,1491,1012,4582,11415,4262,256,475,8374,7138,10025
6729,3,7801,3149,4338,6900,10687,1778,2000,9267,4053,1955,3473,5735,945,634,12063,6933,2943,494,1243,13757,218,5438,383,10253,326,3188,6420,5694,5008,8214,61,3399,2356,4216,4006,10639,7481,11087,1502,9680,1896,9253,12619,10020,7418,10178,3023,2411,10,6735,8996,5025,314,32,11754,7555,9120,2957,7990,438,2724,12916,8456,6679,888,19,120,13035,5335,133,10747,5525,7967,1607,226,435,322,9634,3327,422,467,13848,10186,5930,1516,1611,4583,11439,4263,12680,476,8398,7139,10026
6730,4,7802,3172,4339,6923,10712,1801,2023,9291,4054,1979,3474,5759,1520,635,12086,6934,2944,495,9993,13780,219,5987,384,10254,327,3212,6421,5695,5031,8763,83,3400,2357,4240,4007,10640,7482,11088,1526,9683,1897,9254,12642,10021,7419,10179,3024,2412,11,6736,9019,5623,315,33,11755,7556,9143,2958,8013,439,2725,12939,8457,6703,889,20,121,13036,5336,134,10748,5548,7968,1608,227,436,323,9657,3901,445,490,13849,10187,5954,1517,1612,4584,11440,4286,12681,497,8399,7140,10050
6731,5,7803,3173,4362,6924,10736,1802,2024,9292,4055,1980,3496,5760,1544,1206,12087,7501,2945,496,10568,13781,220,5988,385,10276,328,3213,6444,5720,5032,8764,84,3422,2376,4241,4008,10641,8057,11109,1527,9684,2494,9255,12643,10043,7440,10203,3572,2413,12,6759,9020,5624,316,55,11756,7557,9146,3531,8014,440,2748,12940,8481,6704,890,21,122,13037,5356,135,10749,5549,7969,1609,228,437,324,9658,3926,446,491,13850,10211,5955,1541,1613,4606,11493,4287,12705,498,8400,7162,10051
7327,6,7826,3174,4363,6925,10737,1803,2025,9293,4078,2003,3497,5761,1545,1207,12088,7502,2946,518,10592,13782,242,6012,386,10277,329,3238,6445,6244,5033,8765,85,3423,2377,4265,4031,10642,8058,11110,2076,10255,2495,9256,12644,10044,7441,10204,3597,2437,13,6760,9021,5625,317,56,11776,7579,9198,3532,8015,464,2749,12941,8482,6705,911,42,123,13059,5357,136,10750,5550,7992,1610,229,460,325,9659,3927,447,492,13873,10212,5979,1542,1636,4607,11518,4288,12706,499,8949,7163,10576
7352,22,7827,3197,4364,6948,10761,1826,2048,9316,4079,2004,3498,5784,1546,1208,12111,7503,2967,519,10593,13805,243,6013,407,10278,351,3263,6993,6245,5629,8766,86,3424,2378,4266,4032,10664,8059,11111,2077,10256,2496,9277,12668,10045,7442,10205,3598,3011,14,7335,9044,5645,318,57,11777,7580,9223,3556,8038,1037,2773,12964,9030,7279,912,43,124,13060,5359,137,10771,5573,7993,1634,251,461,346,10210,3952,448,516,13874,10236,6004,1543,1637,4608,11519,4312,13304,500,8973,7164,10625
7353,23,7828,3198,4384,6949,10762,1827,2049,9317,4080,2005,3521,5785,1569,1209,12112,7504,2968,520,10594,13806,244,6014,408,10279,352,3264,6994,6268,5630,8788,109,3425,2379,4290,4033,10665,8081,11112,2101,10280,2497,9278,13242,10046,7443,10228,3599,3012,15,7336,9595,5646,319,58,11778,7581,9247,3557,8039,1038,3322,12965,9031,7303,913,44,143,13061,5360,138,10772,5574,7994,1635,252,462,347,10232,3953,470,517,13875,10237,6528,2115,1638,4609,11520,4313,13305,501,8974,7165,10626
7355,24,7852,3199,4385,6950,10763,2401,2050,9318,4104,2006,3522,5786,1570,1232,12113,7505,2969,521,10595,13807,245,6015,409,10302,353,3288,6995,6269,5631,8789,110,3449,2380,4291,4034,10666,8082,11113,2102,10281,2519,9279,13243,10643,7444,10229,3622,3013,16,7337,9619,5647,338,80,11779,7582,9248,3558,8040,1039,3323,12966,9055,7304,914,45,144,13635,5361,139,10773,5575,7995,1660,253,463,348,10233,3977,471,1090,13876,10786,6529,2116,1661,4610,11544,4838,13306,502,8975,7188,10627
7356,25,7853,3722,4386,6973,11262,2402,2598,9865,4105,2028,4026,5811,1571,1233,12137,7506,2970,522,10617,14380,267,6037,410,10325,354,3289,6996,6270,5632,8790,111,3450,2381,4316,4056,10667,8083,11114,2126,10282,2520,9280,13244,10644,7465,10230,3623,3036,34,7358,9620,5648,339,81,11780,7583,9695,3559,8063,1063,3324,13514,9056,7305,915,46,145,13636,5380,140,10774,5598,8019,2208,254,483,349,10234,3978,472,1091,13877,10787,6530,2117,1662,4631,12040,4861,13307,523,8997,7189,10649
