1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
4120,4880,8194,541,212,459,7901,2058,333,10200,5122,3770,8654,8479,9376,11461,3825,2070,6548,2561,5173,5206,182,2706,2948,8926,6063,12216,5254,7039,286,13042,8337,13951,2384,6611,11401,616,226,12635,11168,376,10098,14,217,7698,21,1,5169,11366,6257,10261,570,7719,8216,4052,1814,5,8074,4,1390,9414,2920,11623,4655,5569,12181,9294,488,4551,3271,121,9240,4924,296,2505,2854,663,7283,5019,6122,5110,1001,6439,9015,87,5514,6223,12233,5248,2932,11964,849,13441,5559,8829,7248,4058,9820
4121,4881,8769,542,213,460,7902,2059,334,10222,5123,3771,8678,8480,9377,11485,4376,2096,6549,2562,5174,5207,183,2730,2973,8927,6088,12217,5877,7040,287,13043,8360,13952,2385,7135,11402,617,250,12636,11169,377,10099,15,240,7699,22,2,5170,11390,6258,10262,594,7720,8217,4176,1839,6,8075,26,1391,9415,2921,11648,4656,5570,12182,9318,489,4552,3870,122,9839,4925,297,2506,2855,687,7284,5020,6123,5133,1002,6463,9016,88,5515,6248,12234,5249,2933,11965,1422,13442,5560,8853,7273,4082,9821
4191,4882,8793,543,237,483,7903,2084,357,10223,5148,3794,8679,8504,9378,11486,4377,2668,7099,2611,5175,5230,184,2731,3548,8928,6113,12218,5878,7041,288,13642,8361,13976,2386,7159,11426,1215,251,12637,11170,401,10123,16,241,7722,23,3,5171,11391,6259,10263,1171,7721,8239,4178,2414,7,8099,27,1415,10013,2922,11649,4657,5571,12206,9319,490,4576,3871,145,9840,4949,298,2507,2879,688,7307,5021,6147,5134,1025,6464,9017,89,5516,6796,12235,5250,2934,12540,1423,13443,5585,8854,7274,4083,9844
4216,4904,8794,544,238,484,7926,2658,358,10224,5722,3795,8703,8505,9401,11487,4400,2669,7100,2612,5198,5232,185,2732,3549,8952,6114,12219,5879,7042,311,13643,8362,13977,2409,7160,11427,1216,252,12659,11171,402,10124,17,242,7723,24,626,5172,11413,6283,10286,1195,7744,8240,4179,2438,8,8100,28,1416,10014,2945,12248,4681,5572,12207,9342,514,4577,3894,146,9841,4950,314,2508,2880,712,7308,5022,6722,5135,1626,6465,9589,90,5517,6821,12258,5273,2958,12564,1447,13444,6159,8877,7298,4658,9845
4217,4905,8818,566,239,485,7927,2659,359,10225,5723,3796,8704,8506,9402,11488,4401,2670,7122,3186,5199,5233,203,2756,3572,8953,6662,12241,5903,7043,312,13667,8937,14001,2410,7184,12026,1239,274,12660,11172,403,10698,18,243,8297,25,627,5194,11414,6284,10287,1219,7745,8241,4180,2439,9,8124,29,1441,10015,2946,12249,4682,5594,12755,9343,515,4601,3895,147,9842,5523,315,2509,2881,713,7309,5023,6723,5158,1627,6488,9590,112,5539,6822,12259,5274,2959,12565,1448,14065,6160,8878,7299,4683,9869
4241,4906,8819,567,262,486,7928,2660,382,10247,5746,3820,8705,9052,9403,11510,4402,2692,7123,3187,5200,5805,204,3330,3573,9551,6663,12242,5904,7065,313,13668,8938,14002,2411,7185,12027,1240,275,12661,11192,404,10699,19,264,8298,46,628,5195,11415,6758,10288,1770,7746,8242,4201,2462,10,8125,30,1990,10016,2947,12273,5231,5595,12756,9344,540,4602,3896,148,9864,5524,316,2510,2882,1263,7310,5044,6724,5159,1628,6489,9591,113,5540,6823,12260,5275,2960,12566,1449,14066,6161,8879,7300,4684,9870
4718,4907,8820,568,263,487,7929,2682,383,10248,5747,3821,8729,9053,9404,11511,4425,2693,7124,3188,5223,5830,205,3331,3574,9552,6687,12243,6478,7066,335,13669,8961,14026,2412,7186,12051,1241,276,12685,11193,405,10722,20,265,8299,47,1205,5196,11416,6783,10860,1771,7770,8243,4202,2463,11,8699,51,1991,10038,2970,12274,5255,5596,12757,9368,1113,5151,3920,149,9865,5548,317,2532,2905,1264,7332,5045,6747,5182,1629,6490,9592,114,5541,6847,12261,5298,2983,12567,1472,14067,6184,8880,7323,4707,10369
4719,4908,8844,569,811,508,7952,2683,384,10249,5748,4394,8730,9076,9425,11512,4426,2694,7125,3189,5224,5831,206,3332,3598,9553,6688,12244,6479,7067,336,13692,8962,14027,2413,7187,12052,1242,277,12686,11194,406,10723,38,266,8300,48,1206,5197,11966,6808,10861,1772,7771,8244,4203,2464,12,8700,52,2015,10039,2971,12275,5256,5597,12779,9369,1114,5152,3921,169,9866,5549,318,2533,2906,1287,7333,5046,6748,5184,1649,6514,9593,115,5542,6848,12283,5299,2984,12589,1473,14068,6185,8902,7324,4708,10370
4720,5481,8845,592,812,509,7953,2684,407,10250,5771,4395,8754,9077,9426,11513,4427,2695,7126,3211,5225,5832,207,3355,3599,9554,6689,12266,6502,7091,337,13693,8963,14526,2434,7209,12076,1815,299,13235,11195,425,10724,39,267,8322,49,1229,5221,11988,6829,10862,1794,8320,8264,4204,3039,13,8701,53,2016,10040,2972,12298,5257,5598,12780,9893,1115,5153,4495,170,9867,5550,319,2534,2907,1288,7334,5047,6749,5709,1650,6515,9594,116,5543,6849,12284,5323,2985,12590,1474,14069,6186,8903,7325,4709,10371
4721,5505,9392,593,813,510,7954,2707,408,10273,5772,4396,8755,9078,9427,11535,4449,2696,7147,3212,5798,5833,208,3356,3624,9555,6712,12267,6503,7092,338,14267,8985,14551,2435,7210,12077,1816,300,13259,11196,426,10748,40,268,8323,50,1230,5770,11989,6830,10863,1795,8344,8265,4205,3063,31,8702,54,2017,10041,3544,12299,5258,5620,12781,9894,1138,5176,4496,171,9889,5573,320,2535,2930,1289,7335,5048,6750,5710,1651,7038,9595,136,5567,6872,12285,5873,3508,12591,1475,14090,6209,8904,7873,5308,10393
