1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
11121,33,8536,78,10660,9,5111,9215,6599,5710,4139,8875,4407,9651,161,11713,6223,3277,6741,3899,3262,3804,8252,3707,8915,1876,10840,2421,376,6621,2284,116,11134,7618,11702,9514,6632,11435,5951,9277,11885,343,4967,5795,405,14,2815,1,5256,4392,4,1488,4032,3006,1596,5290,9589,205,3224,6169,1722,6755,8987,3528,483,910,162,9582,1763,335,319,6229,232,3452,2987,967,2512,3386,7847,4672,1388,212,6011,563,11926,917,8644,8201
11122,56,8537,101,10661,10,5112,9216,7197,6260,4163,9498,4408,9676,182,11738,6224,3278,6742,4523,3287,3828,8277,3708,9540,1877,10865,2422,377,6622,2309,117,11159,8192,11726,9539,6633,11436,5952,9278,11886,367,5543,5820,406,15,2816,2,5257,4417,5,1489,4033,3030,1597,5291,9590,206,3773,6194,1723,7328,9586,3529,484,911,163,9583,1764,336,320,6230,233,3453,3587,968,2513,3387,7871,5247,1413,213,6035,564,11951,918,8669,8226
11148,57,8561,102,10662,11,5136,9217,7198,6261,4164,9499,4409,9698,183,12338,6225,3301,6766,4524,3312,3829,8278,3709,9565,1901,11463,2423,378,6623,2858,118,11735,8193,11727,9563,6657,11460,5976,9876,11887,368,5566,6394,407,16,2840,3,5259,4418,6,2113,4034,3031,1621,5292,9614,207,3797,6195,1746,7329,9587,3530,485,935,164,9584,1765,359,321,6854,234,3454,3610,1591,2537,3411,7872,5271,1463,235,6036,1163,11975,919,8670,8227
11720,58,8562,103,10685,12,5137,9240,7199,6262,4188,9500,4433,9700,184,12339,6226,3302,6767,4525,3887,3830,8302,3732,10115,1902,11464,2447,400,6624,2859,119,11758,8216,11751,9564,6658,11461,5977,9877,11888,369,5567,6395,408,17,2841,21,5281,4442,7,2114,4057,3055,1622,5293,9615,208,3798,6220,1747,7330,9588,3531,506,936,187,10183,1790,360,322,6855,258,3455,3611,1592,2538,3412,7873,5272,2013,236,6060,1164,11976,943,8671,8228
11721,80,8563,104,10686,13,5138,9241,7200,6285,4189,9523,4434,10251,185,12340,6227,3303,6791,4547,3888,3852,8303,3733,10140,1926,11465,2448,401,6646,2860,140,11759,8217,11752,10089,6659,11462,6001,9878,11910,370,5568,6396,430,18,2865,22,5305,4467,8,2139,4058,3056,2196,5315,9639,229,3823,6768,1748,7331,9611,3532,507,937,188,10184,2339,361,344,6856,259,3477,3612,1593,2561,3413,7896,5273,2014,237,6636,1188,12000,944,8695,8253
11722,81,8586,125,10687,34,5735,9242,7223,6286,4763,9524,5007,10275,186,12341,6250,3326,6792,4548,3911,3853,8304,3734,10141,1927,11466,2473,402,6647,2882,141,11760,8218,11776,10113,6682,11485,6002,9879,11911,390,5569,6418,431,19,3440,23,5306,5016,29,2738,4059,3606,2197,5316,9640,230,3824,6793,1772,7332,9612,3554,508,938,189,10207,2340,362,345,6880,12057,3478,3635,1594,2562,3414,7897,5296,2037,238,6660,1189,12025,1465,8696,8254
11723,82,8587,126,10688,35,5736,9816,7224,6287,4764,9525,5008,10276,209,12361,6801,3327,6815,4549,3912,3854,8328,3735,10165,1951,11467,2899,403,6648,2883,142,11783,8219,11777,10114,6683,12034,6576,9901,11912,391,5591,6419,432,20,3441,24,5307,5017,30,2739,4082,3630,2221,5317,10214,231,3848,6794,1773,7333,9613,3555,509,960,190,10208,2363,363,346,6881,12081,3479,3636,1595,2563,4011,7898,5297,2038,239,6661,1788,12502,1466,9269,8279
11745,83,8588,127,10710,36,5737,9840,7225,6310,4765,9549,5009,10277,210,12362,6823,3328,6816,5148,3913,3855,8329,3757,10166,1952,11488,2922,404,6670,2884,143,11784,8240,11801,10138,7230,12058,6577,9902,11913,392,5592,6420,433,39,3442,25,5309,5018,31,2740,4083,3631,2222,5318,10215,253,3849,6795,1798,7354,9636,3556,510,961,214,10209,2364,383,347,6882,12082,3480,3637,1616,2587,4012,8471,5298,2039,240,6662,1789,12526,1467,9270,8776
11746,84,9137,128,10711,37,5738,9841,7249,6311,4788,9550,5010,10298,211,12363,6824,3329,7364,5149,3936,3877,8353,3758,10190,2501,11489,2923,425,6671,2885,144,11785,8241,11802,10139,7231,12059,6578,9903,11935,393,5593,6421,455,40,3465,26,5331,5041,32,2763,4084,3632,2223,5319,10216,254,3850,6818,2346,7355,9637,3557,511,962,787,10210,2365,384,371,6906,12104,3481,3660,1617,2588,4013,8472,5321,2040,260,6663,1813,12527,1468,9271,8777
11747,85,9161,129,10712,38,5760,9842,7250,6312,4789,10098,5032,10299,756,12364,6825,3351,7365,5150,3937,3878,8901,3759,10191,2502,11490,2924,426,6672,2886,145,11786,8242,11827,10162,7232,12060,6601,9904,11936,394,5594,6443,456,41,3466,27,5332,5042,54,2764,4632,3655,2246,5320,10239,255,3874,6819,2347,7356,9638,3580,531,963,788,10231,2366,385,372,6907,12105,3482,3661,1618,3111,4035,8496,5322,2041,261,6685,1814,12551,1490,9294,8801
11748,105,9162,147,10735,59,5761,9865,7776,6333,4790,10099,5033,10300,760,12365,6826,3352,7366,5171,3938,4378,8902,3760,10740,2503,11491,2946,427,6673,2908,146,11809,8243,11828,10163,7233,12061,6602,9905,11937,395,5616,6444,457,42,3467,28,5334,5043,55,2765,4633,3656,2247,5339,10240,256,3875,6820,2348,7357,9661,3581,532,964,789,10232,2388,386,945,6932,12106,3503,3662,1619,3112,4036,8497,5323,2062,262,6686,1838,12552,1491,9295,8802
11749,106,9163,148,10736,60,5762,9866,7777,6334,4812,10122,5034,10301,761,12366,6827,3353,7367,5172,3961,4379,8903,4307,10741,2525,11492,2947,428,6694,2909,165,11810,8244,11829,10164,7255,12083,6603,9926,11938,396,5617,6445,458,43,3490,46,5357,5044,79,3363,4634,3657,2248,5340,10241,257,4396,6821,2371,7379,9662,3582,533,984,790,10233,2389,387,946,6957,12107,3504,3685,1620,3136,4037,8498,5871,2063,263,6687,1839,12553,1492,9296,8803
11750,107,9185,149,11285,61,5763,9867,7801,6335,4813,10123,5035,10322,781,12367,6828,3354,7389,5173,3962,4380,8926,4308,10765,2526,11493,2948,429,6695,2910,166,11811,8266,12302,10187,7256,12084,6604,9927,11961,397,5618,6446,480,44,3491,47,5358,5066,580,3364,4656,3680,2271,5341,10264,277,4397,6844,2372,7380,9663,4152,534,985,812,10234,2390,388,970,7454,12129,3505,3686,1641,3137,4038,8521,5896,2064,264,6688,2437,12575,1493,9297,8826
11771,108,9186,150,11286,62,5764,9891,7822,6336,4814,10124,5057,10323,782,12386,6848,3375,7390,5174,3963,4403,8927,4331,10766,2527,11514,2949,450,6696,2911,167,11835,8267,12303,10188,7257,12085,6625,9928,11962,398,5619,6469,481,45,3515,48,5359,5067,581,3365,4657,3681,2272,5342,10265,278,4398,6845,2373,7381,9686,4153,535,986,813,10258,2391,389,971,7455,12130,3506,3687,1642,3138,4039,8522,5897,2065,265,6712,2438,12576,1494,9319,8827
11772,109,9187,151,11287,86,5765,10441,7823,6337,4815,10125,5058,10324,783,12387,6849,3376,7391,5175,3987,4404,8928,4332,10767,2528,11515,2971,451,6697,2933,168,12359,8793,12326,10189,7258,12086,6626,9929,12485,399,5643,6470,482,63,4065,49,5384,5068,582,3388,4658,3682,2273,5343,10266,279,4399,6846,2396,7404,9687,4154,536,987,814,10259,2392,409,972,7478,12131,3507,3710,1643,3139,4060,8523,5898,2088,266,6713,2439,12577,1495,9320,8828
11773,110,9188,152,11310,87,5786,10442,7824,6358,4839,10147,5059,10325,784,12388,6850,3377,7392,5197,4511,4405,8929,4333,10790,2550,11516,2973,452,6719,2934,169,12383,8816,12327,10713,7259,12087,6627,10476,12486,415,6166,6471,1007,64,4066,50,5856,5069,605,3389,4659,3705,2821,5344,10289,280,4400,6869,2397,7405,9688,4155,537,988,815,10808,2413,410,997,7479,12132,4055,3711,1644,3140,4061,9096,5921,2089,286,6714,2462,12578,1515,9321,8851
11774,111,9189,153,11311,585,5787,10465,7825,6359,4840,10148,5060,10326,785,12389,6851,3378,7414,5198,4512,4406,8951,4334,10791,2551,11517,2974,453,6720,2935,170,12384,8817,12328,10714,7260,12108,6628,10477,12487,416,6167,6494,1008,65,4090,51,5857,5091,606,3390,4681,3706,2822,5345,10290,281,4421,6870,2398,7953,9712,4156,556,989,837,10809,2414,411,10345,7480,12133,4077,4208,2216,3161,4062,9121,5922,2090,287,7261,2463,12600,1516,9322,8852
12346,112,9210,154,11312,586,5788,10466,7826,6360,5387,10149,5084,10346,786,12390,6852,3379,7415,5199,4513,4427,8952,4355,10792,2552,11518,2998,454,6721,2936,171,12385,8818,12329,10737,7279,12109,6629,10478,12509,417,6168,6495,1030,66,4091,52,5858,5092,607,3988,4682,4255,2845,5363,10291,282,4422,7393,2972,7954,10211,4157,557,990,838,10810,2415,412,10919,7481,12156,4078,4209,2217,3162,4063,9122,5923,2613,288,7285,2464,12601,1517,9345,8853
