1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
8451,1099,10832,2717,174,10932,1,4181,7025,8035,7587,6451,8349,6974,7259,8298,47,5933,13,5627,3988,10128,486,3984,8659,646,402,5127,1481,4786,521,68,8562,301,10958,9202,4312,4866,13807,4541,7873,8541,3419,5,44,1459,7741,7904,8014,2751,7367,3524,2873,5426,11497,9471,11926,6499,1955,1888,7531,130,7347,7525,126,553,18,5640,7086,1546,7421,2096,400,3939,2883,8139,11269,1958,13822,485,10031,9647,321,731,7804,8060,15,9,1939,3560,238
8452,1100,11433,2718,198,10957,2,4206,7650,8036,7588,6452,8350,6975,7260,8323,48,5934,14,5628,3989,10129,487,4009,8684,1269,403,5151,1482,4787,522,693,8563,302,10959,9203,4313,4890,13808,4542,7874,8566,3444,6,45,2008,7765,7929,8589,2776,7368,3525,2874,5427,11498,9472,11927,6523,1956,1912,7532,154,7348,8150,127,11155,19,5641,7087,2170,7422,2120,401,3940,2909,8164,11270,1960,13823,1085,10032,9671,322,755,8351,8061,16,10,1940,3584,239
8477,1123,11457,2719,199,11506,3,4207,7675,8037,8186,6453,8373,6999,7282,8921,72,5957,37,6251,3990,10130,488,4010,8708,1270,404,5152,1483,4788,523,13218,8587,324,10960,9204,4314,4891,13809,4543,7875,8567,3469,7,46,2009,7766,8503,8590,2875,7369,3548,3471,5428,11520,9495,11951,6524,1957,1913,7533,155,7349,8751,128,11156,20,5642,7111,2171,7423,2121,424,3964,3482,8764,11271,1983,13824,1086,10631,9672,346,756,8352,8062,17,11,1964,3585,240
8478,1124,11458,2742,200,11531,4,4231,8273,8038,8187,6476,8374,7000,7283,8922,73,5958,38,6252,4012,10131,510,4011,8709,1271,405,5153,1506,4811,524,13791,8588,325,10961,9205,4338,4915,13832,4544,7876,8591,3470,8,67,2010,7767,8504,8613,3376,7370,3549,3472,5451,11521,9496,12551,6548,2555,2510,7556,156,7372,8775,147,11181,21,5666,7112,2173,7445,2122,425,3965,3483,8765,11272,2508,13848,1087,10632,10248,347,780,8353,8063,40,12,1965,3609,241
8479,1125,11481,2743,224,11532,22,4232,8275,8039,8188,6477,8375,7549,7284,8923,74,5959,39,6253,4013,10132,511,4033,8733,1294,406,5677,1507,4812,546,13792,8611,326,10981,9206,4937,4916,13833,4545,7898,9094,3493,31,69,2011,7791,8505,8614,3401,7371,3550,3473,5452,11522,10072,12552,6549,2556,2511,7557,178,7373,8800,148,11681,43,5667,7136,2195,7446,2145,426,4540,3507,8766,11273,2509,13849,1088,10656,10271,348,781,8354,8064,41,33,1966,3610,260
8502,1149,11482,3316,225,11533,23,4233,8299,8636,8189,6478,8397,7550,7285,8946,97,5982,61,6876,4014,10153,512,4034,8734,1295,407,5678,1508,4813,547,13816,8612,327,10982,9226,4938,4940,13834,4569,7899,9115,3494,32,70,2033,7792,8528,8615,3402,7393,3573,3474,5453,11523,10073,12553,7100,2580,2512,7558,179,7398,9300,149,11704,465,5691,7137,2196,7447,2146,449,4563,3508,8788,11294,2532,13850,1110,10657,10272,369,782,8355,8086,42,34,1988,3634,261
9076,1150,11483,3317,824,11556,24,4257,8300,8637,8211,6479,8398,7573,7307,8947,98,5983,62,6877,4015,10154,513,4035,9284,1319,408,5702,2053,4814,548,13817,9135,328,10983,9227,4939,4941,13857,4570,7900,9116,3495,57,71,2034,7793,8529,8639,3426,7394,3574,3496,5476,11545,10074,12576,7124,2581,2513,7559,180,7921,9301,150,11705,466,5692,7663,2197,7448,2147,450,4564,3509,8789,11295,2533,13873,1111,10658,10273,370,806,8376,8088,66,35,1989,3635,262
9077,1175,11484,3318,1423,11557,25,4258,8324,8638,8212,6501,8399,7574,7308,8948,99,5984,63,6878,4016,10155,534,4058,9308,1320,427,5703,2054,4837,549,13818,9136,349,10984,9228,4961,5491,13858,4571,7924,9117,3518,531,91,2035,8315,8530,8640,3427,7395,3575,3497,5477,11546,10095,12577,7125,2582,2514,7582,181,7922,9325,151,11706,489,6265,7685,2198,7470,2148,474,4565,3533,8790,11296,2534,13874,1112,10659,10296,371,807,8377,8089,639,36,1990,3659,263
9078,1699,11507,3319,1424,11558,26,4282,8325,8660,8213,6502,8400,7575,7309,8971,122,6556,64,6879,4036,10156,535,4059,9309,1892,428,5726,2078,4838,550,13819,9137,350,10985,9229,4962,5515,13882,5141,7925,9118,3519,532,92,2036,8340,8553,9214,3428,7396,3599,3498,5478,11547,10096,12578,7148,3129,2535,7583,202,7923,9326,152,11707,490,6266,7686,2199,7471,2172,475,4566,3534,8791,11297,2557,13875,1113,10681,10297,372,832,8378,8113,640,58,1991,3660,264
9100,1723,11508,3341,1448,11581,27,4283,8872,8661,8236,6503,8422,7598,7310,8972,123,6557,65,6880,4037,10157,536,4083,9333,1893,429,5727,2079,4839,571,13842,9159,351,10986,9230,4963,5516,14432,5142,7950,9119,3520,533,93,2037,8341,8554,9215,3450,7397,3600,3499,5500,11548,10097,12601,7149,3130,2536,7584,203,7946,9350,153,11728,491,6267,7687,2795,7472,2695,499,4588,3535,8792,11320,2558,14447,1135,10682,10298,373,1355,8379,8114,641,59,2014,3684,265
9101,1724,12058,3342,1449,11582,28,4308,8873,8662,8237,6504,8423,7599,7332,8973,124,6558,82,6901,4038,10178,537,4084,9334,1894,430,5728,2083,4863,572,13843,9160,352,10987,9231,4964,5517,14433,5143,8474,9139,3521,554,94,2058,8365,8555,9238,3451,7419,4174,3522,5501,11549,10098,12602,7150,3154,2537,7607,204,7947,9351,172,11729,492,6268,7688,2796,7521,2696,500,4589,3558,8814,11818,2559,14448,1136,10683,10321,393,1356,8380,8138,642,60,2015,3685,266
9102,1725,12082,3343,1450,12131,29,4333,8874,8663,8238,6526,8424,7600,7333,9521,125,6559,83,6902,4039,10179,538,4531,9358,1895,431,5729,2103,4864,573,13844,9161,353,11006,9251,5537,5540,14434,5144,8475,9140,4044,555,95,2059,8366,8579,9239,3452,7420,4175,3523,5502,11571,10099,13177,7173,3155,2538,7608,205,7948,9375,173,11730,493,6269,7710,2797,7522,2697,525,4590,3559,8815,11819,2560,14449,1137,10684,10322,394,1357,8401,8685,665,634,2539,4186,267
9103,1748,12083,3344,1474,12132,30,4779,8875,8664,8239,6527,8425,7623,7334,9546,647,6560,84,6903,4040,10180,560,4532,9359,1896,432,5751,2104,4865,574,14416,9162,374,11007,9252,5538,5541,14457,5166,8476,9141,4045,556,96,2060,8367,9129,9240,3453,7967,4198,4071,5503,11572,10119,13201,7174,3156,2562,7609,206,7949,9376,175,11731,514,6290,7711,2798,7523,2720,1050,4591,4106,8816,11820,2561,14472,1138,10707,10872,395,1379,8402,8686,666,635,2540,4187,285
9104,1749,12084,3366,2026,12134,49,4780,8897,8665,8811,6528,8448,7624,7358,9547,648,6581,85,7452,4041,10181,561,4557,9383,1897,433,5752,2105,5386,597,14417,9163,375,11008,9253,5539,5542,14458,5167,8498,9142,4068,557,116,2061,8368,9130,9241,3475,7968,4199,4072,5525,11573,10120,13202,7175,3179,3136,7633,207,7971,9377,176,11732,515,6291,7712,2799,7524,2721,1075,4612,4107,8817,11843,2563,14473,1162,10708,10873,396,1380,8403,8687,667,636,2564,4209,286
9105,1750,12106,3367,2047,12156,50,4804,8898,9261,8812,7076,8449,7625,7885,9548,671,6582,86,7453,4042,10204,562,4558,9384,1917,434,5753,2106,5411,598,14418,9184,376,11009,9254,5561,5565,14459,5168,8499,9143,4069,558,117,2062,8390,9153,9264,3476,7969,4200,4073,5526,11597,10121,13203,7198,3180,3137,8156,227,7972,9378,177,11733,516,6292,7713,2800,8042,2722,9825,4613,4108,8840,11844,2583,14474,1163,10709,10896,397,1381,8404,8688,690,637,2565,4210,287
9127,1773,12107,3368,2048,12157,51,4805,8899,9262,8813,7101,8974,7649,7907,9571,672,6583,87,7454,4060,10205,563,4559,9385,1918,451,5754,2107,5412,599,14419,9185,377,11010,9255,5562,5566,14481,5169,8500,9144,4070,559,118,2084,8391,9154,9265,3477,7970,4223,4074,5527,12120,10122,13226,7199,3181,3138,8157,228,7973,9400,197,11752,517,6293,7735,2820,8043,2723,9850,4614,4109,8841,11845,2584,14475,1685,10733,10897,398,1382,8405,8689,691,658,2566,4211,288
