1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
1987,6884,10206,12503,6666,11793,84,9869,1,4412,11517,6518,11570,963,7977,381,5017,6005,10310,11691,9136,16,153,6221,17,9764,8343,7795,4528,10554,1264,3518,1945,311,9132,259,2568,121,8848,3026,10821,8452,306,9199,10987,234,427,7524,10864,9,12516,3824,2253,5454,14280,1127,6517,6570,13652,4015,4076,7603,11958,3179,1630,647,512,3342,5492,1309,10826,7131,6876,2509,7293,6316,6394,2,9813,5002,302,11256,8888,6063,5482,9230,745,5888,326,6881,4216,4934,6665,158,11178,5826,239,7479,414,7067,6616
1988,6885,10229,12504,6689,11794,85,9870,26,4413,11518,6542,11571,987,7978,382,5018,6605,10334,11692,9137,40,154,6222,18,10363,8344,7796,4529,10555,1836,3519,1946,312,9133,260,2591,122,8849,3050,10822,8453,307,9749,11009,808,452,7525,10865,10,12517,3847,2853,5455,14281,1128,6567,6571,13653,4016,4101,7604,11983,3180,1631,648,13586,3343,5493,1310,10827,7154,6877,2533,7294,6317,6395,3,9837,5003,303,11257,8889,6088,5483,9828,746,5889,344,6882,4240,4935,7266,159,11778,5851,240,8079,415,7691,6641
2007,7509,10230,12505,6690,11818,86,9871,51,4437,11519,6543,11572,988,7979,383,5618,6606,10335,11693,9138,41,155,6247,19,10364,8367,7820,4553,10556,1837,3542,2519,335,9157,261,2592,123,8872,3051,10823,8454,308,9750,11010,833,14176,7550,11463,11,12518,3848,2854,5479,14305,1152,6592,6572,13654,4040,4676,7627,12558,3181,1632,649,13587,3367,5494,1333,10847,7155,6901,2534,7318,6341,6420,4,9838,5004,327,11780,8890,6113,5484,9829,747,5890,345,6883,4241,4958,7267,183,11779,5874,241,8103,416,7692,7241
2008,7510,10231,12529,6691,11819,87,9895,75,4438,11541,6544,11573,989,8002,384,5641,6607,10336,11716,9161,42,156,6821,20,10365,8368,7821,4554,10579,1861,3543,2520,336,9158,283,2593,124,8873,3052,10824,8478,309,9771,11011,858,14177,8100,11464,12,12519,3849,2878,5480,14306,1153,7092,6594,13676,4041,4698,7628,12582,3203,1633,673,13610,3368,5517,1334,10848,7156,6902,2558,7319,6342,6994,5,9862,5005,328,11781,8891,6137,5507,9830,748,5911,348,7480,4814,4959,7290,184,11802,5875,242,8104,439,7693,7242
2009,7511,10253,12530,6715,11843,88,9896,100,4439,11542,6545,11574,1013,8003,385,5642,6630,10359,11717,9162,64,157,6822,21,10366,8369,8370,5106,10580,1862,3544,2521,337,9159,284,2616,146,8874,3075,10825,8479,310,9772,11035,859,14201,8101,11465,13,12541,3850,2879,6078,14307,1629,7116,6595,13677,4042,4699,7629,12583,3204,2255,1247,13611,3393,5518,1335,10849,7179,6951,2559,7893,6366,6995,6,9863,5006,329,11782,8892,6138,5508,9853,749,5912,349,7481,4815,4960,7291,185,11803,5876,243,8128,440,8290,7840
2010,7512,10254,12554,6716,11844,109,10444,125,4462,11543,6568,11594,1014,8004,386,5643,6631,10360,11718,9163,65,178,6823,22,10388,8968,8395,5130,10581,1863,3567,2522,861,9182,285,2617,147,9446,3626,11423,8480,331,9773,11036,1432,14202,8125,11488,14,12542,4399,2880,6079,14331,1653,7117,6596,13678,4066,4700,7651,12584,3205,2256,1248,13612,3418,5519,1336,10850,7180,6952,3133,7894,6915,7018,7,9864,5007,330,11807,8893,6139,5509,9854,770,5913,350,7506,4839,4983,7292,209,11804,5877,263,8129,441,8291,7841
2011,7513,10255,12555,6740,12393,110,10445,551,4463,11544,6569,11595,1015,8577,387,5644,6632,10361,11742,9186,66,179,6846,23,10389,8969,8396,5131,10605,1887,3568,2544,862,9183,286,2641,148,9447,3627,11424,8503,332,9774,11060,1433,14226,8147,11489,15,12543,4424,3477,6080,14332,1654,7141,6597,13679,4067,4701,7652,12607,3228,2257,1249,13636,3966,5542,1358,10851,7181,6976,3134,7895,6940,7019,8,9887,5026,352,11808,8894,6163,5510,9855,771,5914,351,7507,4840,4984,7890,210,11827,5899,264,8154,442,8292,7842
2012,7534,10256,12579,6741,12417,111,10469,576,4464,11566,6593,11596,1514,8578,388,5666,6633,10933,11743,9187,67,180,6847,24,10390,8970,8419,5152,10606,1888,3569,2545,882,9184,11409,2666,149,9448,3650,11425,8504,333,9775,11061,1457,14227,8148,11490,34,12544,4444,3478,6103,14904,1677,7142,7195,13680,4640,4702,7653,12608,3229,2258,1271,13637,3967,5543,1359,10852,7755,7501,3135,7918,6941,7020,27,9888,5027,353,11832,8895,6688,5511,9856,772,5935,368,7508,4841,4985,7891,235,11828,5900,265,8703,464,8293,7866
2013,7535,10279,13128,6766,12418,112,10470,626,4488,11567,7093,11597,1539,8579,405,5667,6655,10934,11768,9188,68,181,6848,25,10413,8992,8420,5153,11179,1889,3593,2546,883,9185,11433,3192,150,9449,3651,11426,8505,334,9776,11608,1458,14251,8149,11491,35,12566,4445,3479,6104,14905,1678,7165,7196,13701,4641,4723,8228,12609,3230,2259,1272,14186,3968,5544,1360,10872,7756,7502,3157,7919,6942,7021,28,9889,5028,354,11833,9467,6713,5532,9878,773,5936,369,7532,4865,5535,7892,783,11829,5901,266,8704,465,8315,7867
2014,8084,10280,13129,7314,12419,113,10471,627,4489,11568,7118,11598,1564,8601,406,5668,6656,10935,12291,9737,89,182,6849,43,10414,8993,8421,5154,11180,1890,4094,2547,884,9757,11434,3193,151,9471,3652,11447,8529,356,9796,11609,1459,14252,8150,11513,36,12567,4447,3503,6105,14906,1679,7166,7197,13702,4665,4724,8229,12632,3253,2260,1273,14187,3969,6092,1909,10873,7757,7503,3158,7920,6943,7043,29,9890,5029,355,11856,9468,6714,5533,9879,774,5937,370,7533,4866,5536,7914,784,11852,5902,267,8727,466,8316,7868
