1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
13,1693,31,5506,14220,2541,10638,2501,7889,4521,11637,482,2827,49,3626,10843,218,10733,9669,1,7467,7042,10546,2807,6,226,7020,7610,5876,3761,563,7211,8156,4174,176,7521,4923,7161,2211,122,404,5777,6343,13983,5508,6980,7876,2142,1511,9783,2164,7501,11159,339,360,13023,447,3128,11411,11390,5994,12256,6441,15,11603,287,8463,10323,7958,8981,8760,12942,12183,4696,671,12501,233,6327,4442,6695,14063,10966,10067,2312,6642,6894,1383,1579,6674,7782,96,4487,8276,4151,11395
14,1694,57,5507,14221,2566,10663,3126,7913,5121,12236,483,2828,50,3651,10844,219,11309,9670,2,7468,7043,10570,2808,7,227,7021,7611,5877,3762,587,7212,8157,4199,177,7522,4924,7186,2809,123,405,5802,6366,14007,5533,6981,7901,2742,1536,9784,2165,7502,11183,340,361,13024,470,3729,11412,11391,6593,12257,6442,16,11604,288,8464,10324,7959,8982,8761,12966,12207,4721,672,12502,234,6328,4443,6720,14064,11565,10068,2336,6643,6919,1408,1603,6698,7783,97,4512,8277,4152,11396
37,1695,58,6053,14245,2591,10664,3127,7914,5145,12237,484,2851,73,3652,10845,220,11310,9693,3,7492,7616,10571,2831,8,250,7022,7612,5903,3763,588,7235,8158,4200,178,7546,4947,7187,2810,124,426,5803,6367,14008,6133,6982,8501,2766,2136,9785,2166,7503,11184,362,380,13048,471,3753,11435,11392,6594,12258,6464,17,12202,289,8488,10325,7960,9554,8762,12967,12208,4747,695,12503,257,6352,4467,6745,14065,11566,10091,2337,6668,7518,1409,1604,6699,7784,721,4537,8301,4153,11419
38,1718,82,6054,14246,2592,10688,3149,7915,5146,12238,485,2852,74,3676,10846,242,11332,9694,4,7493,7617,11120,2832,9,251,7045,7613,5904,3785,612,7236,8159,4224,179,7571,4948,7761,2834,125,427,5827,6368,14009,6157,6983,8502,2767,2137,9786,2167,7524,11207,363,381,13049,472,3754,11436,11393,6595,12281,6465,18,12203,312,8489,10347,8557,9579,8763,12968,12231,4748,696,12504,258,6353,4468,6770,14088,11590,10092,2338,7216,7519,1433,1605,7298,7807,722,5111,8302,4154,11420
39,1719,83,6077,14270,3166,10689,3150,7938,5147,12261,486,3427,75,3677,10867,243,11333,9695,5,7494,7618,11145,2833,10,252,7046,7614,6476,3786,613,7237,8756,4225,180,8120,4949,7785,2835,146,428,5828,6391,14032,6158,6984,8503,2768,2138,9810,2189,7525,11208,364,382,13074,473,3755,11437,11415,6618,12282,6466,19,12204,313,9064,10348,8558,9580,8785,12969,12232,4772,697,12505,259,6377,4492,7320,14089,11591,10093,2360,7217,7520,1434,1628,7299,7808,746,5112,8877,4176,11421
40,1720,84,6078,14271,3167,10690,3151,7939,5148,12262,507,3428,98,3701,10868,244,11334,9717,26,7516,7619,11146,2856,11,253,7047,7615,6501,3787,1162,7259,8757,4798,181,8121,4972,7786,2836,147,429,5829,6392,14033,6159,7004,8526,2793,2160,9811,2190,7526,11209,365,383,13648,474,3756,12011,11416,6619,12283,6467,20,12227,314,9088,10349,8582,9581,8786,12991,12233,4773,1270,12526,260,6378,4493,7321,14090,11592,10691,2361,7241,7542,1458,1629,7322,7809,1345,5113,8901,4177,11422
61,1742,85,6079,14295,3190,11262,3176,7940,5170,12263,508,3429,99,3702,10869,245,11335,9718,27,7517,7641,11169,2857,12,254,7620,7635,6502,3788,1163,7260,8758,4799,182,8122,4973,7810,2860,148,430,5852,6417,14034,6733,7005,8527,2819,2161,9835,2191,7527,11232,366,384,13649,495,3757,12012,11417,6620,12306,6489,21,12228,337,9089,10350,8583,9582,8787,12992,12783,5194,1271,12527,281,6927,4518,7344,14113,11615,10692,2362,7242,7543,1459,1630,7323,7832,1346,5114,8902,4178,11446
62,1743,107,6080,14845,3191,11263,3201,7961,5171,12287,509,3451,100,3703,10870,265,11357,9719,28,8092,7642,11170,2858,32,274,7621,7636,6503,3789,1164,7261,8759,4823,201,8145,4974,7811,2861,149,451,5853,6893,14607,6734,7006,8528,2844,2162,10384,2192,7528,11233,387,385,13650,496,3778,12013,11418,6644,12307,6490,22,12229,338,9090,10372,8584,9601,8788,12993,12807,5195,1272,12528,282,6928,5017,7345,14114,11616,10693,2363,7266,7544,1483,2203,7324,7833,1347,5136,8903,4201,11447
63,1744,108,6081,14846,3192,11264,3751,7962,5746,12861,510,3452,649,3726,10871,266,11358,9720,29,8093,7643,11171,2859,33,275,7645,7637,6527,3790,1186,7285,8781,4824,202,8146,5546,7812,2862,150,452,5854,6917,14608,6757,7007,8550,2869,2163,10385,2193,7550,11757,388,386,13673,497,3779,12035,11440,6645,12308,6491,23,12230,912,9113,10373,8585,9603,8810,12994,12808,5219,1273,13077,283,6951,5042,7346,14115,11640,10694,2364,7267,7545,1484,2204,7347,7857,1370,5137,8925,4202,11448
64,1767,109,6102,14869,3215,11265,3752,7963,5747,12862,511,3453,650,3727,10872,267,11359,9721,30,8115,7644,11172,2881,34,276,7646,7638,6528,3810,1187,7286,8782,4825,203,8147,5547,8360,3434,170,453,5878,6918,14609,6758,7008,8551,3366,2186,10386,2214,7551,11758,389,406,13674,498,3780,12036,11441,6669,12309,6492,24,12252,913,9114,10374,8607,9604,8811,13016,12809,5220,1294,13078,284,6952,5043,7369,14687,11641,10716,2365,7268,7567,1485,2227,7348,8382,1371,5138,8926,4776,11472
65,1768,110,6103,14870,3216,11287,3773,7964,5748,12863,532,3454,673,3728,10892,268,11360,9744,51,8116,7666,11194,2882,35,277,7647,7639,6529,3811,1188,7834,8783,4848,204,8148,5548,8361,3435,171,454,5879,6942,14631,6759,7028,8552,3367,2187,10407,2215,7552,11759,390,407,13675,499,3781,12037,11442,6670,12332,6514,25,12253,914,9115,10375,8608,9605,9359,13017,12831,5221,1295,13079,285,6953,5066,7370,14688,12190,10717,2390,7291,7568,2006,2228,7349,8383,1969,5139,8927,4777,11969
66,1769,132,6104,14871,3217,11288,3774,7965,5770,12886,533,3476,674,4226,10893,269,11383,9745,52,8117,7667,11195,2883,36,278,7648,7640,6530,3812,1189,7835,8784,4849,205,8170,5549,8362,3459,172,455,6402,6943,14632,6782,7029,8575,3368,2736,10408,2216,7553,11760,391,408,13699,500,3782,12038,11466,7218,12333,6515,41,12254,937,9138,10397,8609,9606,9360,13018,12832,5244,1296,13080,286,6954,5067,7371,14689,12191,10718,2887,7292,7569,2007,2229,7373,8384,1970,5161,8928,4778,11994
67,1792,133,6105,14872,3241,11289,3775,7966,5771,12887,534,3477,675,4227,11443,270,11384,9746,53,8118,7668,11196,2884,59,279,7670,7660,6552,3813,1211,7836,8806,4850,206,8171,5550,8385,3460,173,456,6403,6944,14633,6783,7030,8576,3389,2737,10409,2217,8052,11782,392,409,13700,521,3803,12060,11990,7219,12334,6516,42,12255,938,9689,10398,8610,9607,9361,13591,12833,5245,1297,13102,306,6976,5068,7372,14690,12192,10719,2888,7293,7570,2008,2230,7923,8406,1971,5162,8950,4779,11995
86,1793,134,6106,14873,3242,11290,3776,7967,5772,12888,535,3478,698,4250,11444,290,11385,9770,54,8119,7669,11197,2885,60,280,7671,7661,6553,4385,1212,7837,8807,4872,207,8172,5571,8386,3461,174,476,6427,6945,14634,6784,7031,8577,3390,2760,10410,2218,8076,11783,412,410,14273,522,3804,12061,11991,7220,12881,6517,43,12277,939,9690,10898,8632,9608,9384,13592,12834,5246,1320,13103,307,6977,5069,7394,14712,12215,10741,2911,7294,8143,2009,2252,7924,8407,1972,5163,8951,4801,11996
87,2293,157,6128,14894,3791,11312,3777,7986,5773,12911,536,3501,699,4251,11445,291,11408,9771,55,8139,7693,11198,2886,630,298,7672,7662,6554,4386,1213,7858,8808,4873,208,8173,5572,8387,3485,175,477,6428,6966,14635,6785,7032,8599,3391,2761,10411,2240,8077,11784,413,411,14274,523,3805,12062,12015,7243,12882,7041,44,12278,962,9713,10923,8633,9630,9385,13593,12856,5247,1321,13104,308,6978,5091,7395,14713,12216,10742,2912,7295,8144,2032,2253,7947,8408,1994,5164,8952,4802,12019
88,2294,158,6129,14895,3815,11313,3798,7987,5774,12912,557,3502,700,4252,11467,292,11409,10267,56,8140,8216,11220,2907,631,299,7673,7663,6555,4387,1214,7859,8809,4874,228,8195,5573,8410,3486,195,478,6429,6967,14657,6807,7054,8600,3392,2762,10412,2241,8078,11785,414,431,14275,524,3806,12063,12016,7244,12883,7065,45,12827,963,9714,10924,8634,9631,9386,13594,12857,5269,1322,13105,309,6979,5092,7396,14714,12217,10743,2913,7317,8167,2033,2254,7948,8409,1995,5187,9501,4803,12020
89,2295,159,6130,14896,3816,11314,3799,7988,5795,12913,558,4003,723,4253,11468,293,11410,10268,76,8141,8217,11221,2908,632,300,8246,7664,7076,4388,1236,7860,9381,4875,229,8196,5574,8411,3487,196,479,6452,6968,14658,6808,7055,8601,3393,2763,10433,2242,8101,11786,415,432,14298,525,3807,12636,12017,7245,12884,7066,46,12828,1537,9715,10948,8635,9655,9387,13615,12858,5270,1892,13126,310,7001,5093,7419,14715,12240,10744,2914,7318,8168,2034,2255,7949,8431,1996,5188,9502,4826,12021
90,2296,183,6131,14897,3817,11315,3800,7989,5796,13486,559,4027,724,4275,11469,294,11434,10269,77,8142,8218,11745,2909,633,301,8271,7665,7101,4389,1237,7861,9382,4897,230,8197,5575,8412,4060,197,480,6453,6969,14659,6809,7056,8624,3414,2785,10434,2243,8102,11807,416,433,14299,546,3808,12637,12018,7269,12885,7067,47,12829,1538,9738,10949,9156,9680,9388,13616,12859,5271,1893,13127,311,7002,5094,7420,14738,12241,11316,2915,7319,8169,2057,2279,7950,8432,2020,5189,9526,4827,12022
91,2317,184,6132,14920,3840,11338,3801,7990,5797,13487,560,4028,725,4276,11470,295,11908,10270,78,8165,8219,11769,2910,634,302,8272,7685,7102,4390,1238,7862,9383,4898,231,8198,5596,8435,4085,198,481,6454,6970,14660,6810,7579,8625,3416,2786,10435,2789,8103,11808,417,434,14300,547,3828,12638,12040,7270,12906,7089,48,12830,1539,9739,10950,9157,10128,9410,13617,13407,5272,1894,13128,331,7003,5095,7444,14739,12242,11317,2936,7842,8192,2058,2804,7972,8433,2594,5736,9527,4828,12044
92,2318,758,6154,14921,3841,11339,3802,7991,5798,13488,561,4029,1274,4277,11471,296,11909,10271,79,8166,8220,11770,2933,635,303,8273,7686,7103,4391,1239,7863,9406,4899,232,8221,5597,8436,4086,199,501,6455,6991,14682,7333,7580,8626,3417,2787,10436,2790,8125,11809,418,435,14324,548,3829,12639,12041,7844,12907,7090,68,12852,1562,9740,10951,9181,10129,9411,13618,13408,5273,1895,13129,332,7026,5117,7469,14740,12265,11318,2937,7843,8193,2059,2829,7973,8434,2595,5737,9528,5401,12045
93,2319,759,6155,15470,3842,11340,3823,7992,5799,13511,562,4051,1275,4278,11492,315,11910,10292,80,8190,8241,11771,2934,636,304,8296,7687,7126,4410,1263,7882,9407,5424,255,8222,5598,8437, ,200,502,6477,6992,14683,7357,7581,8627,3418,2788,10437,2791,8126,11810,437,436,14325,549,3830,12661,12042,7870,12908,7091,69,12853,1563,10339,10972,9182,10153,9412,13619,13409,5295,1896,13130,333,7027,5118,7945,15262,12266,11319,2938,7866,8194,2060,2830,7974,8456,2596,5738,9549,5402,12046
94,2320,783,6156,15471,3866,11863,3824,8011,5800,13512,582,4052,1298,4279,11493,316,11933,10293,81,8191,8242,11772,2935,637,305,8297,7688,7127,4411,1264,7883,9408,5425,256,8223,5599,8438,,221,503,6478,6993,14684,7358,7582,8649,3419,2811,10459,2792,8127,11811,438,457,14350,550,3831,12662,12043, ,12909,7092,70,12854,1564,10340,10973,9183,10154,9413,13640,13431,5296,1897,13151,334,7051,5119,7946,15263,12815,11341,2939,7867,8793,2082,2853,7998,8457,2597,5739,9550,5403,12047
95,2321,784,6628,15472,3867,11864,3825,8012,6346,13513,583,4053,1299,4300,11494,317,11934,10294,101,8717,8243,11794,2959,656,322,8298,7689,7128,4412,1761,7884,9409,5447,776,8247,5600,8462,,222,504,6479,6994,14685,7359,7583,8650,3443,2812,10460,2814,8128,11832,439,458,14898,571,4330,12663,12065,,12910,7113,71,12855,1587,10364,10974,9184,10155,9435,13641,13432,5297,1898,13152,335,7576,5120,7968,15287,12816,11342,2940,7868, ,2083,2854,7999,8458,2619,5761,9551,5404,12048
111,2341,11881,6652,15495,4441,11886,3826,8013,6347,13536,584,4054,1300,4301,11495,318,11935,10295,102,8718,8244,11795,3430,657,323,8299,7711,7129,4413,1762,7885,9431,5448,777,8720,6171,8984,,223,505,6480,7016,15232,7382,7584,8651,3444,2813,10461,2815,8129,11833,440,459,14899,572,4331,12664,12066,,12931,7114,72,12876,1588, ,10975,9206,10156,9436,13642,13433,5298,1917,13153,336,7577,5142,7969,15288,12817,11343,2960,7869,,2084,2855,8548,8459,2620,5762,9552,5426,12070
112,2342,11906,6653,15496,4466,11887,3827,8014,6370,13537,585,4076,1323,4302,11496,319,11936,10296,103,8719,8245,11796,3431,658,324,8300,7712,7130,4414,1763,7886,9432,5449,778,8721,6172,8985,,224,506,6504,7017,15233,7383,7604,8652,3468,2837,10485,2816,8130,11834,441,460,14900,573,4332,12685,12067,,12932,7115,517,12877,2188,,10976,9207,10175,9437,13643,13434,5299,1918,13176,356,7578,5143,7970,15289,12839,11344,2961,7890,,2085,2876,8549,8481,2621,5763,9553,5427,12071
113,2343,11907,6654,15497, ,11888,3847,8015,6371,14111,586,4077,1324,4303,11497,320,11957,10297,104,8739,8266,11797,3432,659,325,8897,7713,7151,4415,1764,7887,9433,5450,779,8722,6173,8986,,225,526,6505,7018,15234,7384,7605,8675,3469,3361,11007,2817,8149,11835,442,461,14923,574,4353,12686,12616,,12933,7116,518,12878,2212,,10997,9208,10178,9983,14217,13435,5320,1919,13177,357,7601,5144,7971,15312,12840,11366,2962,7891,,2107,2877,8572,8482,2622,5764,9574,5428,12072
114,2344,11931,6677,15498,,11889,3851,8016,6372,14112,607,4078,1325,4304,11517,321,11958,10316,105,8740,8267,11798,3433,660,326,8898,8185,7152,4416,1786,7888,9434,5451,780,8745,6174,8987,,246,527,7052,7019,15256,7385,7606,9101,3470,3362,11008,2818,8150,11836,443,985,14924,575,4354,12687,12640,,12934,7117,519,12879,2213,,10998,9209,10179,9984,14218,13456,5321,1920,13677,358,7602,5168,7993,15313,12841,11367,2963,7892,,2108,2878,8573,9007,2644,5786,9575,5429,12073
115,2345,11932,6678,15520,,11890,3852,8017,6373,14136,608,4079,1348,4325,11518,341,11959,10317,106,8741,8268,11819,3455,661,327,8922,8186,7153,4435,1787,7908,9456,5472,781,8746,6175,8988,,247,528,7053,7591,15257,7406,7607,9126,3494,3363,11009,2838,8151,11857,444,986,14925,597,4355,12688,12641,,12935,7118,520,12880, ,,10999,9210,10180,9985,14219,13457,5322,1921,13678,359,7603,5169,7994,15314,12842,11368,2964,7893,,2109,2879,8574,9008,2645,5787,9576,5452,12096
116,2366,11956,6679,15521,,11891,4374,8036,6374, ,609,4101,1349,4326,11519,342,11960,10318,126,8742,8269,11820,3456,682,328,8923,8187,7154,4436,1788,7909,9457,5473,782,8747,6176,9009,,248,529,7077,7592,15258,7407,7608,9127,3495,3385,11010,2839,8152,11858,462,1005,14949,598,4356,12689,12642,,12956,7137,541,12901,,,11000,9231,10181,9986,14241,13458,5323,1922,13679,858,7626,5642,7995,15337,12864,11369,2965,7894,,2110,2880,8598,9031,2646,5788,9577,5453,12097
117,2367,12506,6680,15522,,11911,4375,8037,6395,,610,4102,1350,4327,11520,343,11961,10319,127,8743,8270,11821,3457,683,329,8924,8188,7155,4437,1789,7910,9458,5474,801,8748,6195,9010,,249,530,7078,7593,15259,7408,7609,9128,3518,3386,11011,2840,8153,11859,463,1006,14950,599,4357,12710,12665,,12957,7138,542,12902,,,11022,9232,10182,10009,14242,13459,5324,1944,13680,859,7627,5643,7996,15338,12865,11942,2985,7895,,2131,3479,8623,9032,3218,5789,9578,5477,12098
118,2368,12507,6681,15523,,11912,4376,8038,6396,,611,4103,1899,4328,11521,344,11962,10320,128,8744,8291,11822,3458,684,330, ,8189,7156,4438,1790,7911,10006,5475,802,8770,6196,9011,,271,531,7079,7594,15260,7409,7628,9129,3968,3387,11032,2841,8154,11860,464,1007,14975,600,4378,12711,12666,,12958,7139,543,12903,,,11023,9233,10183,10010,14243,13460,5325,1945,13702,881, ,5644,7997,15339,12866,11943,2986,7916,,2132,3503, ,9033,3219,5790,9600,6026,12568
119,2369,12529,6702, ,,11913,4377,8039,6397,,1108,4104,1900,4329,12068,345,11981,10321,129,8764,8292,11823,3480,685,348,,8210,7177,4439,1811,7912,10007,5497,803,8771,6197,9012,,272,551,7080,7595,15261,7410,7629,9148,3989,3388,11033,2842,8155,11861,465,1008,15524,622,4379,12712,12667,,12959,7140,544,12904,,,11024,9234,10199,10011,14244,13481,5345,1946,13703,882,,5666,8018,15340,12867,11966,2987,7917,,2133,3504,,9034,3220,5811,10127,6027,12569
120,2391,12530,6703,,,11914,4397,8040,6398,,1109,4125,1923,4350,12069,346,11982,10322,130,8765,8293,11844,3481,686,349,,8211,7178,4440,1812,7933,10008,5498,804,8772,6198,9013,,273,552,7104, ,15282,7431,7630,9149,3990,3410,11034,2843,8174,11883,466,1009,15525,623,4380,13287,12668,,12981,7141,545,12905,,,11025,9235,10200,10012,14265,13482,5346,1947,13704,883,,5667,8019, ,12890,11967,2988,7918,,2134, ,,9056,3221,5812,10151,6028,12592
