1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
10438,2714,5022,2560,7565,151,12957,1297,5,9757,36,8612,2186,4,8828,197,5978,8869,332,7676,11810,8337,6806,3995,11502,1670,8901,7805,308,3985,8772,2957,199,5251,11889,155,5455,1252,8771,9540,4909,2933,6599,10358,8879,10285,3907,322,6586,1954,6750,4105,12955,729,10087,1,2440,665,11143,2533,562,5633,4301,4291,7265,337,6952,165,10150,443,251,11266,8807,503,4804,445,15,8528,1532,239,9184,4407,2054,7747,1723,6392,343,425,13333,6019,127,6677,6551,11839
 10463, 3238, 5046, 2585, 7566, 200, 12958, 1896, 6, 9758, 37, 8636, 2211, 28, 8853, 198, 5979, 8870, 333, 7677, 11835, 8362, 6807, 3996, 11503, 1671, 8902, 7806, 309, 4609, 8773, 2982, 224, 5252, 11913, 156, 5456, 1253, 8795, 9541, 4910, 2958, 6600, 10359, 8903, 10286, 3908, 323, 6587, 2554, 6775, 4106, 12956, 730, 10088, 2, 2441, 690, 11144, 2557, 563, 5659, 4901, 4393, 7266, 361, 7551, 166, 10175, 444, 252, 11290, 8829, 504, 4805, 446, 16, 8553, 1533, 240, 9185, 4408, 2055, 7748, 1724, 6393, 344, 1000, 13334, 6020, 128, 6701, 7126, 11840
 11063, 3239, 5047, 2586, 7567, 751, 12959, 1897, 7, 9759, 38, 8637, 2786, 29, 8878, 222, 5980, 8894, 357, 7678, 12434, 8363, 6831, 4020, 11527, 1672, 8926, 7829, 310, 4610, 8774, 2983, 225, 5253, 11914, 157, 5479, 1277, 8796, 9542, 4933, 3558, 6623, 10360, 8904, 10287, 3909, 324, 6588, 2555, 7348, 4107, 12980, 754, 10112, 3, 2442, 715, 11145, 2558, 564, 5660, 4926, 4394, 7290, 362, 7552, 167, 10773, 467, 253, 11291, 8830, 1102, 5404, 447, 17, 8651, 2130, 263, 9208, 4432, 2078, 7772, 1725, 6416, 345, 1024, 13357, 6021, 129, 6702, 7151, 12439
 11064, 3263, 5069, 3185, 7568, 776, 12960, 1921, 8, 9781, 39, 8638, 2787, 53, 9401, 223, 5981, 8895, 358, 7701, 12435, 8387, 6832, 4021, 11528, 1695, 8927, 7830, 311, 4633, 8775, 3007, 249, 5254, 11938, 158, 5480, 1278, 8819, 9565, 4934, 3583, 6624, 10361, 8905, 10288, 3933, 325, 6589, 2577, 7349, 4130, 12981, 755, 10687, 18, 2464, 1290, 11146, 2559, 588, 5685, 4927, 4395, 7291, 363, 7553, 168, 10774, 468, 254, 11315, 8831, 1103, 5405, 448, 40, 8653, 2132, 264, 9209, 4433, 2079, 7773, 1748, 6417, 346, 1025, 13358, 6044, 152, 6726, 7152, 12463
 11087, 3264, 5070, 3186, 7590, 798, 12982, 1922, 9, 9782, 59, 8660, 2811, 54, 9402, 247, 5982, 8896, 359, 7702, 12436, 8388, 6833, 4022, 11529, 1696, 9526, 7831, 334, 4634, 9397, 3008, 250, 5276, 11939, 181, 5481, 1302, 8820, 9566, 5534, 3584, 6625, 10385, 8906, 10289, 3934, 347, 6610, 2578, 7350, 4131, 13005, 1354, 10688, 19, 2465, 1313, 11167, 2582, 589, 6256, 4951, 4841, 7292, 364, 7576, 169, 10775, 469, 255, 11316, 8832, 1104, 5406, 449, 41, 8654, 2133, 265, 9210, 4434, 2080, 7774, 1749, 6418, 366, 1048, 13359, 6045, 153, 6727, 7176, 12464
 11088, 3288, 5071, 3210, 7591, 799, 12983, 1923, 10, 9783, 60, 8661, 2812, 78, 9403, 248, 6003, 8918, 360, 7703, 12437, 8413, 6856, 4045, 11530, 1697, 9527, 7832, 335, 4635, 9398, 3031, 824, 5277, 11963, 182, 5504, 1303, 8821, 9567, 5535, 3585, 6648, 10386, 8907, 10310, 3958, 348, 6611, 2579, 7373, 4132, 13006, 1355, 10711, 20, 2466, 1314, 11168, 2583, 590, 6257, 4952, 4865, 7815, 365, 7577, 170, 10800, 470, 276, 11317, 8833, 1127, 5429, 450, 42, 8655, 2156, 266, 9232, 4457, 2081, 7775, 1750, 6441, 367, 1049, 13383, 6619, 154, 7302, 7177, 12465
 11089, 3289, 5072, 3211, 7592, 800, 12984, 1946, 11, 9784, 61, 8662, 2813, 79, 9404, 272, 6004, 8919, 381, 7704, 12459, 8936, 6857, 4046, 11531, 1721, 9551, 8429, 336, 4659, 9399, 3032, 848, 5278, 11964, 183, 5505, 1327, 8844, 9568, 5536, 3609, 6649, 10387, 8929, 10311, 3959, 349, 6612, 2602, 7374, 4155, 13007, 1356, 10712, 21, 2467, 1315, 11169, 2584, 613, 6258, 4953, 4866, 7840, 386, 7578, 171, 11374, 471, 277, 11340, 8854, 1128, 5430, 1071, 43, 9151, 2157, 287, 9233, 4458, 2103, 7797, 2348, 6442, 368, 1050, 13956, 6620, 176, 7326, 7201, 12489
 11090, 3290, 5094, 3235, 7615, 801, 12985, 1947, 12, 10381, 62, 8663, 2835, 103, 9426, 273, 6005, 8920, 382, 7726, 12460, 8937, 6858, 4047, 11552, 1722, 9552, 8430, 908, 4660, 9400, 3055, 849, 5279, 11988, 184, 5506, 1328, 8845, 9590, 5558, 3610, 6650, 10411, 8930, 10312, 3960, 350, 6613, 2603, 7375, 4156, 13030, 1379, 10713, 22, 2468, 1338, 11170, 2608, 614, 6259, 4975, 4890, 7841, 387, 7601, 172, 11375, 472, 278, 11341, 8855, 1129, 5431, 1072, 66, 9152, 2158, 288, 9234, 4459, 2104, 7798, 2349, 6443, 369, 1075, 13957, 6621, 177, 7327, 7202, 12490
 11113, 3313, 5095, 3236, 7616, 823, 12986, 2521, 13, 10382, 63, 8687, 2836, 104, 9427, 274, 6006, 8921, 383, 7727, 12461, 8938, 7431, 4067, 11553, 1746, 9576, 8431, 933, 4661, 9422, 3056, 850, 5302, 11989, 205, 5530, 1353, 8846, 9591, 5559, 4181, 6673, 10412, 8931, 10313, 4532, 372, 6614, 2604, 7398, 4157, 13031, 1380, 10736, 23, 2490, 1339, 11171, 3156, 615, 6260, 4976, 4891, 7865, 388, 7602, 190, 11398, 473, 279, 11342, 8856, 1130, 5453, 1073, 67, 9153, 2159, 289, 9235, 4482, 2105, 7799, 2350, 6466, 370, 1599, 13958, 6622, 178, 7328, 7227, 13062
 11114, 3314, 5096, 3810, 7617, 825, 13008, 2522, 14, 10383, 64, 8688, 2837, 628, 9428, 275, 6007, 9494, 384, 7728, 12485, 8939, 7432, 4068, 11554, 1747, 9577, 8432, 934, 4683, 9423, 3057, 873, 5303, 12013, 206, 5531, 1876, 8871, 9592, 5560, 4182, 6674, 10958, 9503, 10314, 4533, 373, 6615, 2628, 7399, 4180, 13032, 1381, 10737, 24, 2491, 1340, 11192, 3157, 638, 6261, 4977, 4915, 7866, 389, 7603, 191, 11399, 474, 280, 11365, 8857, 1703, 5454, 1074, 68, 9154, 2160, 290, 9257, 4483, 2106, 7823, 2373, 6467, 371, 1600, 13959, 6643, 179, 7351, 7751, 13063
