1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
10735,218,11056,220,5500,10015,9755,6628,2664,656,7293,5703,4943,6061,428,5229,4876,9926,2306,1,7741,7508,11694,13,21,4394,6783,9882,11480,2401,11048,4080,6844,658,410,12521,1793,5,12357,369,3336,6984,7028,14242,356,3383,11649,5769,3201,8234,5983,14269,2197,11089,976,239,58,3114,3472,10617,205,8251,3762,7317,3824,18,2519,1617,7188,207,9668,10670,462,8,6269,9286,7735,1792,1421,1857,9229,6005,10130,4324,11392,9725,5648,2755,10349,2212,11879,2056,576,818,12065,7784,165,9105,8048,115
 10736, 219, 11057, 221, 5525, 10016, 9756, 6629, 3263, 657, 7868, 5729, 4944, 6087, 429, 5254, 5476, 9927, 2329, 2, 7742, 7533, 11695, 14, 22, 4395, 7382, 9883, 11481, 2426, 11647, 4081, 6845, 683, 435, 12522, 1794, 6, 12358, 370, 3361, 6985, 7029, 14243, 357, 3384, 11650, 5794, 3202, 8258, 6006, 14270, 2198, 11090, 1002, 240, 59, 3115, 3473, 10644, 206, 8276, 4386, 7318, 3825, 19, 2520, 1618, 7189, 208, 9669, 10671, 463, 9, 6271, 9287, 7736, 1817, 1422, 2431, 9230, 6030, 10155, 4325, 11393, 9749, 5649, 2756, 10350, 2812, 11902, 2057, 577, 819, 12066, 7785, 166, 9704, 8072, 116
 10737, 242, 11656, 222, 5550, 10017, 9780, 7226, 3264, 680, 7869, 5730, 4945, 6113, 430, 5278, 5477, 9928, 2330, 3, 7743, 7558, 11696, 15, 23, 4396, 7383, 9884, 12082, 2451, 11648, 4082, 6846, 708, 460, 12523, 2393, 7, 12381, 371, 3386, 6986, 7053, 14267, 380, 3409, 12273, 5819, 3203, 8259, 6007, 14294, 2772, 11114, 1028, 263, 60, 3138, 3497, 10645, 228, 8277, 4387, 7319, 3847, 20, 2521, 2242, 7190, 232, 9670, 10694, 464, 10, 6894, 9288, 7759, 1818, 1423, 2432, 9231, 6055, 10703, 4348, 11415, 9750, 5650, 2757, 10374, 2813, 11903, 2081, 578, 820, 12067, 7786, 167, 9705, 8073, 140
 10738, 243, 11657, 245, 6052, 10040, 9781, 7227, 3288, 681, 7892, 5731, 4969, 6114, 431, 5279, 5501, 9929, 2331, 4, 7767, 7559, 11719, 16, 24, 4397, 7384, 9908, 12104, 2476, 11671, 4083, 6869, 1258, 461, 12547, 2394, 604, 12382, 372, 3935, 6987, 7054, 14268, 381, 3959, 12274, 5844, 3227, 8283, 6008, 14295, 2773, 11115, 1575, 264, 61, 3139, 3498, 11190, 229, 8301, 4388, 7320, 3848, 42, 2543, 2243, 7214, 233, 9694, 10695, 465, 11, 6895, 9311, 7760, 1819, 1447, 2456, 9829, 6630, 10704, 4349, 11416, 9751, 6248, 2780, 10950, 2836, 11904, 2082, 601, 844, 12068, 7787, 168, 9706, 8647, 141
 10759, 244, 11681, 246, 6053, 10041, 9782, 7251, 3289, 682, 7893, 5754, 4970, 6139, 432, 5804, 5502, 9930, 2332, 26, 7768, 7584, 11720, 17, 25, 4398, 7407, 10482, 12105, 3026, 11672, 4105, 6870, 1259, 487, 12548, 2395, 628, 12383, 373, 3960, 7010, 7055, 14292, 382, 3983, 12275, 6368, 3228, 8284, 6009, 14296, 2796, 11139, 1576, 265, 62, 3140, 4049, 11191, 230, 8826, 4411, 7342, 3849, 43, 2544, 2244, 7215, 234, 9695, 10696, 466, 12, 6896, 9312, 7761, 1842, 1448, 2457, 9830, 6655, 10728, 4350, 11417, 9774, 6249, 2781, 10974, 2837, 11928, 2680, 602, 845, 12090, 7809, 190, 9729, 8648, 662
 10760, 267, 11682, 247, 6054, 10042, 9806, 7252, 3290, 705, 7894, 5755, 5469, 6140, 433, 5829, 5526, 9950, 2354, 27, 8342, 8108, 11721, 38, 46, 4419, 7408, 10483, 12106, 3027, 11673, 4106, 6871, 1283, 1034, 13145, 2418, 629, 12384, 374, 3961, 7011, 7056, 14293, 383, 3984, 12300, 6369, 3252, 8859, 6031, 14319, 2797, 11140, 1600, 266, 83, 3141, 4050, 11192, 231, 8851, 4412, 7343, 3850, 44, 2545, 2267, 7216, 235, 9696, 10719, 488, 33, 6919, 9313, 8308, 1843, 1449, 2458, 9831, 6656, 10729, 4373, 11418, 9775, 6250, 2782, 10975, 2838, 11929, 2681, 603, 1418, 12091, 7810, 191, 9730, 8672, 663
 10761, 268, 11683, 248, 6075, 10043, 10355, 7253, 3312, 706, 7917, 5756, 5470, 6610, 434, 5830, 5527, 9951, 2355, 28, 8343, 8109, 11744, 39, 47, 4420, 7409, 10484, 12107, 3051, 11674, 4107, 7444, 1284, 1035, 13146, 2419, 630, 12407, 375, 3985, 7012, 7652, 14318, 404, 4007, 12876, 6393, 3253, 8860, 6032, 14320, 2798, 11164, 1601, 287, 84, 3142, 4072, 11193, 252, 8852, 4413, 7344, 3872, 45, 2546, 2268, 7240, 257, 9697, 10720, 489, 34, 6920, 9887, 8309, 1844, 1472, 2459, 9853, 6680, 10730, 4374, 11992, 9776, 6272, 2806, 10999, 2839, 12503, 2682, 1176, 1419, 12092, 7811, 192, 9731, 8673, 664
 10762, 269, 12280, 270, 6076, 10065, 10356, 7254, 3313, 707, 7918, 5757, 5471, 6635, 453, 5854, 5551, 9952, 2356, 29, 8366, 8132, 11745, 40, 48, 4421, 7432, 10507, 12129, 3052, 11697, 4108, 7445, 1285, 1059, 13147, 2420, 631, 12408, 376, 3986, 7609, 7653, 14867, 405, 4008, 12877, 6394, 3254, 8883, 6033, 14321, 2799, 11165, 1602, 288, 85, 3143, 4073, 11215, 253, 8875, 4436, 7345, 3873, 67, 2568, 2269, 7241, 258, 9698, 10721, 490, 35, 6921, 9911, 8310, 2417, 1473, 2481, 9854, 6681, 10753, 4375, 11993, 9777, 6273, 2807, 11000, 2840, 12504, 2683, 1177, 1442, 12093, 7812, 193, 9754, 8697, 665
 10763, 292, 12281, 271, 6077, 10066, 10379, 7851, 3314, 731, 7919, 5780, 5472, 6636, 454, 5855, 5552, 9953, 2357, 30, 8367, 8133, 11746, 41, 49, 4422, 7433, 10508, 12130, 3076, 11698, 4131, 7446, 1307, 1060, 13148, 2421, 632, 12409, 377, 3987, 7610, 7654, 14868, 406, 4009, 12898, 6395, 3826, 8884, 6034, 14345, 2821, 11713, 1603, 289, 86, 3165, 4074, 11216, 254, 8876, 4437, 7346, 3874, 68, 2569, 2292, 7788, 259, 9699, 11295, 491, 36, 6944, 9912, 8333, 2441, 1474, 2482, 9855, 6705, 10754, 4924, 12015, 9799, 6274, 3379, 11024, 2861, 12505, 2684, 1178, 1443, 12690, 7834, 215, 10305, 8698, 666
 10764, 293, 12282, 272, 6078, 10067, 10380, 7852, 3337, 732, 8493, 6278, 5493, 6660, 455, 5856, 6126, 9954, 2378, 31, 8368, 8134, 11747, 63, 50, 4423, 7434, 10509, 12131, 3077, 11722, 4679, 7468, 1308, 1061, 13170, 2422, 655, 12957, 393, 4010, 7611, 7655, 14891, 407, 4033, 12899, 6418, 3827, 8885, 6056, 14346, 2822, 11714, 1626, 290, 87, 3166, 4097, 11217, 255, 8877, 4438, 7347, 3875, 69, 2570, 2293, 7789, 260, 9700, 11296, 514, 37, 6945, 9913, 8334, 2442, 1497, 2483, 9856, 6706, 10755, 4925, 12016, 9800, 6275, 3380, 11525, 2862, 12527, 2705, 1201, 1444, 12691, 7835, 216, 10329, 8699, 688
