1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
3502,150,3396,9133,5674,11,7142,2668,5901,9181,331,3138,9641,629,8291,45,268,5216,5536,3750,1540,10874,9537,9776,7034,57,11528,266,255,7094,402,4770,524,7663,5634,7403,4,8751,193,3223,12414,455,9140,2044,445,360,12195,11604,2562,245,8560,11471,6142,441,12953,1531,289,10959,7118,6011,89,6296,4073,9477,1260,7928,9923,11143,9142,1405,10679,10976,3061,1091,3967,486,10640,451,5457,1,16,13595,10372,127,12567,9153,166,1329
 3527, 173, 3397, 9707, 6273, 12, 7167, 3242, 5902, 9205, 332, 3139, 9642, 654, 8316, 46, 269, 5239, 5537, 3751, 1565, 10875, 9538, 9801, 7035, 58, 11529, 267, 256, 7095, 403, 5344, 548, 7664, 5658, 8001, 5, 8752, 194, 3224, 12415, 456, 9739, 2069, 446, 361, 12196, 11605, 2587, 246, 8586, 11472, 6143, 442, 12954, 1556, 290, 11583, 7119, 6012, 114, 6321, 4074, 9478, 1261, 7929, 9947, 11144, 9143, 1430, 10680, 10977, 3062, 1113, 3968, 487, 10641, 452, 5458, 2, 17, 13596, 10373, 128, 12591, 9154, 167, 1354
 3552, 174, 3995, 9708, 6274, 13, 7191, 3243, 5903, 9206, 333, 3140, 9643, 1133, 8317, 69, 291, 5240, 5538, 3772, 1590, 10898, 9561, 9802, 7059, 59, 11530, 866, 279, 7096, 404, 5368, 549, 7665, 5659, 8002, 6, 8753, 218, 3225, 12439, 457, 9740, 2094, 470, 385, 12795, 11630, 2588, 247, 9134, 11496, 6168, 443, 12955, 1557, 311, 11584, 7120, 6035, 115, 6345, 4075, 9479, 1262, 7953, 9948, 11145, 9167, 1455, 11278, 11001, 3086, 1114, 3993, 509, 10665, 453, 5459, 3, 18, 13621, 10374, 151, 12592, 9155, 168, 1953
 3577, 197, 3996, 9709, 6276, 14, 7192, 3244, 5904, 9207, 334, 3141, 9665, 1156, 8341, 70, 292, 5241, 6116, 3773, 1591, 10899, 9562, 9826, 7060, 60, 11553, 867, 280, 7121, 427, 5369, 550, 7688, 5660, 8027, 7, 8776, 219, 3247, 12440, 1029, 9741, 2095, 471, 386, 12796, 11654, 2612, 248, 9157, 11497, 6742, 444, 12956, 2107, 312, 11585, 7143, 6036, 116, 6346, 4096, 9501, 1285, 7954, 10522, 11168, 9168, 1456, 11279, 11002, 3087, 1115, 3994, 510, 10666, 454, 5483, 22, 19, 14169, 10375, 152, 12593, 9176, 190, 1954
 3602, 198, 3997, 9731, 6297, 15, 7216, 3245, 5926, 9230, 335, 3164, 9666, 1157, 8342, 71, 293, 5263, 6137, 3774, 1615, 10900, 9563, 9827, 7061, 61, 11554, 868, 281, 7122, 428, 5370, 574, 7689, 5683, 8028, 8, 8777, 243, 3823, 13013, 1030, 9742, 2120, 472, 387, 12820, 11655, 2613, 249, 9158, 11521, 6743, 466, 12978, 2130, 313, 11607, 7144, 6037, 138, 6370, 4097, 9502, 1286, 7978, 10523, 11169, 9169, 1980, 11303, 11576, 3111, 1116, 4592, 511, 10690, 476, 5484, 23, 20, 14170, 10397, 153, 12617, 9177, 191, 1978
 4101, 222, 4020, 9732, 6298, 36, 7767, 3266, 5927, 9231, 355, 3165, 9667, 1158, 8915, 93, 294, 5264, 6138, 3775, 1616, 10923, 9586, 10401, 7084, 62, 11555, 890, 304, 7123, 429, 5393, 575, 7690, 5684, 8029, 9, 8778, 244, 3824, 13014, 1054, 9743, 2645, 473, 410, 12821, 12229, 2614, 270, 9159, 12071, 6767, 467, 12979, 2131, 314, 11608, 7145, 6560, 139, 6371, 4098, 9503, 1287, 7979, 10547, 11170, 9192, 2004, 11304, 11577, 3112, 1138, 4593, 512, 10691, 477, 5485, 24, 21, 14171, 10398, 154, 12618, 9178, 192, 1979
 4102, 223, 4021, 9733, 6299, 37, 7791, 3267, 5928, 9232, 356, 3189, 9668, 1159, 8916, 94, 316, 5839, 6139, 3776, 1640, 10924, 9587, 10402, 7085, 80, 11578, 891, 305, 7124, 1052, 5394, 14248, 7691, 5685, 8052, 10, 8801, 818, 3825, 13015, 1055, 9744, 2669, 495, 411, 12822, 12230, 2638, 271, 9160, 12072, 6768, 468, 12980, 2132, 315, 11609, 7146, 6584, 140, 6395, 4099, 9504, 1885, 8003, 10548, 11193, 9193, 2005, 11305, 11601, 3113, 1139, 4594, 535, 10715, 478, 5508, 25, 39, 14194, 10399, 175, 13192, 9179, 215, 2003
 4103, 751, 4022, 9734, 6300, 38, 7792, 3268, 5929, 9255, 357, 3190, 9690, 1181, 8917, 95, 317, 5840, 6140, 3798, 1641, 10925, 9588, 10425, 7659, 81, 11579, 892, 306, 7695, 1053, 5395, 14249, 8264, 5708, 8053, 29, 8802, 819, 3847, 13038, 1056, 9763, 2670, 496, 412, 12823, 12231, 2639, 272, 9161, 12073, 6769, 469, 13578, 2133, 336, 11610, 7168, 6585, 141, 6396, 4100, 9505, 1886, 8004, 10572, 11194, 9194, 2006, 11306, 11602, 3686, 1140, 4617, 536, 11264, 479, 5509, 26, 40, 14195, 10400, 176, 13193, 9180, 216, 2027
 4126, 772, 4023, 9756, 6301, 63, 7816, 3269, 5930, 9256, 358, 3215, 9691, 1182, 8940, 96, 318, 5841, 6141, 3799, 1642, 10948, 9610, 10426, 7660, 82, 11580, 893, 307, 7696, 13551, 5418, 14272, 8288, 5709, 8054, 30, 8803, 10793, 3848, 13039, 1057, 9764, 2671, 497, 413, 12824, 12254, 3185, 273, 9162, 12096, 6792, 491, 13579, 2155, 337, 11611, 7169, 6586, 164, 6895, 4121, 9506, 1887, 8552, 10573, 11195, 9217, 2029, 11328, 11603, 3687, 1141, 4618, 537, 11265, 501, 5510, 27, 41, 14196, 10421, 177, 13216, 9777, 217, 2028
 4127, 773, 4024, 9757, 6302, 488, 7817, 3270, 5951, 9257, 359, 3240, 9692, 1183, 8941, 117, 319, 5862, 6161, 3800, 1666, 10949, 9611, 10427, 7661, 83, 12129, 916, 329, 7697, 13552, 5419, 14273, 8289, 6234, 8078, 31, 8826, 10818, 3849, 13040, 1079, 9765, 2693, 498, 414, 12845, 12255, 3186, 274, 9163, 12097, 6793, 492, 13580, 2156, 338, 11632, 7170, 6587, 165, 6896, 4122, 9526, 1888, 8553, 10597, 11218, 9218, 2030, 11329, 11626, 3688, 1142, 4619, 1134, 11266, 502, 6031, 28, 42, 14197, 10422, 178, 13217, 9778, 241, 2079
