1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
11254,12662,410,9969,6527,254,4657,519,5573,6448,7688,370,6514,9260,1823,2529,444,10270,9002,11,11522,3026,13269,12208,520,207,9178,8134,76,6364,727,170,5494,6945,4887,8259,3314,110,3867,10163,16,284,79,215,12519,2061,3857,9939,1464,2081,9092,1420,226,920,5592,7268,3944,9130,411,1619,2747,1467,8962,5626,1056,11301,4817,8910,3018,5019,10986,2,13754,9691,14144,14190,563,10739,12167,7258,4247,10965,437,165,3147,7762,4622,47,6704,3751,4533,238,4,326,5531,161,2176,1,13489,7176,9145,2809,3383,2585
 11255, 12663, 435, 9970, 6528, 255, 5156, 543, 5597, 6473, 7689, 371, 6538, 9284, 1824, 2530, 445, 10295, 9602, 12, 11547, 3027, 13270, 12209, 521, 231, 9179, 8135, 100, 6365, 752, 192, 6044, 7516, 4888, 8882, 3888, 134, 3893, 10164, 17, 285, 80, 216, 12542, 2085, 4481, 9940, 1465, 2105, 9093, 1421, 227, 945, 5617, 7293, 3945, 9131, 412, 1620, 2772, 1468, 8963, 5627, 1605, 11302, 5391, 8935, 3019, 5020, 10987, 3, 13755, 9692, 14145, 14215, 564, 10740, 12168, 7259, 4271, 10966, 438, 166, 3148, 7786, 4623, 48, 6705, 3776, 4534, 239, 5, 351, 5556, 162, 2177, 23, 13490, 7196, 9170, 2834, 3384, 2586
 11279, 12687, 436, 10569, 6553, 278, 5157, 544, 5598, 6474, 7713, 372, 6539, 9285, 1848, 2555, 470, 10869, 9603, 13, 11571, 3028, 13294, 12233, 545, 232, 9180, 8157, 101, 6388, 777, 193, 6045, 7517, 4932, 8883, 3889, 135, 3894, 10188, 18, 309, 81, 240, 12543, 2086, 4482, 9941, 1466, 2130, 9094, 1443, 228, 970, 6191, 7318, 3969, 9132, 413, 1644, 2773, 1492, 8964, 5628, 1606, 11303, 5392, 8936, 3044, 5021, 10988, 26, 13778, 9693, 14169, 14216, 565, 10764, 12191, 7283, 4272, 10989, 439, 190, 3149, 7787, 4647, 72, 6707, 3777, 4558, 261, 6, 352, 6130, 163, 2178, 24, 13491, 7197, 9171, 3433, 3385, 3135
 11280, 12688, 459, 10570, 6554, 279, 5180, 567, 5621, 6475, 7714, 373, 6540, 9884, 1849, 3128, 1069, 10870, 9604, 14, 11572, 3051, 13295, 12234, 546, 233, 9182, 8158, 102, 6389, 801, 194, 6069, 7518, 4933, 8884, 3890, 136, 3918, 10189, 19, 310, 82, 241, 12544, 2659, 4507, 9942, 1486, 2131, 9117, 1444, 249, 1494, 6192, 7893, 3970, 9133, 416, 1645, 2797, 1493, 8965, 5629, 1607, 11326, 5413, 8960, 3618, 5044, 11010, 27, 13779, 9694, 14170, 14240, 588, 10765, 12192, 7284, 4296, 10990, 440, 191, 3172, 7811, 4648, 73, 7280, 3801, 4559, 262, 7, 374, 6131, 164, 2201, 25, 13514, 7198, 9745, 3434, 3408, 3136
 11281, 12689, 460, 10594, 6578, 280, 5181, 568, 5622, 7073, 8286, 394, 6563, 9885, 1850, 3129, 1070, 10871, 9626, 15, 11596, 3052, 13869, 12235, 547, 234, 9183, 8159, 123, 6390, 802, 195, 6070, 7519, 4934, 8908, 3891, 158, 3919, 10190, 20, 334, 83, 242, 12545, 2660, 5056, 9943, 1487, 2155, 9118, 1445, 250, 1495, 6216, 7917, 3971, 9153, 417, 1649, 2798, 1517, 8988, 5651, 1608, 11327, 5414, 8961, 3619, 5045, 11011, 28, 13780, 10292, 14194, 14790, 589, 10766, 12193, 7309, 4297, 10991, 441, 739, 3173, 7812, 4649, 74, 7281, 3802, 4583, 263, 8, 375, 6132, 186, 2202, 49, 13515, 7199, 9770, 3435, 3409, 3137
 11304, 12713, 461, 10595, 6579, 281, 5182, 569, 5623, 7074, 8287, 395, 6564, 9886, 1873, 3130, 1095, 10894, 9627, 36, 11597, 3053, 13893, 12258, 570, 256, 9203, 8160, 124, 6413, 803, 196, 6071, 7520, 4958, 8909, 3892, 159, 4467, 10213, 21, 335, 103, 265, 12567, 2661, 5057, 9964, 1488, 2156, 9119, 1446, 251, 1496, 6217, 7918, 3995, 9154, 418, 1674, 2822, 1518, 8989, 5652, 1609, 11328, 5415, 8985, 3642, 5046, 11012, 29, 13803, 10293, 14195, 14791, 590, 10789, 12194, 7883, 4321, 11014, 442, 762, 3197, 8360, 4650, 96, 7282, 3803, 4584, 264, 9, 376, 6155, 187, 2203, 50, 13516, 7200, 9771, 3458, 3410, 3138
 11305, 12714, 484, 10596, 6604, 282, 5204, 592, 5624, 7097, 8288, 396, 6565, 9909, 1874, 3131, 1120, 10895, 9628, 37, 11598, 3074, 13894, 12259, 571, 257, 9204, 8182, 125, 6414, 826, 197, 6093, 7541, 5460, 9482, 3913, 160, 4468, 10214, 22, 336, 104, 266, 12568, 2684, 5080, 9965, 1489, 2681, 9142, 1470, 252, 1519, 6218, 7942, 3996, 9155, 986, 2244, 3396, 1542, 8990, 5653, 1630, 11329, 5416, 9535, 3643, 5644, 11013, 51, 14378, 10294, 14744, 14792, 1188, 10790, 12218, 7884, 4322, 11015, 443, 763, 3770, 8361, 4672, 97, 7304, 3827, 4608, 286, 10, 377, 6156, 188, 2225, 75, 13517, 7201, 9792, 3459, 4008, 3139
 11306, 12715, 485, 10619, 6629, 303, 5229, 593, 5650, 7098, 8289, 397, 6589, 9910, 1875, 3132, 1694, 10896, 9629, 38, 11621, 3075, 13895, 12260, 572, 258, 9254, 8183, 126, 6988, 827, 217, 6094, 7542, 5461, 9483, 3914, 183, 4469, 10215, 41, 360, 105, 267, 12569, 2685, 5081, 9966, 1490, 2682, 9143, 2043, 253, 1520, 6219, 7943, 4021, 9156, 1010, 2245, 3397, 1543, 9014, 5654, 1631, 11351, 5417, 9559, 3644, 5645, 11035, 52, 14379, 10316, 14745, 14793, 1189, 10791, 12219, 7908, 4871, 11016, 462, 764, 3771, 8362, 4673, 98, 7305, 3828, 4609, 287, 30, 399, 6180, 189, 2226, 573, 13540, 7220, 9793, 3460, 4009, 3159
 11330, 13262, 486, 10620, 7127, 304, 5253, 594, 6173, 7099, 8290, 398, 6590, 9911, 2447, 3133, 1695, 10920, 9630, 39, 11622, 3076, 13918, 12808, 595, 259, 9280, 8184, 127, 6989, 828, 218, 6095, 7543, 5485, 9507, 3915, 184, 4492, 10216, 42, 361, 106, 291, 12570, 2686, 5082, 9989, 1491, 2705, 9144, 2044, 273, 1521, 6220, 7967, 4594, 9157, 1011, 2246, 3398, 1567, 9015, 5675, 1632, 11352, 5438, 9560, 3645, 5646, 11036, 53, 14380, 10317, 14769, 14815, 1190, 10816, 12767, 7909, 4872, 11566, 463, 765, 3772, 8363, 4674, 99, 7306, 3829, 4610, 288, 31, 400, 6181, 211, 2227, 574, 13541, 7221, 9794, 3461, 4010, 3160
 11331, 13263, 511, 11194, 7152, 305, 5254, 1143, 6174, 7100, 8312, 419, 7138, 9934, 2448, 3154, 1719, 10921, 9651, 40, 11623, 3077, 13919, 12809, 596, 260, 9282, 8185, 147, 6990, 1325, 219, 6096, 7544, 5486, 9508, 3916, 185, 4493, 10238, 43, 385, 107, 292, 13143, 2687, 5105, 9990, 1510, 2706, 9717, 2045, 274, 1544, 6241, 7968, 4595, 9707, 1012, 2249, 3421, 1568, 9040, 5676, 1633, 11353, 5439, 9561, 3666, 5647, 11037, 54, 14403, 10318, 14770, 14816, 1213, 11339, 12768, 7910, 4873, 11589, 464, 766, 3773, 8385, 4675, 121, 7307, 4376, 4611, 289, 32, 401, 6205, 212, 2250, 575, 13542, 7222, 9795, 3484, 4011, 3161
