1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
6643,68,1,5877,2524,7514,1758,2914,290,2259,9070,5138,9012,1384,9651,8030,1355,9427,8268,4724,7530,276,7996,12683,10093,95,105,12216,870,112,633,2366,8,6613,12077,5405,1540,5011,6153,8240,58,2739,10233,373,1393,11269,4937,9269,6513,3283,1350,148,6842,374,797,705,10656,3751,18,314,328,977,1481,5732,5771,233,452,6951,7387,8081,7234,357,2994,5021,1645,526,3273,3260,5711,247,135,3332,420,9549,4593,8577,574,3503,667,461,9333,4376,4383,3478,2156,9901,2261,7832,7687
7242,92,2,6452,2525,8064,2308,2937,291,2260,9071,5139,9036,1408,9676,8578,1356,9428,8842,4725,8131,277,7997,13257,10118,96,126,12217,871,113,634,2367,9,6637,12078,5406,1565,5012,6154,8241,82,3363,10258,376,2018,11270,4961,9867,6537,3308,1975,149,7392,399,822,706,10657,3752,19,338,329,1577,1482,5757,5772,234,453,6952,7411,8106,7834,358,2995,5022,1668,527,3298,3261,5712,271,136,3333,421,9572,4594,8602,575,3504,692,462,9358,4377,4384,3479,2157,9902,2284,7835,7688
7243,93,3,6453,2549,8065,2309,2938,292,2285,9094,5164,9037,1958,9677,8579,1376,9452,8867,4749,8154,278,8570,13281,10716,97,127,12218,895,137,635,2391,10,6638,12102,5430,2140,5013,6178,8242,83,3364,10259,398,2043,11271,4962,9868,6538,3883,2000,150,7417,424,846,728,10681,3753,20,339,330,1578,1506,5758,5795,235,454,6953,7412,8130,7857,359,3018,5023,1669,528,3299,3284,5735,272,159,3956,422,9573,4616,9128,598,4051,693,463,9383,4400,4408,4052,2158,9927,2860,8384,7712
7244,94,4,6454,2550,8088,2310,2939,293,2286,9095,5738,9636,1982,9701,8581,1377,9453,8868,5323,8155,299,8571,13282,10717,121,128,12242,920,138,636,2392,11,6639,12103,6004,2141,5036,6179,8264,84,3963,10832,400,2618,11293,4963,9869,6562,3907,2024,173,7418,449,847,1302,10682,3754,21,340,331,1579,1507,5759,5796,236,455,6954,7413,8704,7858,360,3019,5024,1693,529,3324,3285,5736,273,160,3957,442,9574,4617,9153,599,4076,716,464,9384,4926,4409,4053,2181,10501,2861,8408,8234
7267,116,5,6476,2574,8089,2333,2940,294,2859,9096,5739,9637,1983,9702,8582,1378,9454,8869,5324,8156,300,8572,13283,10718,122,129,12243,1469,139,637,2416,12,6661,12128,6005,2164,5037,6180,8265,106,3964,10833,401,2642,11294,4986,9892,6563,3908,2025,174,7441,14148,848,1303,10683,3755,22,363,352,1601,1532,5781,5797,237,456,6955,7986,8705,7859,361,3020,5045,2216,530,3325,3286,5737,297,161,3958,443,9575,4618,9177,600,4101,717,465,9408,4950,4410,4054,2182,10502,2862,8409,8260
7268,117,6,6477,2575,8090,2334,2962,295,2884,9118,5763,9638,1984,10251,8583,1379,10027,8892,5325,8179,301,8573,13284,10719,123,130,12267,1493,13237,638,2417,13,6662,12677,6006,2165,5038,6204,8266,107,3988,10857,423,2643,11295,4987,9893,6564,3932,2050,175,7442,14149,873,1304,10706,3756,23,364,353,1602,2080,5782,5821,238,457,6976,8010,8706,7860,362,3021,5046,2217,553,3326,3287,5761,298,162,3959,444,9596,4619,9201,623,4102,718,483,9409,4951,5008,4077,2183,10503,2886,8410,8261
7269,118,7,6478,2599,8112,2335,2963,296,2885,9119,5764,9639,2007,10252,8603,1380,10028,8893,5347,8180,302,8594,13307,10742,719,131,12292,1494,13238,657,2441,14,6663,12678,6007,2166,5061,6205,8267,108,3989,10858,425,2644,11296,4988,9894,6587,3933,2551,176,7443,14173,1422,1305,10707,3757,43,365,354,1603,2081,5783,5822,258,477,6977,8011,8707,7883,382,3043,5047,2218,554,3350,3309,6312,322,163,3982,445,9597,4641,9202,624,4126,740,484,9958,4975,5009,4078,2205,10526,2887,8432,8262
7292,119,24,6479,3149,8113,2358,2964,315,2910,9120,5765,9660,2008,10276,8604,1381,10051,8894,5348,8181,303,8595,13308,10743,720,151,12793,1495,13239,658,2442,15,6664,12679,6008,2190,5062,6229,8289,109,3990,10859,426,2667,11318,5561,9917,6588,4483,2576,198,7466,14174,1423,1306,11257,3778,44,388,355,1604,2082,5784,5823,259,478,6978,8012,8729,7884,383,3044,5048,2241,555,3351,3310,6313,323,183,3983,446,9598,4642,9226,625,4127,741,485,9983,4976,5010,4079,2206,10527,2909,8433,8285
7293,120,25,6501,3150,8114,2359,2965,316,2911,9121,5788,9661,2009,10277,8605,1951,10052,8919,5349,8206,304,8596,13309,10744,721,152,12817,1496,13262,659,2991,16,6665,12701,6029,2191,5086,6230,8290,110,4014,10882,448,2668,11319,5562,9918,6589,4507,2600,199,7467,14175,1445,1307,11260,3779,45,389,356,2176,2105,5806,5846,260,479,6979,8013,8730,7885,384,3045,5049,2242,556,3376,3311,6336,872,184,3984,447,9599,4643,9227,1198,4128,765,486,10007,4977,5032,4080,2207,10528,3485,8434,8286
7294,140,26,6502,3173,8115,2383,2966,317,2912,9143,5789,9662,2032,10278,8606,1952,10053,9441,5350,8756,324,8597,13858,10767,722,153,12818,1518,13263,660,2992,17,6687,12702,6030,2740,5636,6754,8291,132,4039,10883,450,2669,11320,5563,9919,6612,4508,2601,200,7468,14198,1446,1327,11281,3780,46,390,377,2177,2106,5807,5847,261,480,6980,8014,8731,7909,385,3046,5050,2243,557,3897,3312,6337,896,185,4581,466,9600,4644,9251,1199,4129,1267,487,10008,5000,5033,4103,2231,10551,3486,8435,8287
