1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
8254,492,3534,10396,9361,11256,5776,7724,11816,10896,5015,100,5422,837,5442,4701,177,6715,4714,11180,5276,6347,9553,10869,10004,14313,13985,276,7969,3507,14303,9391,10551,9551,11270,8174,10068,3254,10791,8966,11722,295,1473,256,10353,9609,4411,16,534,7126,9362,4,12804,11643,1751,474,8257,6269,12337,1861,2986,4907,10980,1373,298,3019,11695,9005,2228,3557,3838,6705,10,3272,9560,7951,1261,404,90,236,5108,452,7,9216,1429,2090,4239,10988,1,3264,7403,11771,137,239,35,1972,444,9662,9377,7231,3359,5006,354,9741,6780,1522,314,993,32,7512,6573
 8255, 515, 3535, 10397, 9385, 11257, 5800, 8347, 12415, 10897, 5016, 101, 5423, 838, 5443, 4726, 178, 6739, 4715, 11205, 5277, 6348, 9578, 10870, 10005, 14314, 13986, 277, 7970, 3532, 14304, 9416, 10576, 9552, 11271, 8175, 10069, 3255, 10792, 8990, 11723, 320, 1498, 257, 10354, 9633, 4435, 17, 535, 7127, 9937, 5, 12805, 11644, 2351, 475, 8258, 6270, 12360, 1862, 3011, 4908, 10981, 1398, 299, 3020, 11696, 9006, 2229, 3558, 3839, 6755, 11, 3872, 9584, 7976, 1262, 405, 91, 237, 5709, 453, 8, 9217, 1430, 2115, 4240, 11011, 2, 3289, 7404, 11772, 138, 240, 36, 2519, 445, 10262, 9403, 7232, 3360, 5007, 355, 9766, 6781, 1545, 334, 994, 33, 7536, 6574
 8256, 516, 3536, 10421, 9386, 11258, 5801, 8348, 12416, 10898, 5017, 124, 5446, 839, 5467, 4727, 179, 6740, 4716, 11230, 5278, 6369, 9579, 10894, 10006, 14315, 13987, 278, 7993, 4106, 14328, 9417, 10601, 9576, 11272, 8176, 10070, 3278, 10816, 8991, 11746, 920, 1523, 258, 10377, 9634, 4436, 18, 536, 7151, 9938, 6, 12828, 11664, 2352, 476, 8282, 6271, 12361, 1886, 3012, 4931, 11005, 1399, 321, 3021, 11697, 9007, 2253, 3582, 3840, 7279, 12, 3873, 9585, 7998, 1263, 407, 92, 238, 5733, 478, 9, 9240, 1454, 2116, 4264, 11012, 3, 3888, 7426, 11773, 139, 241, 60, 2520, 446, 10263, 9428, 7233, 3384, 5008, 356, 10339, 7381, 1546, 335, 1018, 34, 7537, 6597
 8280, 517, 3537, 10422, 9387, 11281, 5802, 8349, 12417, 10921, 5039, 125, 5447, 861, 5468, 4749, 201, 7339, 4739, 11755, 5279, 6370, 9604, 10895, 10029, 14338, 13988, 279, 7994, 4107, 14329, 10015, 10602, 10152, 11296, 8199, 10092, 3279, 10817, 8992, 11747, 945, 2073, 259, 10378, 9635, 4437, 19, 537, 7152, 9962, 28, 12829, 11665, 2375, 477, 8283, 6272, 12362, 2435, 3036, 4932, 11006, 1997, 322, 3022, 11698, 9030, 2254, 3583, 3863, 7280, 13, 3896, 10160, 7999, 1264, 428, 93, 260, 5734, 502, 632, 9241, 1455, 2117, 4265, 11013, 26, 3889, 7427, 11796, 162, 264, 61, 2542, 468, 10264, 10001, 7234, 3385, 5031, 357, 10340, 7405, 1547, 336, 1019, 57, 7561, 6598
 8281, 539, 3538, 10996, 9986, 11282, 5825, 8350, 12440, 10922, 5040, 126, 5448, 862, 6042, 4750, 202, 7340, 4740, 11779, 5301, 6371, 10153, 10919, 10030, 14339, 14010, 301, 7995, 4131, 14330, 10016, 10625, 10176, 11871, 8200, 10093, 3280, 10818, 8993, 11748, 14020, 2074, 280, 10379, 9658, 4460, 20, 558, 7176, 9963, 29, 12830, 11666, 2376, 499, 8305, 6818, 12385, 2436, 3037, 4933, 11007, 1998, 323, 3023, 11720, 9031, 2255, 3584, 3864, 7304, 14, 3897, 10184, 8000, 1265, 429, 94, 261, 5758, 503, 633, 9266, 1480, 2140, 4266, 11036, 27, 3913, 7428, 11797, 163, 265, 62, 2543, 469, 10287, 10002, 7235, 3386, 5032, 379, 10341, 7406, 1570, 337, 1043, 58, 7562, 6599
 8853, 540, 3559, 10997, 10009, 11283, 5826, 8371, 12441, 11471, 5041, 127, 5449, 863, 6043, 4774, 203, 7341, 4764, 11780, 5302, 6372, 10154, 10920, 10031, 14340, 14011, 302, 7996, 4132, 14354, 10017, 11151, 10177, 11872, 8201, 10094, 3854, 10841, 9014, 12347, 14021, 2075, 281, 10402, 9659, 4461, 21, 559, 7726, 9964, 30, 12831, 11667, 2377, 500, 8306, 6819, 12386, 2459, 3611, 4957, 11030, 1999, 324, 3044, 11721, 9032, 2277, 3607, 3865, 7305, 15, 3898, 10185, 8001, 1287, 430, 95, 262, 5759, 527, 634, 9290, 1504, 2141, 4289, 11037, 51, 3914, 7429, 11798, 164, 266, 86, 2544, 470, 10288, 10003, 7236, 3409, 5033, 380, 10342, 7407, 1571, 338, 1044, 59, 7586, 6621
 8854, 541, 3560, 11021, 10010, 11306, 5827, 8372, 12442, 11496, 5042, 149, 5472, 864, 6067, 4775, 204, 7363, 4765, 11781, 5303, 6373, 10178, 10944, 10054, 14341, 14012, 303, 8593, 4133, 14355, 10040, 11152, 10200, 11873, 8225, 10095, 3855, 10842, 9015, 12348, 14044, 2097, 282, 10403, 9660, 4462, 22, 560, 7727, 9965, 31, 12854, 11668, 2400, 501, 8307, 6820, 12961, 2460, 3612, 4958, 11031, 2022, 325, 3045, 12295, 9055, 2278, 3608, 3890, 7329, 37, 3921, 10186, 8024, 1288, 431, 115, 263, 5760, 528, 635, 9315, 1505, 2142, 4290, 11038, 76, 3915, 7430, 11822, 186, 267, 87, 2545, 471, 10289, 10026, 7258, 3410, 5056, 381, 10343, 7431, 2120, 339, 1068, 82, 7587, 7124
 8855, 564, 3561, 11022, 10011, 11307, 6352, 8373, 12443, 11497, 5063, 150, 5473, 1438, 6068, 4799, 226, 7364, 5314, 11804, 5304, 6394, 10179, 10945, 10055, 14363, 14013, 304, 8594, 4157, 14928, 10041, 11176, 10201, 11894, 8226, 10668, 3856, 10843, 9016, 12349, 14045, 2098, 283, 10404, 9683, 5035, 23, 561, 7728, 9987, 52, 12855, 11669, 2926, 524, 8308, 6821, 12962, 2461, 3613, 5532, 11032, 2023, 326, 3046, 12296, 9056, 2279, 3609, 3891, 7330, 38, 3922, 10209, 8025, 1289, 432, 116, 285, 6308, 552, 1257, 9791, 2028, 2143, 4291, 11061, 551, 3938, 7451, 11823, 187, 289, 88, 2546, 472, 10312, 10027, 7259, 3411, 5057, 382, 10364, 7432, 2121, 340, 1069, 83, 7610, 7146
 8856, 565, 3562, 11023, 10012, 11880, 6376, 8948, 13040, 11498, 5064, 151, 5498, 1439, 6069, 5326, 227, 7365, 5315, 11805, 5305, 6395, 10180, 10946, 10629, 14364, 14036, 328, 8595, 4158, 14929, 10042, 11177, 10202, 11895, 8774, 10669, 3878, 11391, 9017, 12370, 14046, 2099, 284, 10427, 9684, 5036, 24, 562, 7750, 9988, 53, 13428, 12265, 2951, 525, 8331, 6822, 12963, 2462, 3635, 5533, 11605, 2024, 327, 3047, 12297, 9057, 2302, 3610, 4438, 7331, 39, 4497, 10210, 8050, 1290, 433, 117, 286, 6309, 553, 1258, 9814, 2052, 2165, 4314, 11062, 576, 3939, 7452, 11824, 188, 290, 112, 2567, 473, 10313, 10028, 7260, 3412, 5058, 406, 10365, 8005, 2122, 358, 1070, 84, 7611, 7147
 8857, 1092, 3563, 11045, 10013, 11881, 6377, 8949, 13041, 11521, 5065, 152, 6046, 1461, 6092, 5350, 228, 7366, 5316, 11806, 5327, 6396, 10203, 10969, 10630, 14365, 14037, 329, 8596, 4182, 14930, 10043, 11178, 10225, 11896, 8775, 10670, 3879, 11392, 9018, 12371, 14047, 2100, 305, 10428, 10234, 5037, 25, 563, 7751, 9989, 54, 13429, 12266, 2952, 526, 8332, 6823, 12985, 2483, 3636, 5556, 11606, 2025, 345, 3048, 12298, 9081, 2303, 3632, 4439, 7354, 40, 4498, 10211, 8576, 1313, 454, 118, 287, 6310, 13553, 1259, 9815, 2053, 2166, 4315, 11063, 577, 3963, 7453, 11847, 189, 291, 113, 2568, 493, 10314, 10052, 7832, 3434, 5059, 1004, 10366, 8006, 2144, 359, 1093, 85, 7612, 7148
 8878, 1115, 3585, 11046, 10014, 11882, 6378, 8950, 13042, 11522, 5066, 153, 6047, 1462, 6093, 5351, 229, 7367, 5317, 11830, 5328, 6397, 10204, 11469, 10631, 14913, 14038, 901, 8617, 4730, 14931, 10066, 11200, 10226, 11897, 8776, 10693, 3880, 11416, 9019, 12372, 14069, 2123, 306, 10951, 10257, 5060, 41, 583, 7752, 9990, 55, 13430, 12267, 2953, 549, 8333, 6824, 12986, 2484, 3637, 5557, 11630, 2047, 346, 3069, 12299, 9630, 2304, 3633, 4463, 7355, 63, 4521, 10235, 8597, 1314, 455, 119, 288, 6333, 13577, 1260, 9816, 2054, 2167, 4316, 11086, 578, 4538, 7454, 11848, 211, 292, 114, 2569, 494, 10887, 10053, 7833, 3435, 5081, 1005, 10367, 8007, 2145, 360, 1569, 107, 7635, 7149
 8879, 1116, 3586, 11047, 10034, 11883, 6401, 8972, 13043, 11523, 5067, 174, 6048, 1463, 6094, 5352, 250, 7388, 5318, 11831, 5329, 6398, 10205, 11470, 10632, 14914, 14610, 902, 8618, 4731, 14953, 10067, 11201, 10227, 11898, 8798, 10694, 3881, 11417, 9039, 12373, 14070, 2124, 307, 10952, 10258, 5061, 42, 584, 7753, 10537, 56, 13431, 12268, 2954, 550, 8832, 6843, 12987, 2485, 3638, 5558, 11631, 2048, 347, 3070, 12320, 9631, 2327, 3634, 4464, 7356, 64, 4522, 10785, 8598, 1315, 456, 120, 310, 6334, 13578, 1282, 9817, 2055, 2168, 4340, 11087, 601, 4539, 7477, 12396, 212, 293, 661, 2570, 495, 10888, 10078, 7834, 3436, 5082, 1006, 10368, 8030, 2146, 361, 1593, 108, 7636, 7150
 8880, 1117, 3587, 11048, 10035, 11905, 6402, 8973, 13065, 11547, 5091, 175, 6071, 1464, 6117, 5373, 251, 7389, 5339, 11832, 5330, 6399, 10778, 11493, 10654, 14915, 14611, 903, 8619, 4732, 14954, 10640, 11202, 10228, 11899, 8799, 10695, 3902, 11418, 9040, 12374, 14071, 2125, 308, 10953, 10259, 5062, 43, 585, 7775, 10561, 77, 13453, 12269, 2975, 1099, 8833, 6844, 12988, 2486, 3661, 5559, 11632, 2049, 348, 3071, 12321, 9632, 2328, 4207, 4465, 7379, 65, 4523, 10809, 8599, 1316, 457, 121, 311, 6335, 13579, 1283, 9818, 2078, 2190, 4863, 11612, 602, 4540, 7478, 12397, 213, 315, 686, 2571, 496, 10889, 10626, 7835, 3437, 5083, 1007, 10389, 8031, 2147, 362, 1594, 109, 7637, 7171
 8881, 1118, 3588, 11070, 10036, 11906, 6403, 8974, 13066, 11548, 5639, 176, 6072, 1486, 6118, 5374, 252, 7390, 5340, 11855, 5353, 6418, 10779, 11494, 10655, 14938, 14612, 904, 8620, 4755, 14955, 10641, 11203, 10229, 11921, 8800, 10696, 3903, 11440, 9041, 12948, 14094, 2148, 309, 10954, 10260, 5084, 44, 586, 7776, 10562, 78, 13454, 12289, 2976, 1100, 8858, 6845, 13010, 2487, 3662, 5582, 11633, 2050, 349, 3072, 12322, 9655, 2852, 4208, 4487, 7380, 89, 4546, 10810, 8600, 1339, 458, 122, 312, 6357, 13602, 1284, 9839, 2079, 2191, 4864, 11613, 603, 4562, 7501, 12398, 214, 316, 687, 2572, 497, 10912, 10627, 7836, 3459, 5107, 1630, 10390, 8032, 2169, 363, 1595, 110, 7638, 7172
 8882, 1139, 4159, 11071, 10037, 11907, 6404, 8975, 13067, 11549, 5640, 199, 6073, 1487, 6668, 5375, 253, 7964, 5341, 11856, 5354, 6419, 10803, 11495, 10656, 14939, 14633, 925, 8621, 4756, 14956, 10642, 11204, 10250, 11922, 8801, 10717, 3904, 11441, 9042, 12949, 14095, 2149, 330, 10976, 10282, 5085, 45, 587, 7777, 10563, 79, 13455, 12290, 2977, 1101, 8883, 6846, 13011, 2510, 3663, 5583, 11654, 2598, 350, 3073, 12323, 9656, 2853, 4232, 4488, 7903, 636, 4547, 10811, 8601, 1340, 479, 123, 313, 6358, 13603, 1285, 9840, 2080, 2192, 4865, 11635, 604, 4563, 7502, 12399, 763, 317, 688, 2592, 498, 10913, 10628, 7837, 3460, 5581, 1631, 10391, 8056, 2170, 364, 1617, 111, 7660, 7173
 8904, 1140, 4160, 11621, 10038, 11908, 6424, 8996, 13068, 11572, 5641, 200, 6074, 1488, 6669, 5376, 254, 7965, 5342, 11857, 5828, 6420, 10804, 11518, 10679, 14940, 14634, 926, 8622, 4757, 14978, 10643, 11224, 10251, 11923, 8802, 10718, 3905, 11442, 9043, 12971, 14096, 2150, 331, 10977, 10283, 5086, 46, 588, 7778, 10564, 80, 13456, 12291, 2978, 1124, 8907, 6847, 13012, 2511, 4236, 5584, 11655, 2622, 351, 3094, 12324, 9657, 2854, 4233, 4489, 7904, 637, 4548, 10834, 8623, 1863, 480, 140, 885, 6359, 13604, 1882, 9841, 2103, 2216, 4866, 11636, 626, 4564, 7503, 12421, 764, 318, 711, 2593, 519, 10914, 10651, 7856, 3461, 5606, 13506, 10392, 8057, 2171, 365, 1618, 130, 7661, 7174
 8905, 1141, 4161, 11622, 10060, 11930, 6425, 8997, 13666, 11573, 5642, 224, 6096, 1489, 6692, 5377, 255, 7966, 5343, 12379, 5830, 6421, 10805, 11519, 10680, 14941, 14635, 927, 8642, 4781, 14979, 10665, 11225, 10252, 11947, 8823, 10719, 3906, 11443, 9065, 12972, 14120, 2174, 332, 10978, 10284, 5087, 47, 607, 7800, 10565, 81, 13457, 12292, 2979, 1125, 8908, 6848, 13013, 2512, 4237, 5607, 11656, 2623, 352, 3095, 12345, 9680, 2877, 4234, 4490, 7905, 638, 5122, 10835, 8624, 1864, 481, 141, 886, 6360, 13605, 1883, 9842, 2104, 2690, 4888, 11637, 627, 4565, 7526, 12422, 788, 319, 712, 2594, 520, 10937, 10652, 7857, 3462, 5629, 14057, 10393, 8631, 2172, 366, 1619, 131, 7662, 7175
