1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
10060,8102,2520,9292,9382,11205,14,9276,2496,2979,11522,254,5502,2104,6491,8364,970,5632,409,278,1373,8110,11881,10377,8390,5076,7543,7764,3045,8,20,1,4054,1505,9194,6382,512,11958,167,9253,5737,7298,7509,11534,5594,4081,519,260,83,6265,1876,438,4434,3,8557,1890,647,318,8385,10189,288,7759,375,319,14321,1910,11620,3533,2194,5153,86,7851,7097,6747,951,258,3313,11605,3389,5294,2016,6364,7823,506,10029,147,4685,6678,3330,1977,5506,6054,134,270,6526,9523,11077,9734,7780,7912,132,1733,23,5896,1575
 10061, 8701, 3144, 9316, 9407, 11206, 15, 9301, 2497, 3003, 11546, 255, 5527, 2129, 6492, 8388, 971, 5633, 410, 301, 1397, 8111, 11882, 10378, 8990, 5078, 7567, 7789, 3070, 9, 21, 2, 4055, 1506, 9195, 6383, 513, 11982, 168, 9254, 5762, 7322, 7510, 11535, 5595, 4107, 520, 261, 84, 6266, 1877, 462, 4435, 4, 8582, 1891, 1271, 341, 8386, 10764, 289, 8358, 397, 320, 14322, 1911, 11621, 3534, 2219, 5178, 87, 7852, 7098, 6748, 952, 283, 3337, 11655, 3390, 5295, 2041, 6365, 7824, 507, 10030, 148, 4686, 7254, 3904, 2002, 5531, 6055, 135, 271, 6527, 9547, 11078, 9735, 7781, 7913, 156, 1758, 24, 5897, 1600
 10084, 8702, 3145, 9317, 9408, 11230, 16, 9846, 2498, 3603, 11547, 256, 5552, 2728, 6493, 8986, 972, 5657, 411, 302, 1398, 8112, 11883, 10379, 8991, 5099, 7568, 7790, 3645, 10, 22, 27, 4079, 2107, 9769, 6384, 514, 11983, 169, 9277, 5787, 7323, 7511, 11556, 5619, 4108, 544, 262, 85, 6288, 1878, 463, 4436, 5, 8583, 1892, 1272, 342, 8387, 10788, 290, 8359, 398, 321, 14346, 1935, 11622, 4133, 2270, 5203, 88, 7853, 7099, 6749, 953, 284, 3338, 11656, 3414, 5296, 2042, 6366, 7848, 531, 10049, 149, 4687, 7255, 3905, 2003, 5556, 6079, 159, 272, 6551, 9548, 11102, 9758, 7782, 7937, 157, 1759, 25, 5898, 2176
 10085, 8726, 3146, 9318, 9432, 11231, 17, 9847, 2499, 3604, 11548, 257, 6101, 2729, 6494, 8987, 973, 5658, 412, 303, 1399, 8709, 11884, 10402, 9015, 5100, 7569, 7815, 3669, 11, 46, 28, 4080, 2108, 9770, 6407, 515, 12006, 192, 9278, 6287, 7347, 7535, 11557, 5620, 4681, 12947, 285, 108, 6289, 1900, 464, 4437, 6, 8606, 1913, 1273, 343, 8410, 10789, 291, 8384, 399, 322, 14347, 1936, 11623, 4134, 2294, 5228, 111, 7876, 7123, 6750, 976, 308, 3339, 11680, 3415, 5319, 2043, 6389, 8370, 532, 10050, 172, 4710, 7277, 3906, 2601, 5557, 6080, 160, 295, 6552, 9549, 11103, 9759, 7783, 7938, 158, 1783, 26, 5922, 2198
 10086, 8727, 3169, 9341, 9433, 11805, 18, 9848, 2500, 3605, 11571, 279, 6102, 2753, 6516, 8988, 974, 5682, 434, 326, 1400, 8710, 11885, 10403, 9016, 5101, 7570, 7840, 3670, 12, 47, 626, 4654, 2109, 9793, 6408, 537, 12007, 193, 9279, 6312, 7897, 7536, 11559, 5643, 4682, 12948, 286, 109, 6290, 1901, 465, 4459, 7, 8607, 1914, 1296, 344, 8411, 10813, 292, 8908, 400, 323, 14348, 1937, 11624, 4135, 2295, 5253, 112, 7877, 7124, 6771, 977, 309, 3361, 11681, 3416, 5320, 2044, 6390, 8371, 556, 10051, 173, 4711, 7278, 3929, 2602, 5581, 6081, 161, 296, 6553, 10148, 11128, 9782, 7805, 7961, 180, 1784, 29, 5923, 2199
 10109, 8728, 3170, 9342, 9434, 11806, 19, 9849, 2523, 3627, 11572, 280, 6126, 2754, 6517, 8989, 975, 5683, 435, 327, 1401, 8711, 11906, 10404, 9017, 5102, 7571, 8389, 3694, 13, 10638, 627, 4655, 2110, 9794, 6409, 538, 12008, 194, 9302, 6313, 7898, 7560, 11560, 5644, 4683, 12949, 287, 110, 6291, 1902, 466, 4460, 528, 8608, 1915, 1297, 365, 8435, 10814, 313, 8932, 401, 324, 14372, 2510, 11645, 4157, 2318, 5778, 113, 7878, 7125, 6772, 978, 333, 3362, 12201, 4014, 5321, 2045, 6391, 8395, 557, 10052, 174, 4712, 7279, 3930, 2603, 5582, 6654, 184, 297, 6576, 10149, 11701, 9783, 7806, 7962, 181, 1807, 30, 6497, 2200
 10110, 8751, 3171, 9343, 9458, 11807, 39, 9850, 2524, 3628, 12121, 281, 6127, 2779, 6518, 9013, 1570, 5684, 436, 328, 1422, 8734, 11907, 10405, 9040, 5103, 7592, 8412, 3695, 33, 10639, 628, 4679, 2130, 9795, 7007, 539, 12583, 195, 9303, 6336, 7899, 8134, 11581, 5645, 4706, 12972, 310, 133, 6888, 1903, 467, 4461, 529, 9182, 1916, 1298, 366, 8436, 10815, 314, 8933, 420, 325, 14373, 2535, 11646, 4158, 2319, 5779, 114, 7901, 7126, 6773, 1001, 334, 3363, 12202, 4015, 5345, 2570, 6414, 8396, 1130, 10053, 175, 4713, 7280, 3931, 2626, 5583, 6679, 185, 298, 6577, 10150, 11702, 9784, 7807, 7963, 182, 1808, 31, 6521, 2223
 10685, 8752, 3172, 9344, 10006, 11829, 40, 9868, 3051, 3629, 12145, 282, 6151, 3328, 6519, 9014, 1571, 5685, 437, 329, 1423, 8735, 11908, 10976, 9041, 5128, 7593, 8413, 4269, 34, 10640, 651, 4680, 2131, 9818, 7008, 540, 12584, 196, 9304, 6337, 7921, 8135, 11582, 5646, 4707, 12973, 311, 682, 6889, 1904, 468, 4462, 530, 9183, 1938, 1322, 367, 9010, 10838, 315, 8957, 421, 345, 14946, 2536, 11647, 4159, 2817, 5802, 136, 7902, 7149, 6774, 1002, 358, 3364, 12203, 4038, 5346, 2590, 6415, 8397, 1131, 10054, 176, 4714, 7281, 3932, 2627, 5606, 6680, 186, 299, 6578, 10151, 11703, 10358, 7808, 7964, 183, 1809, 32, 6522, 2224
 10686, 8753, 3195, 9365, 10007, 11830, 41, 9869, 3052, 3630, 12146, 304, 6152, 3329, 6520, 9588, 1572, 5707, 459, 351, 1424, 8736, 11909, 10977, 9042, 5628, 7594, 8414, 4270, 35, 10663, 652, 4704, 2132, 9819, 7009, 541, 12606, 217, 9328, 6338, 7922, 8136, 11584, 5671, 4708, 13569, 312, 683, 6890, 1925, 487, 4463, 552, 9206, 1939, 1323, 368, 9011, 10839, 316, 8958, 422, 346, 14947, 2559, 11648, 4160, 2818, 5803, 137, 7926, 7150, 6775, 1003, 359, 3386, 12204, 4039, 5919, 2591, 6416, 8420, 1132, 10055, 197, 4735, 7302, 3954, 2628, 5607, 6681, 208, 896, 6602, 10172, 11726, 10359, 7830, 7986, 205, 1832, 48, 6523, 2225
 10687, 8776, 3196, 9366, 10008, 11831, 42, 9870, 3071, 3653, 12147, 305, 6153, 3353, 6541, 9589, 1573, 5708, 460, 352, 1425, 8737, 11910, 10978, 9043, 5629, 7595, 8415, 4271, 36, 10664, 653, 4705, 2133, 9820, 7032, 563, 12607, 218, 9329, 6361, 7923, 8137, 11585, 6169, 4709, 13570, 335, 684, 6891, 1926, 488, 4485, 553, 9207, 2491, 1347, 369, 9012, 11388, 317, 8959, 423, 347, 14971, 2560, 11649, 4161, 2819, 5804, 138, 8476, 7151, 6797, 1004, 383, 3387, 12205, 4040, 5920, 2592, 6965, 8421, 1133, 10056, 198, 4736, 7303, 3955, 2652, 5608, 6703, 209, 920, 6603, 10173, 11727, 10360, 7831, 7987, 206, 1833, 49, 6524, 2248
