1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
7728,8,6913,3302,854,2466,365,9344,2056,3493,333,10096,1982,7405,10514,380,3896,9673,9233,108,4615,1515,1893,7755,1801,183,190,1957,8248,3,6806,6898,326,4645,6116,7882,1111,341,7076,4772,13201,13704,176,3343,6381,8909,2123,78,498,12305,1343,5476,3719,106,1611,5494,578,93,7314,1476,6576,5285,262,3663,5839,2205,451,11589,10453,7769,7591,6303,7167,10320,12361,8747,5636,3792,12502,297,4170,7019,1,381,4,4139,9611,369,3164,7635,410,5702,2045,14313,2231,2040,144
 7729, 9, 6914, 3303, 1453, 3064, 388, 9345, 2057, 3518, 334, 10097, 1983, 7406, 10515, 403, 4497, 9698, 9257, 109, 4639, 1516, 1918, 7756, 2401, 184, 191, 2507, 8872, 28, 6807, 6899, 351, 4646, 6140, 7905, 1112, 342, 7077, 5373, 13202, 13705, 177, 3368, 6405, 9509, 2124, 79, 499, 12329, 1368, 5477, 4319, 107, 2211, 5519, 579, 94, 7315, 1501, 7126, 5286, 263, 3686, 5840, 2228, 476, 11590, 10478, 7770, 7592, 6304, 7168, 10343, 12959, 8748, 6157, 4392, 12503, 298, 4171, 7020, 2, 406, 5, 4711, 10187, 370, 3165, 7659, 411, 5726, 2046, 14314, 2232, 2065, 145
 8352, 10, 6938, 3901, 1454, 3065, 389, 9369, 2058, 3519, 335, 10696, 2006, 7430, 10516, 404, 4498, 9699, 9258, 110, 4640, 1540, 1943, 7757, 2402, 185, 214, 2508, 8873, 628, 6808, 6923, 352, 4670, 6141, 7906, 1136, 343, 7101, 5374, 13226, 13729, 178, 3369, 6406, 9510, 2145, 80, 500, 12330, 1392, 5502, 4320, 131, 2212, 6092, 603, 118, 7338, 1502, 7127, 5310, 264, 3687, 5841, 2229, 477, 11591, 11053, 7771, 7593, 6328, 7190, 10344, 12960, 8749, 6158, 4393, 12504, 299, 4195, 7043, 19, 407, 6, 4712, 10211, 394, 3166, 7660, 412, 5727, 2047, 14315, 2233, 2066, 167
 8353, 11, 7513, 3902, 1455, 3066, 390, 9370, 2059, 4117, 358, 10721, 2007, 7480, 10537, 405, 4520, 9723, 9259, 111, 4665, 1541, 2517, 7758, 2426, 186, 215, 2509, 8874, 629, 6831, 6924, 353, 4671, 6164, 7907, 1634, 366, 7102, 5396, 13227, 14304, 179, 3393, 6429, 9534, 2146, 103, 522, 12354, 1393, 6076, 4321, 132, 2213, 6117, 604, 119, 7339, 1525, 7128, 5311, 265, 3688, 5863, 2230, 501, 11613, 11054, 7794, 7594, 6329, 7191, 10345, 12961, 8750, 6159, 4416, 12505, 300, 4196, 7044, 20, 430, 7, 4713, 10212, 395, 3188, 7684, 413, 5728, 2070, 14338, 2256, 2615, 168
 8354, 12, 7514, 3903, 1478, 3067, 391, 9892, 2081, 4118, 359, 10722, 2008, 7507, 10538, 427, 4521, 9724, 9260, 112, 4689, 1542, 2518, 7759, 2427, 208, 216, 2532, 8896, 630, 6832, 6925, 376, 4695, 6165, 7930, 1635, 367, 7125, 5397, 13228, 14328, 180, 3394, 6430, 9535, 2147, 104, 523, 12355, 1417, 6077, 4344, 133, 2235, 6118, 1178, 142, 7363, 1526, 7151, 5885, 286, 3711, 5864, 2252, 502, 11614, 11078, 7795, 7595, 6354, 7192, 10346, 12983, 8771, 6160, 4417, 12527, 320, 4219, 7045, 21, 431, 29, 4714, 10213, 396, 3189, 7685, 434, 5751, 2071, 14339, 2257, 2616, 169
 8953, 13, 7515, 3926, 1479, 3090, 414, 9893, 2082, 4119, 360, 10723, 2009, 7508, 10539, 428, 4522, 10248, 9283, 113, 4690, 1565, 2519, 7760, 2451, 209, 239, 2533, 8897, 631, 6833, 6948, 377, 4696, 6166, 7931, 1636, 368, 7150, 5398, 13251, 14329, 181, 3418, 6431, 9536, 2148, 105, 524, 12379, 1418, 6101, 4345, 156, 2236, 6119, 1202, 143, 7860, 1527, 7152, 5886, 287, 3712, 6437, 2253, 526, 11615, 11103, 7796, 7596, 6355, 7193, 10367, 12984, 8772, 6182, 4418, 12528, 321, 4220, 7068, 22, 432, 30, 4735, 10236, 397, 3190, 7710, 435, 5752, 2072, 14340, 2258, 2617, 170
 8954, 14, 7538, 3927, 1480, 3091, 415, 9917, 2083, 4120, 361, 10724, 2031, 8004, 10540, 429, 4523, 10249, 9284, 114, 4715, 1566, 2520, 7780, 2452, 210, 240, 2534, 8898, 653, 6857, 6949, 378, 4720, 6691, 7932, 1659, 392, 7175, 5421, 13252, 14330, 182, 3419, 7007, 9558, 2149, 128, 525, 12929, 1968, 6102, 4346, 157, 2237, 6142, 1203, 718, 7861, 1550, 7153, 5909, 288, 3713, 6438, 2254, 527, 11616, 11654, 7819, 7616, 6380, 7214, 10368, 12985, 8773, 6183, 4442, 12529, 322, 4795, 7069, 23, 433, 31, 4736, 10237, 417, 3191, 8260, 436, 5753, 2073, 14364, 2280, 2638, 172
 8955, 15, 7539, 3928, 1503, 3092, 416, 9918, 2106, 4142, 382, 10745, 2032, 8005, 10564, 452, 4524, 10272, 9285, 134, 4740, 1567, 2542, 7781, 2477, 211, 815, 2557, 8899, 654, 6858, 6950, 379, 4721, 6715, 7933, 1660, 393, 7676, 5422, 13253, 14353, 201, 3443, 7030, 9559, 2170, 129, 546, 12930, 1992, 6103, 4894, 731, 2238, 6143, 1204, 743, 7862, 1551, 7176, 5910, 289, 3736, 6439, 2255, 551, 11638, 11678, 7820, 7617, 6877, 7215, 10369, 12986, 8774, 6184, 4467, 12530, 323, 4796, 7070, 24, 454, 32, 4737, 10238, 418, 3213, 8261, 437, 6326, 2095, 14365, 2281, 2639, 192
 8977, 16, 7540, 3950, 1504, 3116, 439, 9919, 2107, 4143, 383, 10746, 2033, 8006, 11138, 453, 4544, 10273, 9286, 135, 5239, 2090, 2543, 7782, 2502, 212, 816, 2558, 8922, 655, 6883, 6975, 401, 4745, 6716, 7955, 1661, 967, 7700, 5423, 13802, 14354, 202, 3444, 7031, 9560, 2171, 130, 547, 12954, 1993, 6125, 4919, 732, 2836, 6144, 1205, 744, 7863, 1552, 7177, 5911, 290, 3737, 6440, 2276, 552, 11639, 11679, 7821, 7618, 6878, 7216, 10370, 13009, 8775, 6185, 5016, 12554, 324, 4797, 7093, 25, 455, 54, 4738, 10261, 419, 3214, 8284, 438, 6327, 2096, 14938, 2282, 2640, 193
 8978, 17, 7562, 3951, 1505, 3117, 440, 9943, 2108, 4144, 384, 10747, 2034, 8007, 11139, 1005, 4545, 10274, 9309, 136, 5240, 2091, 2544, 7783, 3026, 233, 839, 2559, 8923, 656, 7431, 7522, 402, 4746, 6739, 7956, 1685, 968, 7701, 5447, 13826, 14929, 203, 3468, 7032, 9561, 2172, 153, 548, 12955, 1994, 6126, 4920, 756, 2837, 6145, 1228, 768, 7884, 1553, 7178, 5912, 311, 3738, 6441, 2277, 576, 11640, 11702, 7822, 7619, 6879, 7217, 10371, 13010, 8796, 6186, 5017, 13126, 325, 4820, 7094, 26, 456, 55, 4739, 10262, 420, 3215, 8285, 459, 6351, 2097, 14939, 2283, 2641, 194
