1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
5258,8831,579,5420,9134,8868,4404,2473,376,369,4799,8335,3337,4400,8,18,976,1,13246,12876,3233,6654,11651,7769,243,3522,3610,1776,5686,414,8467,3423,292,4243,7139,8666,387,8244,694,10526,5751,309,152,3139,10243,12880,767,176,1125,8232,343,33,6897,3,5112,4833,1475,9589,8534,7362,2243,81,3489,6473,9763,6811,867,451,7576,483,12,13628,11391,13,94,11452,524,9567,5304,304,58,6681,5809,6362,1821,7915,2808
 5259, 8832, 580, 5421, 9708, 8869, 4426, 2474, 377, 394, 4823, 8336, 3338, 4425, 9, 19, 1601, 2, 13247, 12901, 3234, 6679, 11652, 7794, 244, 3547, 3611, 1801, 5710, 439, 8468, 3448, 315, 4268, 7736, 8691, 388, 8245, 743, 10527, 5776, 310, 153, 3140, 10244, 12881, 792, 177, 1724, 8233, 14067, 632, 6922, 4, 5113, 4858, 1500, 9590, 8535, 7363, 2244, 104, 3514, 6474, 10361, 6812, 892, 452, 7577, 484, 16, 13629, 11966, 14, 95, 12050, 525, 9568, 5328, 305, 82, 6682, 5833, 6385, 1846, 7916, 2833
 5280, 8854, 604, 5970, 9709, 8870, 4427, 2475, 378, 395, 4824, 8337, 3362, 4449, 10, 20, 1602, 21, 13248, 13501, 3235, 6680, 11653, 7795, 245, 4122, 3635, 1802, 5711, 440, 8492, 3449, 316, 4292, 7737, 8715, 411, 8268, 768, 10528, 5800, 884, 751, 3141, 10245, 12905, 817, 178, 1725, 8234, 14068, 633, 7521, 5, 5114, 5457, 1501, 9591, 8559, 7387, 2268, 105, 4087, 6498, 10362, 6836, 1491, 453, 7602, 507, 17, 13630, 11967, 15, 96, 12051, 526, 9569, 5329, 306, 83, 6683, 5834, 6386, 2371, 7917, 3432
 5281, 8855, 605, 5971, 9710, 8893, 4428, 2498, 401, 418, 4848, 8338, 3363, 4450, 11, 43, 1626, 22, 13271, 13502, 3259, 7277, 11676, 7818, 246, 4146, 3636, 1826, 5736, 441, 8493, 3474, 317, 4293, 7738, 8716, 412, 8269, 1268, 10551, 5801, 885, 752, 3164, 10319, 12906, 818, 201, 1748, 8857, 14092, 634, 7522, 6, 5137, 5458, 1525, 9614, 8560, 7388, 2269, 106, 4088, 6522, 10386, 6885, 1492, 454, 8176, 508, 36, 13631, 11990, 39, 97, 12052, 547, 9570, 5826, 307, 84, 6684, 6358, 6410, 2395, 7940, 3433
 5283, 8856, 606, 5994, 9732, 8895, 4429, 2499, 402, 419, 4849, 8360, 3962, 4474, 34, 44, 1627, 23, 13272, 13503, 3260, 7278, 11677, 7819, 247, 4147, 3661, 1827, 6310, 442, 9092, 3475, 339, 4317, 7739, 8717, 413, 8270, 1269, 10552, 5824, 906, 753, 3165, 10322, 12907, 842, 202, 1749, 8858, 14093, 658, 7523, 7, 5138, 5459, 2075, 9615, 8561, 7389, 2293, 128, 4089, 6523, 10387, 6886, 1515, 455, 8177, 509, 37, 13652, 11991, 589, 118, 12075, 548, 9592, 5850, 308, 85, 6706, 6383, 6411, 2420, 7941, 3457
 5284, 8879, 1180, 5995, 9733, 8896, 5003, 2500, 403, 420, 4874, 8361, 3963, 4475, 35, 69, 2201, 24, 13273, 13526, 3858, 7279, 11678, 7820, 248, 4148, 4211, 1828, 6311, 463, 9093, 3499, 340, 4820, 7740, 8740, 436, 8271, 1270, 10553, 5825, 907, 776, 3166, 10345, 12930, 843, 203, 1750, 8859, 14094, 659, 7524, 28, 5139, 5460, 2076, 9616, 8584, 7962, 2294, 129, 4112, 6547, 10388, 6887, 1516, 476, 8201, 532, 38, 13653, 11992, 613, 119, 12076, 549, 9593, 5851, 326, 86, 6707, 6407, 6987, 2445, 7942, 3458
 5305, 8880, 1181, 5996, 9734, 9493, 5004, 3098, 404, 421, 5423, 8362, 3964, 4499, 485, 544, 2202, 25, 13274, 13527, 3859, 7280, 12252, 8368, 249, 4172, 4235, 1851, 6312, 464, 9094, 4048, 341, 4842, 7761, 8741, 437, 8293, 1271, 10554, 6351, 908, 777, 3189, 10346, 12931, 844, 226, 1772, 8882, 14117, 683, 7525, 29, 5140, 5482, 2077, 9638, 8585, 7987, 2295, 130, 4113, 6548, 10411, 7412, 1517, 477, 8202, 533, 40, 13654, 11993, 614, 120, 12077, 550, 9594, 5852, 327, 107, 6708, 6408, 7010, 2446, 7964, 3459
 5306, 8881, 1182, 5997, 9735, 9494, 5005, 3099, 426, 422, 5424, 8384, 3987, 4500, 486, 545, 2226, 26, 13297, 13528, 3860, 7302, 12276, 8369, 250, 4173, 4236, 1852, 6334, 465, 9116, 4072, 342, 4843, 7762, 8742, 438, 8294, 1272, 10555, 6352, 909, 778, 3190, 10347, 12932, 868, 227, 1773, 8883, 14118, 1183, 7546, 30, 5161, 5483, 2099, 9639, 8586, 7988, 2319, 131, 4114, 7073, 10412, 7413, 1518, 478, 8203, 534, 41, 13655, 12015, 1289, 121, 12078, 551, 10192, 5853, 328, 108, 6709, 6409, 7011, 2470, 7965, 4032
 5859, 9405, 1204, 5998, 9757, 9495, 5026, 3100, 427, 443, 5425, 8385, 3988, 4525, 510, 567, 2227, 27, 13846, 13551, 3861, 7303, 12277, 8393, 268, 4746, 4237, 1853, 6335, 466, 9117, 4073, 363, 4844, 7763, 8743, 460, 8295, 1293, 10576, 6376, 910, 829, 3191, 10868, 12933, 1390, 228, 1774, 8884, 14668, 1184, 7547, 31, 5162, 5484, 2100, 9640, 8609, 7989, 2841, 154, 4115, 7097, 10413, 7414, 1540, 479, 8226, 556, 42, 13656, 12016, 1313, 122, 12100, 552, 10193, 5854, 329, 109, 6710, 6432, 7012, 2471, 7966, 4033
 5881, 9406, 1205, 6019, 9758, 9496, 5027, 3123, 428, 444, 5447, 8386, 3989, 5024, 511, 568, 2251, 45, 13847, 14126, 3883, 7304, 12278, 8394, 269, 4747, 4260, 2301, 6336, 467, 9118, 4074, 364, 4845, 7764, 8766, 461, 8296, 1294, 10577, 6377, 911, 854, 3214, 10869, 12956, 1391, 229, 1775, 8885, 14692, 1208, 7548, 32, 5163, 5485, 2101, 9641, 8610, 8012, 2842, 155, 4137, 7098, 10987, 7436, 1541, 480, 8227, 557, 59, 13678, 12017, 1314, 123, 12101, 572, 10194, 5874, 330, 110, 6731, 6433, 7013, 2472, 7967, 4057
