1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
4758,567,8,133,6,6620,10184,11554,454,8160,301,11943,10558,498,320,11892,4208,2190,87,8439,4687,2140,4438,11684,371,6955,2328,19,13694,8566,786,489,4837,8147,7976,4763,4440,281,2568,8469,246,3416,8297,3673,544,13047,14029,644,12217,7467,9439,14119,5752,12056,5463,12087,5015,10054,3264,11958,13,1823,6502,282,13854,495,790,1876,11434,10874,5083,5392,190,210,7701,2724,9639,460,4191,4126,7515,2770,151,297,1351,6952,8475,401,1,5158,13428,9830,9524,12322,2007,104
 4783, 568, 9, 134, 7, 6645, 10185, 11555, 455, 8161, 302, 11967, 10582, 499, 343, 11893, 4209, 2191, 88, 8440, 4712, 2714, 4439, 11685, 13471, 6956, 2329, 20, 13695, 9117, 1409, 490, 4862, 8148, 7977, 4788, 4465, 906, 2569, 8470, 247, 3417, 8298, 3674, 545, 13648, 14030, 645, 12218, 7468, 9440, 14120, 5777, 12057, 5464, 12112, 5016, 10055, 3265, 11983, 14, 1824, 6503, 283, 13855, 520, 791, 1898, 11435, 10875, 5084, 5393, 191, 211, 7702, 2725, 9640, 12884, 4192, 4127, 7516, 2771, 176, 298, 1951, 7501, 8499, 402, 2, 5180, 13429, 10428, 9549, 12323, 2008, 105
 5256, 591, 10, 158, 31, 6646, 10207, 11556, 456, 8162, 303, 11968, 10583, 500, 344, 11894, 4233, 2215, 110, 8441, 4737, 2738, 5011, 11709, 13472, 6980, 2330, 21, 14319, 9138, 1410, 491, 4886, 8149, 7978, 5387, 4491, 907, 2570, 8471, 248, 3439, 8897, 3697, 546, 13672, 14031, 1269, 12219, 7469, 9441, 14143, 5778, 12080, 5465, 12686, 5017, 10079, 3266, 12008, 15, 1847, 6527, 284, 13879, 521, 792, 1899, 11459, 11476, 5085, 5967, 192, 212, 7727, 2747, 9641, 12909, 4214, 4128, 7517, 2772, 200, 321, 1952, 7502, 8524, 422, 3, 5181, 13430, 10429, 9550, 12325, 2032, 106
 5257, 592, 11, 159, 32, 6670, 10208, 11579, 457, 8163, 304, 11992, 10584, 523, 345, 11895, 4234, 2240, 111, 8442, 5312, 2739, 5012, 11710, 13496, 6981, 2352, 22, 14320, 9139, 1411, 512, 4887, 8172, 8000, 5388, 4492, 908, 2571, 8494, 271, 3440, 8921, 3698, 547, 13696, 14032, 1270, 12243, 7470, 9463, 14144, 5779, 12081, 5488, 12687, 5615, 10654, 3288, 12033, 16, 1848, 6528, 285, 13880, 522, 814, 1900, 11460, 11498, 5086, 5968, 215, 213, 7728, 2748, 9642, 12911, 4215, 4129, 7518, 2794, 201, 322, 1953, 7503, 9024, 423, 4, 5182, 13431, 10430, 9575, 12347, 2033, 127
 5258, 593, 12, 160, 56, 6671, 10209, 11580, 458, 8759, 305, 11993, 10606, 524, 367, 11896, 4235, 2814, 112, 8464, 5313, 2740, 5013, 11711, 13497, 7054, 2353, 43, 14344, 9140, 1412, 513, 4911, 8173, 8001, 5389, 4517, 909, 2592, 8495, 272, 3441, 8922, 3699, 569, 13697, 14033, 1271, 12244, 8042, 9464, 14717, 5803, 12082, 5489, 12688, 5616, 10678, 3289, 12558, 17, 1849, 7126, 286, 13904, 12396, 815, 1901, 11461, 11499, 5109, 5992, 216, 214, 8326, 2749, 9643, 13508, 4216, 4130, 7519, 2795, 202, 323, 1954, 7526, 9048, 424, 5, 5183, 13432, 10454, 10098, 12348, 2057, 128
 5259, 618, 33, 183, 57, 7245, 10210, 11581, 479, 8760, 325, 12017, 10607, 525, 368, 11917, 4808, 2815, 113, 8465, 5314, 2763, 5014, 11734, 13520, 7079, 2354, 44, 14345, 9141, 1413, 514, 5460, 8622, 8002, 5412, 5018, 910, 2593, 8496, 273, 3442, 8923, 3721, 570, 13722, 14053, 1293, 12817, 8043, 9465, 14718, 6351, 12104, 5490, 12710, 5617, 10679, 3290, 12559, 18, 2448, 7127, 287, 13905, 12946, 816, 1902, 11485, 11500, 5110, 5993, 217, 235, 8327, 2750, 9663, 13509, 4217, 4151, 7520, 2796, 224, 324, 1976, 7527, 9049, 425, 23, 5184, 13453, 10455, 10099, 12349, 2058, 129
 5281, 13066, 34, 184, 81, 7246, 10231, 11582, 480, 8761, 326, 12541, 10608, 548, 369, 11918, 4809, 2816, 114, 8466, 5337, 2764, 5036, 11735, 13521, 7556, 2355, 45, 14346, 9142, 1435, 515, 5461, 8623, 8003, 5413, 5040, 931, 2594, 8497, 296, 4041, 8945, 3722, 571, 14272, 14054, 1294, 12818, 8044, 9466, 14719, 6352, 12105, 5491, 12711, 5640, 10680, 3864, 12582, 38, 2449, 7128, 288, 14454, 12970, 817, 1903, 12058, 11501, 5634, 5994, 218, 236, 8328, 2773, 9664, 13510, 4218, 4152, 7521, 2797, 225, 346, 1977, 7528, 9050, 426, 24, 5208, 13454, 10456, 10123, 12350, 2082, 130
 5282, 13091, 35, 185, 631, 7270, 10232, 11604, 481, 8762, 327, 12566, 10609, 549, 370, 11919, 4833, 2817, 135, 9039, 5338, 2765, 5037, 11736, 13522, 7580, 2376, 46, 14369, 9163, 1436, 516, 5462, 8647, 8004, 5414, 5041, 932, 2595, 8519, 847, 4042, 8946, 3723, 572, 14273, 14055, 1295, 12819, 8045, 9467, 14741, 6353, 12106, 5514, 12712, 5641, 10703, 3865, 12583, 39, 2450, 7151, 289, 14455, 12971, 818, 1904, 12059, 11523, 5635, 6016, 219, 237, 8351, 2774, 9665, 13511, 4240, 4153, 7541, 2798, 226, 347, 1978, 7529, 9051, 427, 25, 5756, 13455, 10457, 10124, 12372, 2083, 131
 5283, 13666, 36, 186, 681, 7271, 10233, 11605, 482, 8763, 328, 12567, 11182, 1123, 391, 11920, 4834, 2839, 136, 9040, 5339, 2766, 5038, 11759, 13546, 7581, 2377, 47, 14370, 9164, 1437, 517, 5485, 8648, 8025, 5437, 5042, 933, 2596, 8520, 870, 4064, 8947, 3745, 594, 14296, 14056, 1296, 12842, 8046, 9489, 14742, 6376, 12679, 5515, 12713, 5642, 10704, 3887, 12584, 40, 2472, 7152, 306, 14456, 12995, 840, 1905, 12083, 11524, 5658, 6017, 220, 238, 8352, 2775, 9666, 13533, 4241, 4154, 7542, 2822, 227, 348, 1979, 7530, 9072, 428, 26, 5757, 13456, 10480, 10125, 12373, 2631, 132
 5284, 13667, 37, 207, 10006, 7295, 10234, 11606, 483, 8783, 329, 12568, 11183, 1124, 392, 11921, 4835, 2840, 137, 9063, 5362, 2789, 5039, 11760, 14071, 7604, 2378, 48, 14371, 9165, 1438, 537, 5486, 8672, 8026, 5438, 5043, 934, 3143, 8521, 871, 4065, 8948, 3746, 595, 14297, 14057, 1894, 12843, 8065, 9490, 14743, 6377, 12680, 6088, 12736, 6215, 10705, 3888, 12607, 41, 2473, 7153, 307, 14479, 12996, 841, 1923, 12084, 11525, 5659, 6018, 240, 239, 8353, 3348, 9667, 13534, 4242, 4155, 7543, 3347, 228, 349, 2001, 7551, 9073, 429, 27, 5758, 13457, 10481, 10148, 12374, 2632, 152
 5285, 13689, 58, 208, 10630, 7296, 10235, 11607, 484, 8784, 330, 12591, 11184, 1125, 393, 11944, 4858, 2841, 138, 9064, 5363, 2790, 5062, 11761, 14072, 7605, 2379, 68, 14944, 9166, 2034, 538, 5487, 8673, 8027, 6012, 5065, 955, 3144, 8522, 872, 4066, 8949, 3747, 596, 14298, 14058, 1895, 12844, 8066, 9491, 14744, 6378, 12681, 6089, 12737, 6240, 10729, 3889, 12608, 42, 2474, 7176, 308, 14480, 13019, 842, 1924, 12085, 12100, 5660, 6019, 241, 260, 8376, 3349, 10215, 13535, 4243, 4175, 7544, 3370, 249, 350, 2002, 7552, 9074, 447, 28, 5759, 13458, 10482, 10149, 12375, 2633, 153
