1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
1407,6,11632,7280,2092,98,6285,3018,9086,426,649,3131,4235,7018,6797,4376,755,7705,56,5222,1985,4439,135,11271,6465,7813,2875,1,3919,549,1507,8000,7445,7300,9846,2815,5629,12272,403,12562,209,314,576,7609,4127,9378,10322,12754,2139,8592,1991,10282,1363,379,316,279,138,11129,501,7872,1483,7626,7537,2852,7661,10301,4208,4806,4729,4605,1563,4301,2312,7294,520,10845,406,7369,4069,1674,10013,15,13689,192,327,13078,8056,5528,13582,517,916,205,3177
 1408, 7, 11633, 7828, 2116, 99, 6286, 3019, 9087, 451, 674, 3132, 4262, 7019, 7371, 4400, 1329, 7706, 57, 5223, 1986, 4467, 136, 11272, 6489, 7814, 3451, 2, 3943, 550, 2106, 8025, 7470, 7876, 9870, 2816, 5630, 12273, 405, 12563, 210, 315, 577, 7635, 4128, 9403, 10323, 12778, 2140, 8616, 2016, 10283, 1364, 404, 317, 280, 139, 11154, 502, 7873, 1484, 7646, 8134, 2853, 7662, 10326, 4233, 4831, 4754, 4606, 1588, 4302, 2313, 7792, 521, 10870, 407, 7370, 4070, 1697, 10014, 16, 13713, 193, 328, 13079, 8057, 5550, 13583, 518, 939, 206, 3202
 1431, 8, 11658, 7829, 2117, 100, 6287, 3041, 9685, 475, 1272, 3133, 4288, 7020, 7372, 4425, 1354, 7707, 58, 5224, 2009, 4468, 137, 11296, 6490, 7815, 3452, 3, 3944, 574, 2107, 8601, 8069, 7898, 9871, 2817, 5655, 12296, 427, 12564, 211, 336, 14301, 7636, 4151, 9427, 10347, 12779, 2165, 8617, 2017, 10284, 1387, 429, 318, 281, 140, 11728, 503, 7897, 1508, 7647, 8135, 2854, 7685, 10926, 4808, 4832, 5353, 4607, 1589, 4303, 2314, 7793, 522, 10871, 432, 7395, 4071, 1698, 10015, 17, 13714, 194, 351, 13080, 8058, 5553, 13608, 519, 940, 230, 3776
 1432, 9, 11659, 7830, 2118, 101, 6310, 3042, 9686, 476, 1273, 3156, 4289, 7618, 7373, 4449, 1355, 7730, 59, 5225, 2010, 5014, 156, 11297, 6491, 7838, 3474, 4, 4493, 575, 2130, 8624, 8070, 7899, 9872, 2818, 5656, 12297, 428, 12587, 234, 337, 14326, 7660, 4152, 9428, 10348, 12803, 2739, 8618, 2018, 10308, 1388, 13554, 319, 282, 163, 11729, 504, 8472, 1509, 7648, 8136, 2855, 7686, 10927, 4833, 4856, 5354, 4629, 1612, 4326, 2315, 7794, 523, 10896, 433, 7969, 4669, 1722, 10016, 18, 14313, 195, 352, 13103, 8059, 5554, 14182, 542, 941, 231, 3777
 2008, 10, 12257, 7853, 2141, 102, 6311, 3043, 9687, 499, 1274, 3157, 4834, 7619, 7374, 4450, 1380, 7731, 81, 5247, 2011, 5039, 157, 11321, 6514, 7839, 3475, 5, 4494, 599, 2131, 8625, 8071, 7900, 9895, 2819, 5681, 12298, 430, 12588, 235, 338, 14327, 8207, 4153, 10001, 10349, 12804, 2740, 8642, 2041, 10309, 1389, 13555, 320, 304, 164, 11753, 505, 8473, 2035, 7649, 8137, 2856, 7687, 10951, 4858, 4857, 5355, 4630, 1613, 4327, 2316, 7795, 545, 10897, 1005, 7970, 4670, 1723, 10017, 19, 14314, 217, 353, 13104, 8081, 5575, 14207, 543, 942, 232, 3778
 2032, 11, 12258, 7854, 2142, 122, 6312, 3044, 9688, 500, 1297, 3158, 4835, 7642, 7375, 4474, 1405, 7732, 82, 5248, 2584, 5064, 158, 11322, 6515, 7840, 3476, 24, 4518, 600, 2132, 8626, 8094, 7901, 9896, 2840, 6230, 12299, 431, 12589, 236, 339, 14351, 8208, 4176, 10002, 10946, 12805, 2764, 8643, 2042, 10334, 1390, 13556, 321, 305, 165, 11754, 506, 8497, 2036, 7650, 8158, 2878, 7688, 10952, 4883, 4881, 5378, 4631, 1614, 4328, 2337, 7816, 546, 10922, 1006, 7994, 4671, 1746, 10038, 20, 14315, 218, 376, 13105, 8082, 5603, 14208, 544, 965, 255, 3779
 2033, 12, 12259, 7855, 2143, 123, 6335, 3045, 9689, 524, 1298, 3159, 4836, 7643, 7396, 4975, 1406, 7754, 83, 5249, 2585, 5065, 159, 11896, 6516, 8437, 3477, 25, 4519, 624, 2133, 8650, 8095, 7922, 10446, 2841, 6254, 12320, 452, 12590, 259, 340, 14352, 8209, 4177, 10003, 10947, 12828, 2765, 9215, 2043, 10906, 1415, 14129, 322, 306, 166, 11755, 526, 8498, 2059, 7651, 8159, 2879, 7711, 10975, 5432, 4882, 5379, 4632, 1638, 4351, 2338, 7817, 547, 10923, 1007, 7995, 4694, 1747, 10039, 21, 14338, 219, 377, 13129, 8083, 5604, 14209, 567, 966, 256, 3780
 2034, 13, 12282, 7856, 2167, 124, 6336, 3066, 9710, 525, 1299, 3182, 4859, 7644, 7397, 5000, 1430, 7755, 84, 5797, 2586, 5066, 160, 11897, 6541, 8438, 3500, 26, 4520, 625, 2155, 8651, 8096, 7923, 10470, 2842, 6255, 12321, 453, 12613, 260, 361, 14926, 8232, 4752, 10004, 10948, 12829, 2766, 9216, 2066, 10907, 1416, 14153, 323, 307, 188, 11756, 527, 8499, 2060, 7671, 8160, 2880, 7712, 10976, 5433, 5431, 5380, 4633, 1639, 4352, 2339, 7818, 548, 11419, 1008, 8019, 4695, 2247, 10040, 22, 14339, 220, 378, 13130, 8084, 5627, 14232, 568, 1540, 831, 3801
 2056, 14, 12283, 7857, 2168, 125, 6885, 3067, 9711, 1051, 1300, 3183, 4860, 7645, 7398, 5001, 1930, 7756, 85, 5798, 2587, 5067, 161, 11898, 7089, 8439, 4026, 27, 4542, 626, 2156, 8674, 8120, 7924, 10471, 2843, 6256, 12322, 454, 12614, 261, 362, 14927, 8233, 4753, 10026, 10971, 12830, 2790, 9217, 2067, 10908, 1987, 14154, 341, 308, 189, 11778, 528, 8521, 2061, 7672, 8161, 2881, 7713, 10977, 5458, 5455, 5404, 4634, 2163, 4353, 2340, 7819, 570, 11420, 1009, 8020, 4696, 2248, 10041, 23, 14340, 221, 401, 13131, 8085, 5628, 14233, 569, 1541, 855, 3802
 2057, 31, 12284, 7858, 2693, 126, 6886, 3068, 9712, 1075, 1322, 3184, 4861, 7667, 7399, 5002, 1953, 8306, 105, 5799, 2608, 5068, 162, 11921, 7090, 8440, 4027, 28, 4543, 627, 2157, 8675, 8694, 7925, 10472, 2844, 6279, 12323, 455, 12615, 807, 363, 14951, 8234, 4776, 10027, 10972, 12854, 2791, 9218, 2590, 10909, 1988, 14155, 342, 309, 190, 11779, 529, 8522, 2062, 7673, 8162, 2905, 7714, 10978, 5483, 5456, 5405, 4654, 2164, 4901, 2341, 7820, 571, 11421, 1031, 8594, 4719, 2249, 10589, 40, 14363, 242, 402, 13703, 8107, 6126, 14234, 1118, 1564, 856, 3803
