1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
7143,9125,464,3896,1674,4853,810,1272,4122,2012,693,8914,474,6027,3326,2686,177,14238,6326,6264,485,8494,8697,501,7784,12509,13860,78,360,143,5981,10358,9282,251,5649,9,11531,120,440,185,374,2318,3128,10176,4570,844,2722,967,10416,8765,7082,8760,8833,10484,50,5632,3351,2205,6134,12208,5491,12037,306,17,6738,6269,7690,11063,5796,401,427,191,317,51,1434,10560,9636,2885,4542,8019,2513,4141,12346,6351,6376,10297,5100,12869,6624,7016,6540,8566,395,11914,8862,833,1116,9017,8915,342,537,4445,1
 7144, 9126, 1039, 3920, 1675, 4878, 811, 1273, 4722, 2013, 694, 8938, 475, 6601, 3327, 3311, 178, 14239, 6926, 6265, 486, 8495, 8698, 502, 7785, 12510, 13861, 79, 361, 144, 6006, 10383, 9283, 252, 5650, 10, 11555, 121, 441, 186, 375, 2343, 3129, 10177, 4594, 845, 2723, 968, 10417, 8766, 7083, 8761, 9432, 10485, 73, 5633, 3352, 2206, 6707, 12209, 5516, 12038, 307, 18, 6739, 6270, 7691, 11064, 5797, 426, 428, 216, 870, 77, 1931, 11184, 9637, 3484, 4543, 8020, 2514, 4741, 12371, 6352, 6377, 10322, 5674, 12870, 6625, 7017, 6541, 8567, 396, 11915, 8863, 1430, 1140, 9018, 8916, 343, 538, 4446, 2
 7168, 9127, 1040, 3921, 1699, 4879, 812, 1274, 4745, 2014, 695, 8939, 499, 6602, 3926, 3312, 179, 14240, 6927, 6288, 487, 8496, 8722, 526, 7809, 12511, 13885, 80, 362, 167, 6532, 10957, 9308, 276, 6250, 11, 11556, 122, 442, 187, 999, 2368, 3130, 10178, 4595, 869, 2747, 969, 11015, 8767, 7107, 8762, 9457, 10486, 74, 5657, 3375, 2207, 6708, 12232, 5517, 12039, 308, 19, 6740, 6271, 7692, 11088, 5798, 1002, 429, 217, 891, 651, 1956, 11185, 9638, 3485, 4544, 8044, 3036, 4742, 12970, 6976, 6401, 10323, 5675, 12894, 6649, 7616, 6565, 8568, 397, 11916, 8864, 1431, 1141, 9042, 8917, 366, 539, 4469, 3
 7169, 9149, 1063, 3922, 1700, 4880, 813, 1275, 4746, 2015, 718, 8940, 500, 6603, 3927, 3335, 202, 14264, 6951, 6289, 488, 8497, 8723, 527, 7810, 12534, 13886, 81, 363, 168, 6533, 10958, 9309, 277, 6251, 12, 12132, 123, 443, 188, 1000, 2893, 3727, 10179, 4620, 1417, 2748, 970, 11016, 8790, 7108, 8784, 9458, 10509, 75, 5658, 3376, 2230, 6709, 12233, 5541, 12061, 329, 20, 6741, 6272, 7693, 11664, 5821, 1026, 430, 241, 892, 676, 1957, 11186, 9639, 3486, 4569, 8045, 3037, 4765, 12971, 6977, 6402, 10348, 5699, 12895, 6650, 7617, 6566, 8590, 398, 11939, 8887, 1432, 1165, 9043, 8918, 367, 540, 4470, 4
 7170, 9150, 1064, 3923, 1723, 4903, 834, 1297, 4747, 2037, 719, 8962, 524, 6626, 3928, 3336, 203, 14265, 6952, 6290, 489, 8519, 8748, 1126, 7811, 12535, 13910, 82, 385, 169, 6556, 10982, 9855, 278, 6274, 13, 12155, 124, 465, 189, 1025, 2894, 3728, 10200, 4621, 1418, 2773, 1568, 11017, 8791, 7132, 8785, 9482, 10510, 76, 6257, 3377, 2231, 6732, 12234, 5542, 12062, 330, 21, 6761, 6273, 7694, 11688, 5822, 1027, 431, 242, 893, 677, 1981, 11209, 9640, 3487, 5142, 8069, 3038, 4766, 12972, 6978, 6403, 10922, 5700, 12896, 6674, 7618, 6567, 8591, 399, 11940, 8888, 1433, 1741, 9068, 8919, 368, 560, 4471, 5
 7171, 9151, 1065, 3946, 1724, 4904, 835, 1298, 4748, 2038, 720, 8963, 525, 6627, 3951, 3337, 204, 14839, 6953, 6291, 510, 8520, 8773, 1151, 7835, 12536, 14484, 83, 386, 170, 6557, 10983, 9856, 301, 6275, 14, 12156, 125, 466, 190, 1603, 2916, 3751, 10201, 4622, 1419, 3347, 1592, 11018, 8792, 7133, 8786, 9483, 10511, 97, 6258, 3378, 2232, 6733, 12256, 5567, 12063, 331, 22, 6762, 6871, 7716, 11689, 5823, 1051, 432, 791, 894, 678, 1982, 11210, 9662, 3488, 5166, 8070, 3039, 4767, 12995, 6979, 6424, 10923, 5725, 12919, 7224, 7619, 6590, 8592, 400, 11941, 8889, 1455, 1742, 9642, 8941, 369, 561, 4472, 6
 7172, 9152, 1087, 3947, 1725, 4905, 836, 1896, 4769, 2039, 743, 8964, 549, 6628, 3952, 3338, 205, 14840, 7551, 6313, 511, 8521, 8774, 13677, 7836, 13134, 14485, 103, 387, 192, 6558, 10984, 9879, 302, 6276, 15, 12157, 126, 467, 209, 1624, 2917, 3752, 10202, 5195, 1442, 3348, 1593, 11039, 8798, 7656, 8787, 9484, 10535, 98, 6259, 3400, 2233, 6734, 12257, 6140, 12064, 332, 23, 6763, 6892, 7717, 11713, 5847, 1076, 433, 792, 895, 702, 1983, 11211, 9663, 3489, 5167, 8644, 3060, 4768, 12996, 7001, 6425, 10924, 5749, 12920, 7248, 7640, 7115, 8593, 419, 11942, 8912, 1456, 1765, 9643, 8942, 370, 562, 4494, 7
 7193, 9153, 1088, 3948, 1747, 4928, 837, 1897, 4770, 2040, 744, 8965, 550, 6629, 3953, 3339, 206, 14863, 7552, 6314, 512, 8522, 8799, 14252, 8385, 13135, 14486, 104, 388, 193, 6580, 11006, 9880, 303, 6826, 16, 12158, 127, 468, 210, 1625, 2918, 3753, 10203, 5219, 1443, 3371, 1594, 11040, 8815, 7657, 8788, 9485, 11085, 99, 6282, 3401, 2255, 6758, 12258, 6141, 12086, 333, 24, 6764, 6893, 7718, 11714, 5848, 1626, 434, 815, 896, 703, 2005, 11212, 9664, 3510, 5168, 8645, 3061, 4791, 12997, 7002, 6426, 10945, 5750, 12921, 7249, 7641, 7116, 8594, 420, 11943, 8913, 1457, 1766, 9644, 8943, 391, 563, 4495, 8
 7194, 9174, 1089, 3949, 1748, 4929, 838, 1898, 4771, 2587, 1267, 9515, 574, 6651, 3975, 3359, 227, 14864, 7553, 6315, 513, 8544, 9272, 14276, 8410, 13136, 14509, 105, 389, 194, 6581, 11007, 9881, 326, 6850, 34, 12179, 145, 490, 211, 1649, 2919, 3754, 10204, 5220, 1444, 3372, 1617, 11041, 8816, 7658, 8808, 9509, 11086, 100, 6283, 3402, 2256, 6759, 12259, 6142, 12087, 354, 25, 6765, 6894, 8314, 11738, 5873, 1627, 451, 816, 916, 728, 2006, 11809, 9665, 3511, 5169, 8646, 3062, 4792, 12998, 7003, 6427, 10946, 6299, 12945, 7250, 7642, 7138, 8616, 421, 11964, 9487, 1458, 1767, 9667, 8944, 392, 564, 4496, 26
 7195, 9175, 1090, 3972, 1772, 4930, 839, 1899, 4772, 2588, 1268, 9539, 575, 6652, 3976, 3360, 228, 14865, 7576, 6316, 514, 8545, 9273, 14277, 8434, 13159, 14510, 106, 390, 195, 6582, 11008, 9882, 327, 6851, 35, 12180, 146, 491, 212, 1650, 2920, 3755, 10205, 5221, 1445, 3373, 1618, 11042, 8817, 7659, 8809, 9510, 11109, 101, 6284, 3403, 2257, 6760, 12282, 6165, 12088, 355, 42, 6787, 6895, 8315, 11763, 6421, 1651, 452, 817, 917, 1251, 2007, 11810, 10260, 3512, 5191, 8669, 3063, 4816, 13021, 7004, 6428, 10947, 6300, 12946, 7273, 7643, 7139, 8617, 422, 11965, 9488, 1480, 1789, 9668, 8945, 393, 565, 4497, 27
