113
Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,SurfaceFeatures_2,Volumes,Volumes2,Volumes_2
1,0.77290255,0.65898615,-0.0845301,-0.63242507,0.28770205,0.71422738,4.4510903,0.7085048,5.8450546,16.646267,12.865943,10.96966,44.684212,23.68421,141.63158,24.805748,1.0549923,1.3839241,4.4623303,37,6,0.40363184,1,1,1,8208,7992,8208
2,0.55542397,0.40992916,-0.051251948,0.94626701,0.16698149,0.27215663,4.9472098,0.29866242,5.3709002,19.47473,10.816731,7.9832602,31.666666,134.77777,143.44444,22.332619,4.2161756,2.4916127,0.96636415,27,7,0.38896042,1,1,1,5832,5832,5832
3,0.65147066,0.58202356,0.22906597,-0.879556,-0.41656351,0.019616371,3.175318,1.9288728,5.8916678,26.643562,17.3575,15.507181,47.132233,80.305786,121.61157,35.776077,2.5326626,2.2841103,4.3168573,111,14,0.49852949,1,0,0,26136,23976,26136
4,0.22301874,0.20225379,0.31038892,-0.87173629,-0.37871373,0.017621156,3.1284728,2.0143609,0.027450044,56.511433,12.603108,11.429651,24.464788,116.15493,48.887325,30.532904,3.4371588,2.3638949,5.894628,69,9,0.01840274,1,1,1,15336,14904,15336
5,0.90056515,0.6881755,0.14588866,-0.034239534,-0.83688009,0.52647495,0.27100754,0.57467258,3.95859,21.999653,19.81212,15.139622,85.745453,111.32727,63.545456,35.559902,1.7947837,2.6919219,3.0094643,109,13,0.46933186,1,0,0,23760,23544,23760
6,0.75747156,0.5896098,0.16692507,-0.97154349,-0.16788422,0.0073509538,0.83468384,1.4887482,5.6867476,14.966161,11.336441,8.8241959,105.25,43.75,105,20.538002,0.14364952,0.96454698,5.8882012,21,5,0.38598487,1,0,0,5184,4536,5184
7,0.61855561,0.58367819,0.26430574,0.22074853,-0.29941928,0.88980937,5.8069539,0.6192385,4.6933689,16.983208,10.505057,9.9127274,141.20689,21.620689,141.41379,22.87096,4.1620288,0.70312524,2.7703493,29,6,0.43227381,1,1,1,6264,6264,6264
8,0.7414999,0.61217374,-0.72182447,0.047016103,-0.64285278,0.25199047,3.5102065,1.8473538,3.9047558,14.257505,10.571939,8.7280703,70.5,69,59.700001,20.206684,4.4033294,2.2043607,6.0938215,20,9,0.29606918,1,0,0,4320,4320,4320
9,0.75334072,0.49840733,-0.77716726,0.16603097,-0.45749518,0.39892715,3.5790398,1.3966916,4.1149487,16.668837,12.557313,8.3078709,45.46154,143.76923,80.53846,21.766991,0.64320654,1.8370413,1.0641508,25,6,0.27241665,1,1,1,5616,5400,5616
10,0.70614088,0.53497601,-0.51534623,-0.32657707,-0.61907709,0.49447867,3.3667021,2.1382742,4.1655297,15.672751,11.06717,8.3845453,67.173912,123.78261,131.60869,21.170332,2.6538434,1.7688081,1.1947451,23,5,0.36070979,1,0,0,4968,4968,4968
11,0.40656522,0.31788391,-0.85365272,0.34570584,-0.37046927,0.12048639,3.4213445,0.1506241,3.3966765,41.004639,16.671059,13.034714,17.755102,131.2653,69.306122,33.236485,0.8715741,2.3412642,1.6411453,89,10,0.058676958,1,1,1,21168,19224,21168
12,0.84487289,0.84050125,0.11079139,0.93877536,0.10823779,0.30775103,1.3325877,1.5433307,3.9393232,54.88076,46.367264,46.127346,95.175827,83.725273,65.153847,47.267765,4.256722,2.4769671,1.3500764,256,26,2.4813527e-05,1,1,1,58968,55296,58968
13,0.77187246,0.46962193,0.22906597,-0.879556,-0.41656351,0.019616371,1.7145277,2.3986676,4.2524691,15.496887,11.96162,7.277678,68.727272,93.545456,21,20.858959,2.6450489,2.6491187,4.9400139,22,6,0.42053509,1,0,0,4752,4752,4752
14,0.45570281,0.39018252,0.11887134,0.95575505,0.088344105,0.25415966,1.5538602,1.8334051,6.2687516,55.649521,25.359644,21.713472,56.530304,28.242424,61.136364,52.660645,4.2541213,2.5967259,1.3600062,354,25,0.13141116,1,1,1,85536,76464,85536
15,0.30817965,0.22766307,-0.6569671,-0.28485167,-0.30935502,0.62574208,1.5845119,1.8964787,6.2605586,56.861744,17.523632,12.945319,35.974789,129.55463,38.34454,35.989674,0.86826277,1.5962917,0.050021861,113,16,0.024365485,1,1,1,25704,24408,25704
16,0.74933445,0.61583447,0.47784835,-0.35789001,-0.15812279,0.78649402,3.2415681,2.0526869,5.6871676,16.291992,12.208152,10.033171,125.625,13.875,103.5,22.332619,3.5235465,2.239573,6.0911102,27,7,0.38660163,1,0,0,6912,5832,6912
17,0.73221451,0.59227085,0.56311977,0.75781304,0.32914135,0.016778054,1.449679,1.978359,4.6160092,19.290466,14.124759,11.42518,61.588234,99.352943,105.47059,26.864845,3.5819473,0.60915715,4.3239312,47,10,0.43027127,1,0,0,11016,10152,11016
18,0.19832882,0.16508074,0.4016104,-0.45135599,0.61104333,0.51148105,3.1606851,1.5900613,0.022576429,81.007675,16.066156,13.372806,38.759998,80.720001,24.76,39.287785,1.4240781,1.2974306,3.1113839,147,11,0.017337181,1,1,1,32400,31752,32400
19,0.27789918,0.24150343,-0.71916497,0.20656317,0.16141611,0.64348906,3.4809773,1.5934037,4.7004209,87.54763,24.329412,21.143053,31.895105,56.132866,43.895103,55.302704,5.7577143,1.6908176,0.033923171,410,24,0.02860181,1,1,1,92664,88560,92664
20,0.26071534,0.21262628,-0.36525655,0.76360297,0.22534443,0.48240855,3.172627,1.3668221,6.2803764,48.156715,12.555194,10.239384,17.280001,10.44,46.68,27.054041,4.7215509,2.0186188,0.68762964,48,9,0.012528676,1,1,1,10800,10368,10800
21,0.84760684,0.77312988,-0.72182447,0.047016103,-0.64285278,0.25199047,1.2422421,1.8428588,6.1547537,17.046694,14.448895,13.179308,79.528305,36.962265,81,27.962566,6.1493664,2.434094,1.7976192,53,10,0.42302689,1,0,0,11448,11448,11448
22,0.72751033,0.63998723,-0.21395449,-0.60980296,-0.67416221,0.35758802,3.4085789,1.4098779,4.1005454,29.948229,21.787645,19.166485,45.99107,55.339287,58.6875,44.665237,1.022123,1.2991444,5.3269224,216,15,0.67211866,1,0,0,48384,46656,48384
23,0.85531253,0.74849308,0.20304273,-0.52675134,0.72022206,0.40322068,2.8162928,2.097631,4.3204398,15.65674,13.391406,11.718962,62.846153,90.384613,62.384617,25.244877,4.1186776,2.0589716,5.4131041,39,7,0.3673375,1,0,0,8424,8424,8424
24,0.16154189,0.12560931,-0.81306648,0.5220319,0.21724118,0.13860716,1.5653757,1.9953197,0.022511508,64.273598,10.382878,8.0733624,106.94118,26.117647,80.470589,22.604996,4.7095375,2.6203251,5.8510742,28,7,0.0036491875,1,1,1,7344,6048,7344
25,0.18458943,0.13260753,-0.3689349,0.13996798,-0.11860543,0.91116893,3.144562,1.9108446,6.2742615,77.190773,14.248601,10.236078,36.68182,31.90909,131.93182,32.985634,6.0500174,0.81125069,0.49204919,87,11,0.010638563,1,1,1,19008,18792,19008
26,0.89966875,0.72220147,0.02893318,-0.65233099,-0.0013298115,0.75738055,3.3626814,2.0886524,4.0228181,17.987131,16.182461,12.990333,82.714287,10.238095,81.095238,27.606318,1.6168766,1.4230046,4.6698203,51,8,0.46816033,1,1,1,13608,11016,13608
27,0.70734298,0.46087661,-0.58995658,0.76479185,0.11190543,0.23349912,5.2114244,0.5692302,5.0130978,17.567314,12.426117,8.096365,18.777779,30.777779,65.888885,22.053432,4.9225292,2.6177645,0.466829,26,7,0.30338201,1,1,1,5832,5616,5832
28,0.9278385,0.71965069,-0.51534623,-0.32657707,-0.61907709,0.49447867,2.5946934,2.0986588,5.2479439,17.73691,16.456987,12.76438,86.508194,37.327869,104.0164,29.304098,2.6971593,1.2795447,3.9828315,61,9,0.42887858,1,0,0,13176,13176,13176
29,0.35767987,0.31862256,-0.37456149,0.2133477,0.75852817,0.48869354,1.5372565,1.6732767,0.03444339,65.546638,23.444714,20.884638,116.81955,117.70676,104.92481,54.15501,4.7669611,0.89133656,5.802484,385,22,0.10828751,1,1,1,86184,83160,86184
30,0.91573137,0.75211716,-0.43663386,-0.48630562,0.55255443,0.51724386,1.1329563,0.33981419,1.3041241,27.939507,25.585083,21.013783,41.593987,77.390976,91.015038,47.573517,3.914391,2.1079125,1.7168478,261,19,0.63486993,1,0,0,57456,56376,57456
31,0.88896298,0.76177716,-0.14851682,0.39571467,-0.069129221,0.9036448,1.1514205,1.2386839,0.26800051,21.053175,18.715492,16.037827,27.616823,20.158878,46.121494,34.66774,5.1477857,0.87277204,1.288103,101,12,0.50748408,1,1,1,23112,21816,23112
32,0.93102717,0.82814831,-0.49527401,-0.17745417,-0.021336874,0.85015202,3.8986092,0.94578254,6.0703778,28.839735,26.850578,23.883577,45.273556,120.48328,79.577507,51.076279,0.36913773,1.1080276,5.9642324,323,24,0.64950639,1,1,1,71064,69768,71064
33,0.851623,0.75077951,-0.32488811,0.39332983,0.05424739,0.85836858,0.79494613,1.4754046,0.055360496,28.712049,24.451839,21.556417,122.91045,29.507463,19.5,46.45372,5.3396659,1.0707357,0.81729096,243,12,0.63494748,1,1,1,57888,52488,57888
34,0.6271497,0.5098775,0.22906597,-0.879556,-0.41656351,0.019616371,5.8842983,0.16335373,4.3743429,21.024483,13.185499,10.719912,117.61224,31.408163,110.14286,26.864845,1.4616611,1.3123991,0.33199298,47,12,0.44436553,1,0,0,10584,10152,10584
35,0.26920104,0.22496983,0.53486753,0.54154372,-0.64837158,0.016168173,3.4112341,1.5686759,4.7241158,78.68232,21.181362,17.701149,45.441177,104.86765,114.81618,47.755096,5.4790578,1.730176,3.8958571,264,22,0.024294481,1,1,1,58752,57024,58752
36,0.88900989,0.78718746,-0.44195673,0.36765233,0.16773158,0.80085713,3.1076739,2.2690532,4.4436693,24.922846,22.156656,19.618952,35.890053,130.47644,120.36126,42.720764,5.382853,1.2249298,0.48742068,189,11,0.62101799,1,1,1,41256,40824,41256
37,0.76082718,0.58770895,0.22906597,-0.879556,-0.41656351,0.019616371,5.5536246,0.43366268,5.2278581,16.439939,12.507953,9.6618986,102.67742,92.80645,16.548388,22.604996,4.560998,2.1480992,1.5210687,28,9,0.33720136,1,0,0,6696,6048,6696
38,0.85003793,0.61031634,0.39839333,-0.88423163,-0.14770006,0.19391178,5.1176128,0.46345073,4.6831908,14.031394,11.927217,8.5635891,24.428572,40.714287,56.142857,20.538002,5.4834905,1.7467058,0.1088835,21,8,0.24628793,1,0,0,4536,4536,4536
39,0.15231724,0.11073308,-0.031493414,0.77027005,0.019748982,0.63663346,3.2223947,1.5703496,4.7218313,78.24868,11.918623,8.6647177,83.625,92.625,37.03125,28.649036,4.7222414,1.7605486,1.498922,57,14,0.011361553,1,1,1,13824,12312,13824
40,0.90495342,0.81413162,-0.60247141,-0.0041524218,0.73018032,0.322254,1.0445296,0.40469348,3.3525522,31.998886,28.9575,26.051304,45.255318,94.078011,46.319149,55.881134,4.5917358,0.54479176,3.9214089,423,23,0.6024214,1,0,0,91368,91368,91368
41,0.26348269,0.16075863,-0.80350888,-0.43796659,-0.097085319,0.39132243,1.4373267,1.539494,4.7001519,92.962906,24.494116,14.944589,93.018929,47.611988,51.321766,50.435757,0.74223351,2.3116016,6.0273223,311,21,0.025576716,1,1,1,68472,67176,68472
