1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
13807,14879,11509,4176,5414,10167,13199,5286,7481,12986,6152,1,1611,3183,1855,9421,9761,352,105,3152,7014,3360,5361,6892,11976,6265,5727,9490,8619,7780,3156,6131,45,10718,358,10531,992,5154,340,2206,65,1878,8676,7226,13131,12711,6723,7346,1801,10830,10407,200,7341,1890,5894,10757,78,420,11,6564,5997,958,10798,3361,4,11878,85,3942,14140,7463,7148,9,3143,12051,11897,10260,507,318,4588,2963,13310,525,8760,2190,560,13127,11603,469,12972,8563,223,4002,4469,8691,5201,1376,3069,2191,11943,4726,2867,11063,6880,5701,236,1495,6427,12013,8336,437,14,9588,376
 13808, 14880, 11531, 4177, 5438, 10168, 13823, 5287, 7482, 12987, 6153, 2, 1612, 3208, 1856, 9422, 9784, 353, 106, 3176, 7015, 3931, 5385, 6893, 11977, 6889, 5728, 9515, 8643, 7781, 3157, 6132, 69, 10719, 359, 10556, 993, 5155, 341, 2785, 66, 1879, 8677, 7227, 13754, 12712, 6724, 7347, 1802, 10831, 10408, 800, 7342, 1891, 5895, 10782, 79, 421, 12, 6565, 5998, 959, 11373, 3362, 5, 11879, 86, 3943, 14141, 7464, 7173, 10, 3144, 12052, 11898, 10261, 531, 319, 4589, 2964, 13909, 526, 8761, 2214, 584, 13151, 11604, 470, 12973, 8564, 224, 4003, 4470, 8692, 5202, 1401, 3644, 2192, 11944, 4727, 2868, 11064, 7505, 5726, 237, 1496, 6428, 12014, 8337, 438, 15, 9589, 377
 13832, 14881, 11532, 4201, 5439, 10169, 13824, 5288, 7483, 13011, 6154, 3, 1636, 3209, 2431, 9447, 9785, 354, 107, 3177, 7039, 3932, 5386, 6894, 11978, 6890, 6328, 9516, 8644, 7782, 3178, 6133, 70, 10743, 360, 10581, 1017, 5156, 363, 2806, 67, 1880, 8678, 7228, 13755, 12713, 6725, 7372, 1895, 10832, 10432, 825, 7366, 1915, 5919, 10783, 102, 422, 13, 6588, 6022, 981, 11374, 3363, 6, 11880, 87, 3944, 14165, 7465, 7749, 34, 3145, 12076, 11899, 10262, 532, 342, 4614, 2965, 13910, 527, 8785, 2215, 585, 13752, 11605, 471, 12997, 8587, 225, 4601, 4471, 8716, 5203, 1976, 3669, 2193, 11945, 4728, 2869, 11087, 7506, 6276, 238, 1497, 6429, 12015, 8935, 439, 16, 9590, 378
 13833, 14904, 11533, 4202, 5440, 10192, 13825, 5887, 8082, 13012, 6155, 21, 1637, 3210, 2432, 10045, 9786, 901, 108, 3201, 7064, 3933, 5961, 6895, 12001, 6891, 6352, 9538, 8645, 7783, 3179, 6134, 71, 10744, 380, 11105, 1018, 5179, 364, 2807, 89, 1902, 8679, 7229, 13756, 12736, 6748, 7970, 1896, 10855, 10433, 849, 7367, 1916, 5920, 10784, 103, 423, 35, 6589, 6023, 982, 11398, 3386, 7, 11903, 88, 3945, 14166, 7488, 7750, 59, 3169, 12077, 11922, 10286, 533, 343, 4615, 2966, 13911, 550, 8786, 2764, 586, 13753, 11628, 494, 12998, 8588, 245, 4602, 4472, 8717, 5226, 2001, 3670, 2216, 11946, 4751, 2890, 11088, 7507, 6277, 260, 1498, 6454, 12038, 8936, 440, 17, 9591, 379
 13834, 14905, 11534, 4203, 5441, 10193, 13848, 5888, 8083, 13611, 6177, 22, 1661, 3233, 2455, 10046, 9810, 926, 126, 3751, 7613, 3934, 5962, 7517, 12002, 6914, 6353, 9539, 8668, 7784, 3180, 6135, 94, 10745, 381, 11106, 1043, 5180, 365, 2808, 90, 1903, 8701, 7250, 13757, 12737, 6749, 7971, 1897, 11406, 10458, 850, 7391, 1917, 6493, 10807, 104, 424, 36, 6614, 6046, 983, 11399, 3387, 8, 11904, 109, 3946, 14190, 7489, 7772, 84, 3170, 12676, 11923, 10287, 534, 344, 5213, 2967, 13934, 551, 9360, 2765, 1110, 13776, 11629, 495, 13596, 8589, 246, 4603, 4473, 8741, 5227, 2002, 3694, 2217, 11947, 4752, 2891, 11089, 7531, 6278, 261, 1499, 7026, 12039, 8937, 461, 18, 9592, 401
 13857, 14906, 11554, 4225, 5442, 10194, 13849, 5911, 8084, 13612, 6178, 23, 1662, 3234, 2456, 10047, 9811, 927, 127, 3752, 7614, 3955, 5985, 7518, 12003, 6915, 6354, 9540, 8669, 7785, 3181, 6156, 95, 10746, 382, 11107, 1592, 5204, 366, 2809, 91, 1904, 8702, 7251, 13780, 12738, 6750, 7972, 1898, 11429, 10459, 1425, 7392, 1940, 6494, 10808, 678, 444, 37, 7113, 6047, 984, 11400, 3961, 29, 11905, 110, 3966, 14191, 7490, 7773, 609, 3768, 12677, 12521, 10311, 555, 368, 5214, 2988, 13935, 552, 9361, 2788, 1134, 13777, 11630, 496, 13597, 8590, 247, 4604, 4494, 8742, 5228, 2026, 3695, 2218, 11948, 4753, 2892, 11090, 8105, 6279, 262, 1520, 7027, 12040, 8960, 462, 19, 9593, 402
 13858, 14907, 11555, 4226, 5464, 10218, 13850, 5912, 8107, 13636, 6179, 24, 2236, 3759, 2457, 10070, 10361, 928, 128, 3753, 7615, 3956, 5986, 7519, 12004, 6940, 6355, 9541, 8670, 7786, 3182, 6157, 96, 10747, 383, 11130, 1593, 5753, 367, 2810, 92, 1905, 8703, 7275, 13781, 12761, 6774, 7973, 1899, 11430, 11031, 1449, 7966, 1941, 6495, 11382, 679, 445, 38, 7114, 6048, 985, 11423, 3962, 30, 11928, 111, 3967, 14216, 7491, 7774, 610, 3769, 12701, 12522, 10312, 556, 369, 5238, 2989, 13936, 553, 9385, 2789, 1135, 13778, 11631, 520, 13598, 8612, 248, 4625, 4495, 9291, 5801, 2027, 3719, 2219, 11967, 4775, 2893, 11111, 8106, 6301, 263, 1521, 7028, 12614, 8961, 463, 20, 9613, 403
 13859, 14929, 11556, 4227, 5465, 10219, 13874, 5913, 8108, 13637, 6180, 25, 2237, 3760, 2479, 10071, 10385, 950, 129, 3754, 7638, 3957, 5987, 7520, 12026, 7513, 6377, 9564, 8671, 7805, 3205, 6158, 97, 10769, 384, 11131, 1594, 5754, 387, 2811, 93, 1906, 8704, 7276, 13782, 12762, 7348, 7996, 1900, 11431, 11032, 1450, 7967, 1942, 6518, 11383, 702, 446, 39, 7115, 6597, 1006, 11424, 3963, 31, 11929, 112, 3968, 14766, 8062, 7775, 611, 3770, 12702, 12523, 10885, 557, 393, 5239, 2990, 13937, 575, 9386, 2790, 1159, 13801, 11654, 521, 13621, 8613, 249, 4626, 4496, 9315, 5802, 2028, 3744, 2768, 11968, 4776, 2894, 11112, 8130, 6302, 285, 1522, 7030, 12615, 8962, 464, 40, 9614, 404
 13882, 14930, 11557, 4228, 5466, 10768, 14448, 5937, 8109, 13638, 6203, 26, 2238, 3761, 2480, 10072, 10386, 951, 130, 3776, 7639, 3958, 6009, 7542, 12027, 7514, 6378, 9565, 8672, 7806, 3206, 6159, 119, 10770, 385, 11132, 1617, 5755, 388, 2831, 114, 2503, 8726, 7300, 14380, 13311, 7349, 7997, 1921, 11453, 11033, 1473, 7968, 2514, 6519, 11407, 703, 447, 60, 7138, 6598, 1007, 11425, 3986, 32, 11930, 113, 3969, 14790, 8063, 7797, 633, 3794, 12727, 12524, 10886, 558, 394, 5240, 2991, 13960, 576, 9387, 2812, 1160, 13802, 11655, 522, 13622, 8614, 250, 4627, 4497, 9316, 5826, 2051, 4219, 2791, 11969, 4777, 2915, 11113, 8131, 6303, 286, 1523, 7031, 12616, 8986, 465, 41, 9615, 405
 13883, 14931, 11558, 4250, 5467, 10792, 14449, 5938, 8110, 13661, 6204, 27, 2261, 3762, 2481, 10073, 10387, 952, 131, 3777, 7640, 3959, 6010, 7543, 12028, 7515, 6379, 9566, 8673, 7807, 3207, 6181, 120, 10771, 386, 11133, 1618, 5756, 389, 2832, 115, 2504, 8727, 7325, 14381, 13336, 7350, 7998, 1922, 11454, 11056, 1474, 7990, 2515, 6520, 11408, 704, 448, 61, 7139, 6621, 1008, 11448, 3987, 33, 11931, 134, 3970, 14791, 8064, 7798, 634, 3795, 13301, 12546, 10887, 559, 418, 5838, 2992, 13985, 577, 9388, 2813, 1161, 14377, 11656, 546, 13623, 8615, 270, 4628, 4498, 9317, 5827, 2052, 4243, 2792, 11970, 4778, 2916, 11114, 8132, 6326, 287, 1524, 7051, 12638, 9534, 486, 42, 9616, 426
