415
Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumCells,NumNeighbors,Omega3s,Phases,SurfaceFeatures,SurfaceFeatures_2,Volumes,Volumes_2
1,1,1,-0.13796143,0.67798793,0.18626578,0.69757003,nan,nan,nan,6.5455322,6.5455322,6.5455322,165,231,165,4.2718072,1.418442,1.9918432,0,1,1,1,0,0,1331,1331
2,0.17176813,0.12473357,-0.16773032,-0.63468593,0.0058912365,0.75432462,3.3386767,0.30567679,3.3254106,120.95125,20.77557,15.086681,38.5,154.45833,209,1.3046203,1.4322731,4.9629455,0,10,0.010540671,1,1,1,63888,63888
3,0.09382987,0.083678663,0.13612238,0.8516584,-0.21393442,0.45867279,0.034975115,0.09150552,0.031892344,201.18939,18.877575,16.83526,195.77026,215.54054,189.22974,4.9903226,2.0802526,2.1657131,0,17,0.0067258943,1,1,1,98494,98494
4,0.95649958,0.81338006,0.43210804,-0.11949626,0.81822664,0.35987279,2.9919338,1.6138041,4.3582811,24.531687,23.464548,19.953585,210.94118,11.647058,278.55884,1.715353,0.92978472,2.2549524,0,9,0.73627281,1,1,1,45254,45254
5,0.90124297,0.58922476,-0.13329487,-0.53248894,-0.1946514,0.81289536,2.9206669,2.4146318,5.8945031,33.612877,30.293369,19.80554,250.57628,106.08475,300.72882,1.5605416,1.1621408,5.1927018,0,13,0.69423592,1,1,1,78529,78529
6,0.7972737,0.6775924,-0.13796143,0.67798793,0.18626578,0.69757003,3.3872192,1.0456846,0.41006047,36.435909,29.049391,24.688694,149.14285,241.57143,29.857143,4.4353528,1.3195937,2.0487809,0,14,0.71957636,1,0,0,102487,102487
7,0.095253028,0.093113191,-0.18677735,0.69858402,0.12805395,0.67874646,1.567786,1.7817442,6.2711368,206.06174,19.628004,19.187065,257.18478,184.48914,120.52174,4.7871733,1.6166233,1.123071,0,14,0.0075853583,1,1,1,122452,122452
8,0.083499052,0.057467204,-0.16456729,0.73372793,0.047505181,0.65749848,3.1407485,1.5767703,4.6949558,151.59729,12.65823,8.7118721,26.4,34.466667,253.73334,4.8609009,1.7020509,1.2780325,0,6,0.0018837537,1,1,1,19965,19965
9,0.81668657,0.75954258,0.25402412,0.64083874,-0.35146198,0.63346022,0.83248615,1.3860446,0.021955116,35.302063,28.830719,26.813419,31.487499,231,172.0125,4.8415389,1.5211811,2.4547327,0,17,0.70122617,1,1,1,106480,106480
10,0.74013418,0.64137226,-0.13796143,0.67798793,0.18626578,0.69757003,2.1125622,1.6191394,4.8559446,33.699833,24.942398,21.614138,111.22222,271.33334,166.62962,1.8375993,1.7057803,1.0648036,0,12,0.75144374,1,0,0,71874,71874
11,0.14243478,0.10903186,0.76191777,0.38322249,-0.51778108,0.067265503,3.7031524,1.5605484,4.700757,152.49547,21.720659,16.626865,75.930557,144.52777,56.833332,5.0492229,2.0428948,4.1171799,0,13,0.012371087,1,1,1,95832,95832
12,0.13120927,0.11711242,0.38594863,-0.599796,0.63663787,0.29322454,1.5913681,0.15066898,3.1490796,209.02905,27.426552,24.479898,82.650276,193.73224,213.62842,1.0033884,1.5882205,3.0014441,0,27,0.012211392,1,1,1,243573,243573
13,0.8923493,0.80053496,0.27196607,0.59173608,0.007412097,0.75883323,1.918219,0.96045393,0.65073842,29.728575,26.528275,23.798765,126.90741,38.703705,161.74074,4.2718072,1.418442,1.9918432,0,12,0.6385991,1,0,0,71874,71874
14,1,1,-0.63801718,0.25845379,0.48322999,0.54094779,nan,nan,nan,6.5455322,6.5455322,6.5455322,55,187,275,1.8902993,1.581961,0.99214315,0,1,1,1,0,0,1331,1331
15,0.65565526,0.51017439,-0.13796143,0.67798793,0.18626578,0.69757003,1.9964644,1.9802524,4.8331151,31.690977,20.778355,16.167925,210.06451,188.06451,106.45161,1.3207703,1.4118901,4.3296032,0,11,0.67803222,1,0,0,41261,41261
16,0.83529097,0.63522547,0.056792229,0.61520374,-0.37100276,0.69329357,1.6394376,1.4281068,5.406991,38.459057,32.124504,24.430174,166.53488,283.82559,294.31396,5.111691,1.3319334,2.1542056,0,15,0.60831863,1,1,1,114466,114466
17,0.15037234,0.11601601,-0.55642408,-0.32252914,-0.52993917,0.55274928,3.1145771,1.0018412,0.0047911182,154.11357,23.174417,17.879642,56.606743,192.68539,231,1.2896523,1.397191,0.23901409,0,17,0.017035481,1,1,1,118459,118459
18,0.76923597,0.60984993,0.051644091,0.60529727,0.23201329,0.75968283,3.6238413,1.3311148,4.0302773,33.465851,25.743137,20.409147,185.54716,75.754715,299.69812,4.330864,1.3058099,1.3594996,0,12,0.80609304,1,1,1,70543,70543
19,0.84631681,0.084734604,0.66678298,0.46884611,-0.26707637,0.51405632,6.2681518,0.012539502,3.9810996,143.93805,121.81719,12.196533,176.20952,145.30476,195.17143,4.2335896,1.9058634,3.0079205,0,18,9.2425245e-05,1,1,1,139755,139755
20,0.87858224,0.79288125,0.27196607,0.59173608,0.007412097,0.75883323,3.3905571,1.1337339,3.8687842,45.873806,40.303909,36.372478,267.45099,66.539215,260.87256,4.5478024,1.5587687,3.2851698,0,24,0.83209634,1,0,0,271524,271524
21,0.82926208,0.80486351,-0.13796143,0.67798793,0.18626578,0.69757003,1.2208592,0.75524777,0.97669268,29.044468,24.085476,23.376833,56.57143,168.36734,237.28572,1.874712,1.3099533,2.1219573,0,12,0.78235841,1,0,0,65219,65219
22,0.05925937,0.056051191,-0.5648784,0.48195049,0.33736235,0.57863879,1.5640228,1.5825258,4.7165689,180.91273,10.720775,10.140374,97.842102,213.63158,214.78947,5.0489941,1.6737056,0.17849867,0,6,0.0027256433,1,1,1,25289,25289
23,0.89653826,0.73880661,-0.62431628,-0.61104816,-0.23292415,0.42731223,0.5332247,1.2027758,0.78631455,30.65262,27.481247,22.646358,146.2807,280.78946,31.070175,1.2737253,2.125041,6.0075936,0,15,0.77145243,1,1,1,75867,75867
24,0.83010316,0.64376152,-0.22034577,0.81195152,0.29539979,0.45268252,1.3676455,1.68652,5.0370793,29.686096,24.642521,19.110767,10.731708,144.60976,107.58537,4.3992162,1.9994372,0.72763216,0,11,0.70272356,1,1,1,54571,54571
25,0.95096403,0.58455431,-0.13796143,0.67798793,0.18626578,0.69757003,2.874588,1.8819888,5.3654399,38.013901,36.149853,22.221189,239.92223,258.62222,232.46666,4.2552533,1.9096973,1.2395675,0,17,0.72040772,1,0,0,119790,119790
