Element,FIP
0,5.17E-05
1,4.02E-05
2,3.30E-05
3,2.60E-05
4,2.88E-05
5,1.86E-05
6,1.58E-05
7,1.43E-05
8,1.11E-05
9,5.16E-05
10,6.21E-05
11,5.31E-05
12,6.92E-05
13,8.21E-05
14,6.58E-05
15,3.72E-05
16,2.61E-05
17,2.46E-05
18,3.45E-05
19,5.45E-05
20,8.18E-05
21,5.54E-05
22,2.67E-05
23,2.30E-05
24,-3.33E-05
25,-0.003068773
26,2.69E-05
27,2.08E-05
28,-9.30E-06
29,-2.06E-05
30,4.13E-05
31,4.21E-05
32,3.86E-05
33,2.80E-05
34,5.51E-05
35,1.46E-05
36,9.37E-06
37,1.08E-05
38,1.47E-05
39,4.87E-05
40,7.11E-05
41,5.01E-05
42,6.84E-05
43,8.34E-05
44,5.07E-05
45,4.70E-05
46,3.08E-05
47,3.51E-05
48,6.34E-05
49,-7.05E-05
50,-5.25E-05
51,3.64E-05
52,1.19E-05
53,-3.11E-05
54,-3.15E-05
55,-2.15E-05
56,1.70E-05
57,2.47E-05
58,-0.004603502
59,2.16E-05
60,3.06E-05
61,4.05E-05
62,3.88E-05
63,6.03E-05
64,6.68E-05
65,1.60E-05
66,1.15E-05
67,1.64E-05
68,1.04E-05
69,3.55E-05
70,7.06E-05
71,6.68E-05
72,6.49E-05
73,7.76E-05
74,5.50E-05
75,3.89E-05
76,3.14E-05
77,-4.59E-05
78,-6.27E-05
79,-5.77E-05
80,4.78E-05
81,9.65E-06
82,9.12E-06
83,3.54E-05
84,-2.68E-05
85,-1.91E-05
86,1.08E-05
87,3.01E-05
88,1.92E-05
89,1.66E-05
90,2.49E-05
91,3.51E-05
92,3.86E-05
93,6.47E-05
94,7.01E-05
95,-2.39E-05
96,1.93E-05
97,1.47E-05
98,1.31E-06
99,3.14E-05
100,6.97E-05
101,7.19E-05
102,6.60E-05
103,7.93E-05
104,5.12E-05
105,3.20E-05
106,2.46E-05
107,-5.25E-05
108,-6.64E-05
109,-4.96E-05
110,4.92E-05
111,1.01E-05
112,4.85E-06
113,2.55E-05
114,4.74E-05
115,2.20E-05
116,2.48E-05
117,3.59E-05
118,2.08E-05
119,2.14E-05
120,2.49E-05
121,3.58E-05
122,4.67E-05
123,-5.24E-05
124,-3.92E-05
125,-2.75E-05
126,-2.51E-05
127,6.14E-06
128,7.91E-07
129,7.39E-06
130,5.26E-05
131,6.46E-05
132,5.23E-05
133,6.38E-05
134,4.92E-05
135,3.43E-05
136,3.81E-05
137,-5.25E-05
138,6.10E-05
139,4.60E-05
140,5.94E-05
141,6.71E-06
142,6.58E-06
143,2.50E-05
144,3.29E-05
145,2.76E-05
146,4.78E-05
147,5.36E-05
148,3.47E-05
149,2.21E-05
150,2.15E-05
151,3.89E-05
152,4.31E-05
153,-5.04E-05
154,4.98E-05
155,-2.78E-05
156,-2.22E-05
157,8.14E-06
158,4.91E-06
159,3.39E-06
160,4.39E-05
161,5.91E-05
162,5.89E-05
163,6.80E-05
164,-2.86E-05
165,6.18E-05
166,4.90E-05
167,6.03E-05
168,7.85E-05
169,6.27E-05
170,5.72E-05
171,2.54E-05
172,8.89E-06
173,1.11E-05
174,2.75E-05
175,3.71E-05
176,4.65E-05
177,5.50E-05
178,3.96E-05
179,2.50E-05
180,3.28E-05
181,3.13E-05
182,2.87E-05
183,3.87E-05
184,5.77E-05
185,2.56E-05
186,-1.59E-05
187,6.57E-06
188,1.19E-05
189,3.22E-05
190,4.96E-05
191,5.54E-05
192,7.20E-05
193,4.57E-05
194,2.00E-05
195,8.42E-05
196,5.31E-05
197,6.41E-05
198,8.19E-05
199,5.00E-05
200,3.11E-05
201,1.76E-05
202,1.46E-05
203,1.27E-05
204,2.69E-05
205,4.19E-05
206,4.45E-05
207,5.31E-05
208,4.97E-05
209,4.70E-05
210,2.49E-05
211,2.03E-05
212,2.94E-05
213,4.52E-05
214,4.25E-05
215,3.50E-05
216,2.21E-05
217,1.86E-05
218,4.07E-05
219,-0.006197361
220,2.51E-05
221,4.81E-05
222,5.42E-05
223,1.57E-05
224,8.24E-05
225,8.29E-05
226,3.88E-05
227,6.95E-05
228,7.15E-05
229,4.79E-05
230,3.15E-05
231,1.34E-05
232,1.91E-05
233,2.88E-05
234,1.76E-05
235,4.22E-05
236,5.10E-05
237,4.58E-05
238,4.91E-05
239,6.08E-05
240,7.27E-06
241,1.45E-05
242,3.49E-05
243,3.56E-05
244,4.26E-05
245,2.59E-05
246,2.51E-05
247,2.45E-05
248,2.93E-05
249,3.46E-05
250,2.84E-05
251,3.15E-05
252,-0.007632165
253,4.82E-05
254,8.92E-05
255,8.59E-05
256,4.92E-05
257,5.88E-05
258,4.34E-05
259,3.91E-05
260,3.44E-05
261,1.03E-05
